sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos
say babye to her light !,say,say,VB,babye,light,NNP,NN
who are you reading them to ?,read,reading,VBG,who,them,WP,PRP
can you say something to big bird ?,say,say,VB,something,bird,NN,NN
mother won't give it to you if that's not what you want .,give,give,VB,it,you,PRP,PRP
you just gonna chew on the book or you're gonna let me show it to you .,show,show,VB,it,you,PRP,PRP
can you give it to mama ?,give,give,VB,it,mama,PRP,NN
can you give it to mama ?,give,give,VB,it,mama,PRP,NN
can you give it to mama ?,give,give,VB,it,mama,PRP,NN
can you throw it to mama ?,throw,throw,VB,it,mama,PRP,NN
can you roll it to mama ?,roll,roll,VB,it,mama,PRP,NN
let's try sitting over here and we'll bring some toys to you .,bring,bring,VB,toys,you,NNS,PRP
do you want me to give it to you ?,give,give,VB,it,you,PRP,PRP
say babye to the block !,say,say,VB,babye,block,NNP,NNP
can you give it to me ?,give,give,VB,it,me,PRP,PRP
can you roll the ball to mama ?,roll,roll,VB,ball,mama,NN,NN
we ran too far and swam too far out and the storm brought them to the beach on the other side of the ocean .,bring,brought,VBD,them,beach,PRP,NN
is that what they said to you ?,say,said,VBD,what,you,WP,PRP
thomas is coming to say hello to us .,say,say,VB,hello,us,UH,PRP
so that brings it down to four .,bring,brings,VBZ,it,four,PRP,CD
mm what do you say to grandma ?,say,say,VB,what,grandma,WP,NN
oh could you pass this to mommy ?,pass,pass,VB,this,mommy,DT,NN
is he telling stories to those guys ?,tell,telling,VBG,stories,guys,NNS,NNS
wanna throw it to me .,throw,throw,VB,it,me,PRP,PRP
can you roll it to me ?,roll,roll,VB,it,me,PRP,PRP
can you roll it to me like this ?,roll,roll,VB,it,me,PRP,PRP
you wanna take off your socks and give them to daddy please ?,give,give,VB,them,daddy,PRP,NN
he pulled the entire laundry basket over to himself .,pull,pulled,VBD,basket,himself,NN,PRP
shouldn'ta given it to me .,give,given,VBN,it,me,PRP,PRP
wanna throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
i'll bring it to you this time .,bring,bring,VB,it,you,PRP,PRP
usually you have to get that yourself but today i'll bring it to you ?,bring,bring,VB,it,you,PRP,PRP
you don't want mother to read that to you .,read,read,VB,that,you,DT,PRP
you don't want mother to read that to you .,read,read,VB,that,you,DT,PRP
here i'll give it to you again ?,give,give,VB,it,you,PRP,PRP
i'll give it to you again ?,give,give,VB,it,you,PRP,PRP
give it to me .,give,give,VB,it,me,PRP,PRP
yeah we're gonna send her to the hospital .,send,send,VB,her,hospital,PRP,NN
yeah we just have to think about when is a good time to send her to the hospital .,send,send,VB,her,hospital,PRP,NN
well give it to thomas though he probably knows where it goes to .,give,give,VB,it,thomas,PRP,NNP
oh thank you are you giving that to mommy ?,give,giving,VBG,you,that,PRP,DT
well don't ask me which one i want catherine if you're not gonna give it to me .,give,give,VB,it,me,PRP,PRP
what are you saying to me my friend ?,say,saying,VBG,what,me,WP,PRP
maybe catherine can help you bring this stuff over to the other room ?,bring,bring,VB,stuff,room,NN,NN
bringing them to the play room is a good idea huh .,bring,bringing,VBG,them,room,PRP,NN
hey throw it to mama .,throw,throw,VB,it,mama,PRP,NN
throw it to mama .,throw,throw,VB,it,mama,PRP,NN
can you roll it to mama ?,roll,roll,VB,it,mama,PRP,NN
wanna give it to mama ?,give,give,VB,it,mama,PRP,NN
give it to mama .,give,give,VB,it,mama,PRP,NN
thank you you gave it to me .,give,gave,VBD,it,me,PRP,PRP
i think somebody gave it to us i don't remember who .,give,gave,VBD,it,us,PRP,PRP
give it to mommy .,give,give,VB,it,mommy,PRP,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
here give it to me please .,give,give,VB,it,me,PRP,PRP
give it to mommy please .,give,give,VB,it,mommy,PRP,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
can you give it to mommy ?,give,give,VB,it,mommy,PRP,NN
give it to mommy ?,give,give,VB,it,mommy,PRP,NN
can you give it to mommy ?,give,give,VB,it,mommy,PRP,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
give it to mommy please .,give,give,VB,it,mommy,PRP,NN
can you give this one to mommy ?,give,give,VB,one,mommy,NN,NN
can you get that can you give it to mommy ?,give,give,VB,that,it,DT,PRP
can you give it to mommy please ?,give,give,VB,it,mommy,PRP,NN
can you give it to mommy ?,give,give,VB,it,mommy,PRP,NN
you give it to mommy ?,give,give,VBP,it,mommy,PRP,NN
can you give it to me ?,give,give,VB,it,me,PRP,PRP
you ready to say good night good night good night to everybody ?,say,say,VB,night,everybody,NN,NN
okay joseph is coming to say good night to thomas .,say,say,VB,night,thomas,NN,NNP
i'll smush them up and give them to you .,give,give,VB,them,you,PRP,PRP
we'll give those to the baby .,give,give,VB,those,baby,DT,NN
we'll give those to the little baby .,give,give,VB,those,baby,DT,NN
take that to charlie's room .,take,take,VB,that,room,DT,NN
you want to give some of those to your papa ?,give,give,VB,some,those,DT,DT
you want to give that to roy ?,give,give,VB,that,roy,DT,NNP
are you gonna to give them to me ?,give,give,VB,them,me,PRP,PRP
you gonna give it to me ?,give,give,VB,it,me,PRP,PRP
leave her alone for a minute and see if she'll start talking to her toys .,leave,leave,VB,her,minute,PRP,NN
are you giving that to the monkey ?,give,giving,VBG,that,monkey,DT,NN
may give the book to your mother ?,give,give,VB,book,mother,NN,NN
bring the baby to your papa .,bring,bring,VB,baby,papa,NN,NN
