key,dative,sentence
naldpasd,do,mommy [verb] us the cat in that house .
naldpasd,pp,mommy [verb] the cat in that house to us .
naldpasd,do,he [verb] us the dog over there .
naldpasd,pp,he [verb] the dog over there to us .
naldpasd,do,john [verb] me the bear over there .
naldpasd,pp,john [verb] the bear over there to me .
naldpasd,do,john [verb] them the small dog .
naldpasd,pp,john [verb] the small dog to them .
naldpasd,do,lucy [verb] him the big bear .
naldpasd,pp,lucy [verb] the big bear to him .
naldpasd,do,he [verb] me the dog outside the house .
naldpasd,pp,he [verb] the dog outside the house to me .
naldpasd,do,she [verb] me the cat over there .
naldpasd,pp,she [verb] the cat over there to me .
naldpasd,do,lucy [verb] him the cute cat .
naldpasd,pp,lucy [verb] the cute cat to him .
naldpasd,do,she [verb] me the big bear .
naldpasd,pp,she [verb] the big bear to me .
naldpasd,do,john [verb] her the dog over there .
naldpasd,pp,john [verb] the dog over there to her .
naldpasi,do,mommy [verb] someone the small dog .
naldpasi,pp,mommy [verb] the small dog to someone .
naldpasi,do,john [verb] someone the bear over there .
naldpasi,pp,john [verb] the bear over there to someone .
naldpasi,do,he [verb] someone the dog outside the house .
naldpasi,pp,he [verb] the dog outside the house to someone .
naldpasi,do,daddy [verb] someone the dog over there .
naldpasi,pp,daddy [verb] the dog over there to someone .
naldpasi,do,mommy [verb] someone the cat over there .
naldpasi,pp,mommy [verb] the cat over there to someone .
naldpasi,do,john [verb] someone the cat in that house .
naldpasi,pp,john [verb] the cat in that house to someone .
naldpasi,do,lucy [verb] someone the big bear .
naldpasi,pp,lucy [verb] the big bear to someone .
naldpasi,do,she [verb] someone the cute cat .
naldpasi,pp,she [verb] the cute cat to someone .
naldpasi,do,mommy [verb] someone the cat over there .
naldpasi,pp,mommy [verb] the cat over there to someone .
naldpasi,do,she [verb] someone the dog outside the house .
naldpasi,pp,she [verb] the dog outside the house to someone .
naldpisd,do,she [verb] it the dog over there .
naldpisd,pp,she [verb] the dog over there to it .
naldpisd,do,lucy [verb] it the big bear .
naldpisd,pp,lucy [verb] the big bear to it .
naldpisd,do,he [verb] it the cat over there .
naldpisd,pp,he [verb] the cat over there to it .
naldpisd,do,he [verb] it the cute cat .
naldpisd,pp,he [verb] the cute cat to it .
naldpisd,do,mommy [verb] it the dog outside the house .
naldpisd,pp,mommy [verb] the dog outside the house to it .
naldpisd,do,he [verb] it the bear over there .
naldpisd,pp,he [verb] the bear over there to it .
naldpisd,do,he [verb] it the cat in that house .
naldpisd,pp,he [verb] the cat in that house to it .
naldpisd,do,john [verb] it the small dog .
naldpisd,pp,john [verb] the small dog to it .
naldpisd,do,he [verb] it the dog over there .
naldpisd,pp,he [verb] the dog over there to it .
naldpisd,do,mommy [verb] it the dog outside the house .
naldpisd,pp,mommy [verb] the dog outside the house to it .
naldpisi,do,daddy [verb] something the bear over there .
naldpisi,pp,daddy [verb] the bear over there to something .
naldpisi,do,mommy [verb] something the cat in that house .
naldpisi,pp,mommy [verb] the cat in that house to something .
naldpisi,do,daddy [verb] something the small dog .
naldpisi,pp,daddy [verb] the small dog to something .
naldpisi,do,lucy [verb] something the big bear .
naldpisi,pp,lucy [verb] the big bear to something .
naldpisi,do,john [verb] something the cute cat .
naldpisi,pp,john [verb] the cute cat to something .
naldpisi,do,daddy [verb] something the dog over there .
naldpisi,pp,daddy [verb] the dog over there to something .
naldpisi,do,she [verb] something the dog outside the house .
naldpisi,pp,she [verb] the dog outside the house to something .
naldpisi,do,daddy [verb] something the cat over there .
naldpisi,pp,daddy [verb] the cat over there to something .
naldpisi,do,john [verb] something the cat over there .
naldpisi,pp,john [verb] the cat over there to something .
naldpisi,do,daddy [verb] something the cat in that house .
naldpisi,pp,daddy [verb] the cat in that house to something .
naldnald,do,daddy [verb] the bear over there the dog over there .
naldnald,pp,daddy [verb] the dog over there to the bear over there .
