key,dative,sentence
nalpas,do,danny [verb] them the cute cat .
nalpas,pp,danny [verb] the cute cat to them .
nalpas,do,sarah [verb] him the cute puppy .
nalpas,pp,sarah [verb] the cute puppy to him .
nalpas,do,dad [verb] him the cute cat .
nalpas,pp,dad [verb] the cute cat to him .
nalpas,do,the girl [verb] him the cute cat .
nalpas,pp,the girl [verb] the cute cat to him .
nalpas,do,papa [verb] us the small baby .
nalpas,pp,papa [verb] the small baby to us .
nalpas,do,mark [verb] him the cute baby .
nalpas,pp,mark [verb] the cute baby to him .
nalpas,do,danny [verb] us the small baby .
nalpas,pp,danny [verb] the small baby to us .
nalpas,do,jimmy [verb] them the cute puppy .
nalpas,pp,jimmy [verb] the cute puppy to them .
nalpas,do,sammy [verb] them the small baby .
nalpas,pp,sammy [verb] the small baby to them .
nalpas,do,charlie [verb] him the small cat .
nalpas,pp,charlie [verb] the small cat to him .
nalpas,do,lucy [verb] them the cute baby .
nalpas,pp,lucy [verb] the cute baby to them .
nalpas,do,jimmy [verb] us the cute baby .
nalpas,pp,jimmy [verb] the cute baby to us .
nalpas,do,lucy [verb] him the cute cat .
nalpas,pp,lucy [verb] the cute cat to him .
nalpas,do,jimmy [verb] them the cute puppy .
nalpas,pp,jimmy [verb] the cute puppy to them .
nalpas,do,the girl [verb] him the cute baby .
nalpas,pp,the girl [verb] the cute baby to him .
nalpas,do,daddy [verb] him the cute cat .
nalpas,pp,daddy [verb] the cute cat to him .
nalpas,do,sarah [verb] them the small baby .
nalpas,pp,sarah [verb] the small baby to them .
nalpas,do,daddy [verb] us the small puppy .
nalpas,pp,daddy [verb] the small puppy to us .
nalpas,do,mark [verb] them the cute cat .
nalpas,pp,mark [verb] the cute cat to them .
nalpas,do,cookie monster [verb] him the cute puppy .
nalpas,pp,cookie monster [verb] the cute puppy to him .
nalpis,do,daddy [verb] it the cute puppy .
nalpis,pp,daddy [verb] the cute puppy to it .
nalpis,do,he [verb] it the small puppy .
nalpis,pp,he [verb] the small puppy to it .
nalpis,do,sammy [verb] it the cute puppy .
nalpis,pp,sammy [verb] the cute puppy to it .
nalpis,do,mark [verb] it the cute baby .
nalpis,pp,mark [verb] the cute baby to it .
nalpis,do,grandma [verb] it the small baby .
nalpis,pp,grandma [verb] the small baby to it .
nalpis,do,the girl [verb] it the cute cat .
nalpis,pp,the girl [verb] the cute cat to it .
nalpis,do,they [verb] it the small cat .
nalpis,pp,they [verb] the small cat to it .
nalpis,do,mark [verb] it the small puppy .
nalpis,pp,mark [verb] the small puppy to it .
nalpis,do,grandma [verb] it the small baby .
nalpis,pp,grandma [verb] the small baby to it .
nalpis,do,dad [verb] it the cute cat .
nalpis,pp,dad [verb] the cute cat to it .
nalpis,do,they [verb] it the small baby .
nalpis,pp,they [verb] the small baby to it .
nalpis,do,sarah [verb] it the cute baby .
nalpis,pp,sarah [verb] the cute baby to it .
nalpis,do,they [verb] it the cute baby .
nalpis,pp,they [verb] the cute baby to it .
nalpis,do,danny [verb] it the small baby .
nalpis,pp,danny [verb] the small baby to it .
nalpis,do,charlie [verb] it the cute baby .
nalpis,pp,charlie [verb] the cute baby to it .
nalpis,do,jenny [verb] it the small baby .
nalpis,pp,jenny [verb] the small baby to it .
nalpis,do,mark [verb] it the small baby .
nalpis,pp,mark [verb] the small baby to it .
nalpis,do,the girl [verb] it the small puppy .
nalpis,pp,the girl [verb] the small puppy to it .
nalpis,do,jenny [verb] it the cute baby .
nalpis,pp,jenny [verb] the cute baby to it .
nalpis,do,cookie monster [verb] it the cute puppy .
nalpis,pp,cookie monster [verb] the cute puppy to it .
nalnal,do,sammy [verb] the cute baby the cute puppy .
nalnal,pp,sammy [verb] the cute puppy to the cute baby .
nalnal,do,winnie the pooh [verb] the small baby the small puppy .
nalnal,pp,winnie the pooh [verb] the small puppy to the small baby .
nalnal,do,papa [verb] the cute baby the small puppy .
nalnal,pp,papa [verb] the small puppy to the cute baby .
nalnal,do,they [verb] the small baby the small puppy .
nalnal,pp,they [verb] the small puppy to the small baby .
nalnal,do,lucy [verb] the small puppy the cute baby .
nalnal,pp,lucy [verb] the cute baby to the small puppy .
nalnal,do,daddy [verb] the cute cat the cute puppy .
nalnal,pp,daddy [verb] the cute puppy to the cute cat .
nalnal,do,danny [verb] the cute cat the small puppy .
nalnal,pp,danny [verb] the small puppy to the cute cat .
nalnal,do,papa [verb] the cute baby the cute puppy .
nalnal,pp,papa [verb] the cute puppy to the cute baby .
nalnal,do,sam [verb] the cute cat the cute puppy .
nalnal,pp,sam [verb] the cute puppy to the cute cat .
nalnal,do,ben [verb] the cute baby the cute cat .
nalnal,pp,ben [verb] the cute cat to the cute baby .
nalnal,do,charlie [verb] the cute cat the small puppy .
nalnal,pp,charlie [verb] the small puppy to the cute cat .
nalnal,do,papa [verb] the small cat the small puppy .
nalnal,pp,papa [verb] the small puppy to the small cat .
nalnal,do,pinnochio [verb] the cute baby the cute puppy .
nalnal,pp,pinnochio [verb] the cute puppy to the cute baby .
nalnal,do,ben [verb] the cute cat the small baby .
nalnal,pp,ben [verb] the small baby to the cute cat .
nalnal,do,charlie [verb] the cute puppy the cute cat .
nalnal,pp,charlie [verb] the cute cat to the cute puppy .
nalnal,do,we [verb] the small puppy the cute cat .
nalnal,pp,we [verb] the cute cat to the small puppy .
nalnal,do,lucy [verb] the cute cat the cute puppy .
nalnal,pp,lucy [verb] the cute puppy to the cute cat .
nalnal,do,sam [verb] the cute puppy the small cat .
nalnal,pp,sam [verb] the small cat to the cute puppy .
nalnal,do,mark [verb] the small cat the small baby .
nalnal,pp,mark [verb] the small baby to the small cat .
nalnal,do,winnie the pooh [verb] the cute puppy the small cat .
nalnal,pp,winnie the pooh [verb] the small cat to the cute puppy .
nalnas,do,charlie [verb] david the small baby .
nalnas,pp,charlie [verb] the small baby to david .
nalnas,do,dad [verb] daddy the cute cat .
nalnas,pp,dad [verb] the cute cat to daddy .
nalnas,do,ben [verb] daddy the small baby .
nalnas,pp,ben [verb] the small baby to daddy .
nalnas,do,jimmy [verb] pooh the small cat .
nalnas,pp,jimmy [verb] the small cat to pooh .
nalnas,do,sam [verb] david the small cat .
nalnas,pp,sam [verb] the small cat to david .
nalnas,do,we [verb] nemo the small puppy .
nalnas,pp,we [verb] the small puppy to nemo .
nalnas,do,mark [verb] cookie monster the cute puppy .
nalnas,pp,mark [verb] the cute puppy to cookie monster .
nalnas,do,ben [verb] grandma the cute baby .
nalnas,pp,ben [verb] the cute baby to grandma .
nalnas,do,winnie the pooh [verb] david the cute baby .
nalnas,pp,winnie the pooh [verb] the cute baby to david .
nalnas,do,charlie [verb] cookie monster the cute puppy .
nalnas,pp,charlie [verb] the cute puppy to cookie monster .
nalnas,do,pinnochio [verb] nemo the small cat .
nalnas,pp,pinnochio [verb] the small cat to nemo .
nalnas,do,jimmy [verb] nemo the small puppy .
nalnas,pp,jimmy [verb] the small puppy to nemo .
nalnas,do,papa [verb] grandma the small cat .
nalnas,pp,papa [verb] the small cat to grandma .
nalnas,do,sammy [verb] barney the cute cat .
nalnas,pp,sammy [verb] the cute cat to barney .
nalnas,do,sarah [verb] cookie monster the small baby .
nalnas,pp,sarah [verb] the small baby to cookie monster .
nalnas,do,jimmy [verb] pooh the cute puppy .
nalnas,pp,jimmy [verb] the cute puppy to pooh .
nalnas,do,he [verb] nemo the cute baby .
nalnas,pp,he [verb] the cute baby to nemo .
nalnas,do,charlie [verb] nemo the small baby .
nalnas,pp,charlie [verb] the small baby to nemo .
nalnas,do,we [verb] nemo the cute puppy .
nalnas,pp,we [verb] the cute puppy to nemo .
nalnas,do,sam [verb] lucy the cute baby .
nalnas,pp,sam [verb] the cute baby to lucy .
naspas,do,pinnochio [verb] them lucy .
naspas,pp,pinnochio [verb] lucy to them .
naspas,do,pinnochio [verb] them pooh .
naspas,pp,pinnochio [verb] pooh to them .
naspas,do,ben [verb] us daddy .
naspas,pp,ben [verb] daddy to us .
naspas,do,sarah [verb] them daddy .
naspas,pp,sarah [verb] daddy to them .
naspas,do,charlie [verb] them lucy .
naspas,pp,charlie [verb] lucy to them .
naspas,do,winnie the pooh [verb] him the girl .
naspas,pp,winnie the pooh [verb] the girl to him .
naspas,do,sam [verb] him daddy .
naspas,pp,sam [verb] daddy to him .
naspas,do,papa [verb] him barney .
naspas,pp,papa [verb] barney to him .
naspas,do,mark [verb] them cookie monster .
naspas,pp,mark [verb] cookie monster to them .
naspas,do,winnie the pooh [verb] him barney .
