item_id,verb_id,verb_type,verb,do,pp
1,1,nana-do,charged,mommy charged him the price .,mommy charged the price to him .
2,1,nana-do,charged,ryan charged her the price .,ryan charged the price to her .
3,1,nana-do,charged,grandma charged them the price .,grandma charged the price to them .
4,1,nana-do,charged,daddy charged us the price .,daddy charged the price to us .
5,1,nana-do,charged,nina charged mommy the price .,nina charged the price to mommy .
6,1,nana-do,charged,john charged the bear the price .,john charged the price to the bear .
7,1,nana-do,charged,john charged the girl the price .,john charged the price to the girl .
8,1,nana-do,charged,ethan charged the man the price .,ethan charged the price to the man .
9,1,nana-do,charged,daddy charged my uncle the price .,daddy charged the price to my uncle .
10,1,nana-do,charged,ryan charged a stranger the price .,ryan charged the price to a stranger .
11,1,nana-do,charged,mommy charged him the full amount .,mommy charged the full amount to him .
12,1,nana-do,charged,daddy charged her the full amount .,daddy charged the full amount to her .
13,1,nana-do,charged,the boy charged them the full amount .,the boy charged the full amount to them .
14,1,nana-do,charged,ryan charged us the full amount .,ryan charged the full amount to us .
15,1,nana-do,charged,she charged mommy the full amount .,she charged the full amount to mommy .
16,1,nana-do,charged,adam charged the bear the full amount .,adam charged the full amount to the bear .
17,1,nana-do,charged,grandma charged the girl the full amount .,grandma charged the full amount to the girl .
18,1,nana-do,charged,grandma charged the man the full amount .,grandma charged the full amount to the man .
19,1,nana-do,charged,ryan charged my uncle the full amount .,ryan charged the full amount to my uncle .
20,1,nana-do,charged,john charged a stranger the full amount .,john charged the full amount to a stranger .
21,1,nana-do,charged,john charged him the cost .,john charged the cost to him .
22,1,nana-do,charged,the boy charged her the cost .,the boy charged the cost to her .
23,1,nana-do,charged,she charged them the cost .,she charged the cost to them .
24,1,nana-do,charged,grandma charged us the cost .,grandma charged the cost to us .
25,1,nana-do,charged,the boy charged mommy the cost .,the boy charged the cost to mommy .
26,1,nana-do,charged,john charged the bear the cost .,john charged the cost to the bear .
27,1,nana-do,charged,daddy charged the girl the cost .,daddy charged the cost to the girl .
28,1,nana-do,charged,mommy charged the man the cost .,mommy charged the cost to the man .
29,1,nana-do,charged,daddy charged my uncle the cost .,daddy charged the cost to my uncle .
30,1,nana-do,charged,the boy charged a stranger the cost .,the boy charged the cost to a stranger .
31,1,nana-do,charged,adam charged him the fees .,adam charged the fees to him .
32,1,nana-do,charged,john charged her the fees .,john charged the fees to her .
33,1,nana-do,charged,david charged them the fees .,david charged the fees to them .
34,1,nana-do,charged,she charged us the fees .,she charged the fees to us .
35,1,nana-do,charged,nina charged mommy the fees .,nina charged the fees to mommy .
36,1,nana-do,charged,laura charged the bear the fees .,laura charged the fees to the bear .
37,1,nana-do,charged,grandma charged the girl the fees .,grandma charged the fees to the girl .
38,1,nana-do,charged,laura charged the man the fees .,laura charged the fees to the man .
39,1,nana-do,charged,laura charged my uncle the fees .,laura charged the fees to my uncle .
40,1,nana-do,charged,ethan charged a stranger the fees .,ethan charged the fees to a stranger .
41,1,nana-do,charged,daddy charged him two dollars .,daddy charged two dollars to him .
42,1,nana-do,charged,adam charged her two dollars .,adam charged two dollars to her .
43,1,nana-do,charged,lily charged them two dollars .,lily charged two dollars to them .
44,1,nana-do,charged,nina charged us two dollars .,nina charged two dollars to us .
45,1,nana-do,charged,ethan charged mommy two dollars .,ethan charged two dollars to mommy .
46,1,nana-do,charged,john charged the bear two dollars .,john charged two dollars to the bear .
47,1,nana-do,charged,laura charged the girl two dollars .,laura charged two dollars to the girl .
48,1,nana-do,charged,lily charged the man two dollars .,lily charged two dollars to the man .
49,1,nana-do,charged,ryan charged my uncle two dollars .,ryan charged two dollars to my uncle .
50,1,nana-do,charged,ryan charged a stranger two dollars .,ryan charged two dollars to a stranger .
51,1,nana-do,charged,adam charged him a quarter .,adam charged a quarter to him .
52,1,nana-do,charged,ryan charged her a quarter .,ryan charged a quarter to her .
53,1,nana-do,charged,lily charged them a quarter .,lily charged a quarter to them .
54,1,nana-do,charged,lily charged us a quarter .,lily charged a quarter to us .
55,1,nana-do,charged,she charged mommy a quarter .,she charged a quarter to mommy .
56,1,nana-do,charged,nina charged the bear a quarter .,nina charged a quarter to the bear .
57,1,nana-do,charged,laura charged the girl a quarter .,laura charged a quarter to the girl .
58,1,nana-do,charged,grandma charged the man a quarter .,grandma charged a quarter to the man .
59,1,nana-do,charged,daddy charged my uncle a quarter .,daddy charged a quarter to my uncle .
60,1,nana-do,charged,david charged a stranger a quarter .,david charged a quarter to a stranger .
61,1,nana-do,charged,the boy charged him everything .,the boy charged everything to him .
62,1,nana-do,charged,ryan charged her everything .,ryan charged everything to her .
63,1,nana-do,charged,adam charged them everything .,adam charged everything to them .
64,1,nana-do,charged,ryan charged us everything .,ryan charged everything to us .
65,1,nana-do,charged,the boy charged mommy everything .,the boy charged everything to mommy .
66,1,nana-do,charged,nina charged the bear everything .,nina charged everything to the bear .
67,1,nana-do,charged,mommy charged the girl everything .,mommy charged everything to the girl .
68,1,nana-do,charged,she charged the man everything .,she charged everything to the man .
69,1,nana-do,charged,lily charged my uncle everything .,lily charged everything to my uncle .
70,1,nana-do,charged,she charged a stranger everything .,she charged everything to a stranger .
71,2,nana-do,cost,john cost him some money .,john cost some money to him .
72,2,nana-do,cost,daddy cost her some money .,daddy cost some money to her .
73,2,nana-do,cost,ryan cost everyone some money .,ryan cost some money to everyone .
74,2,nana-do,cost,grandma cost mommy some money .,grandma cost some money to mommy .
75,2,nana-do,cost,mommy cost daddy some money .,mommy cost some money to daddy .
76,2,nana-do,cost,john cost the bear some money .,john cost some money to the bear .
77,2,nana-do,cost,laura cost the girl some money .,laura cost some money to the girl .
78,2,nana-do,cost,nina cost the man some money .,nina cost some money to the man .
79,2,nana-do,cost,ryan cost my uncle some money .,ryan cost some money to my uncle .
80,2,nana-do,cost,john cost a stranger some money .,john cost some money to a stranger .
81,2,nana-do,cost,ryan cost him two cents .,ryan cost two cents to him .
82,2,nana-do,cost,adam cost her two cents .,adam cost two cents to her .
83,2,nana-do,cost,nina cost everyone two cents .,nina cost two cents to everyone .
84,2,nana-do,cost,david cost mommy two cents .,david cost two cents to mommy .
85,2,nana-do,cost,mommy cost daddy two cents .,mommy cost two cents to daddy .
86,2,nana-do,cost,lily cost the bear two cents .,lily cost two cents to the bear .
87,2,nana-do,cost,ethan cost the girl two cents .,ethan cost two cents to the girl .
88,2,nana-do,cost,lily cost the man two cents .,lily cost two cents to the man .
89,2,nana-do,cost,lily cost my uncle two cents .,lily cost two cents to my uncle .
90,2,nana-do,cost,john cost a stranger two cents .,john cost two cents to a stranger .
91,2,nana-do,cost,mommy cost him the price .,mommy cost the price to him .
92,2,nana-do,cost,nina cost her the price .,nina cost the price to her .
93,2,nana-do,cost,daddy cost everyone the price .,daddy cost the price to everyone .
94,2,nana-do,cost,daddy cost mommy the price .,daddy cost the price to mommy .
95,2,nana-do,cost,mommy cost daddy the price .,mommy cost the price to daddy .
96,2,nana-do,cost,ryan cost the bear the price .,ryan cost the price to the bear .
97,2,nana-do,cost,she cost the girl the price .,she cost the price to the girl .
98,2,nana-do,cost,mommy cost the man the price .,mommy cost the price to the man .
99,2,nana-do,cost,ethan cost my uncle the price .,ethan cost the price to my uncle .
100,2,nana-do,cost,the boy cost a stranger the price .,the boy cost the price to a stranger .
101,2,nana-do,cost,daddy cost him the full amount .,daddy cost the full amount to him .
102,2,nana-do,cost,john cost her the full amount .,john cost the full amount to her .
103,2,nana-do,cost,ethan cost everyone the full amount .,ethan cost the full amount to everyone .
104,2,nana-do,cost,david cost mommy the full amount .,david cost the full amount to mommy .
105,2,nana-do,cost,adam cost daddy the full amount .,adam cost the full amount to daddy .
106,2,nana-do,cost,nina cost the bear the full amount .,nina cost the full amount to the bear .
107,2,nana-do,cost,mommy cost the girl the full amount .,mommy cost the full amount to the girl .
108,2,nana-do,cost,daddy cost the man the full amount .,daddy cost the full amount to the man .
109,2,nana-do,cost,the boy cost my uncle the full amount .,the boy cost the full amount to my uncle .
110,2,nana-do,cost,john cost a stranger the full amount .,john cost the full amount to a stranger .
111,2,nana-do,cost,mommy cost him the job .,mommy cost the job to him .
112,2,nana-do,cost,lily cost her the job .,lily cost the job to her .
113,2,nana-do,cost,laura cost everyone the job .,laura cost the job to everyone .
114,2,nana-do,cost,grandma cost mommy the job .,grandma cost the job to mommy .
115,2,nana-do,cost,john cost daddy the job .,john cost the job to daddy .
116,2,nana-do,cost,grandma cost the bear the job .,grandma cost the job to the bear .
117,2,nana-do,cost,laura cost the girl the job .,laura cost the job to the girl .
118,2,nana-do,cost,lily cost the man the job .,lily cost the job to the man .
119,2,nana-do,cost,adam cost my uncle the job .,adam cost the job to my uncle .
120,2,nana-do,cost,nina cost a stranger the job .,nina cost the job to a stranger .
121,2,nana-do,cost,ryan cost him the game .,ryan cost the game to him .
122,2,nana-do,cost,john cost her the game .,john cost the game to her .
123,2,nana-do,cost,she cost everyone the game .,she cost the game to everyone .
124,2,nana-do,cost,laura cost mommy the game .,laura cost the game to mommy .
125,2,nana-do,cost,lily cost daddy the game .,lily cost the game to daddy .
126,2,nana-do,cost,john cost the bear the game .,john cost the game to the bear .
127,2,nana-do,cost,mommy cost the girl the game .,mommy cost the game to the girl .
128,2,nana-do,cost,david cost the man the game .,david cost the game to the man .
129,2,nana-do,cost,adam cost my uncle the game .,adam cost the game to my uncle .
130,2,nana-do,cost,mommy cost a stranger the game .,mommy cost the game to a stranger .
131,2,nana-do,cost,david cost him everything .,david cost everything to him .
132,2,nana-do,cost,ethan cost her everything .,ethan cost everything to her .
133,2,nana-do,cost,nina cost everyone everything .,nina cost everything to everyone .
134,2,nana-do,cost,ethan cost mommy everything .,ethan cost everything to mommy .
135,2,nana-do,cost,john cost daddy everything .,john cost everything to daddy .
136,2,nana-do,cost,daddy cost the bear everything .,daddy cost everything to the bear .
137,2,nana-do,cost,the boy cost the girl everything .,the boy cost everything to the girl .
138,2,nana-do,cost,the boy cost the man everything .,the boy cost everything to the man .
139,2,nana-do,cost,nina cost my uncle everything .,nina cost everything to my uncle .
140,2,nana-do,cost,daddy cost a stranger everything .,daddy cost everything to a stranger .
141,3,nana-do,wished,the boy wished him happiness .,the boy wished happiness to him .
142,3,nana-do,wished,adam wished her happiness .,adam wished happiness to her .
143,3,nana-do,wished,the boy wished them happiness .,the boy wished happiness to them .
144,3,nana-do,wished,adam wished us happiness .,adam wished happiness to us .
145,3,nana-do,wished,lily wished mommy happiness .,lily wished happiness to mommy .
146,3,nana-do,wished,john wished the bear happiness .,john wished happiness to the bear .
147,3,nana-do,wished,ethan wished the girl happiness .,ethan wished happiness to the girl .
148,3,nana-do,wished,you wished the man happiness .,you wished happiness to the man .
149,3,nana-do,wished,david wished my uncle happiness .,david wished happiness to my uncle .
150,3,nana-do,wished,ryan wished a stranger happiness .,ryan wished happiness to a stranger .
151,3,nana-do,wished,daddy wished him the best .,daddy wished the best to him .
152,3,nana-do,wished,grandma wished her the best .,grandma wished the best to her .
153,3,nana-do,wished,laura wished them the best .,laura wished the best to them .
154,3,nana-do,wished,ryan wished us the best .,ryan wished the best to us .
155,3,nana-do,wished,ethan wished mommy the best .,ethan wished the best to mommy .
156,3,nana-do,wished,she wished the bear the best .,she wished the best to the bear .
157,3,nana-do,wished,ethan wished the girl the best .,ethan wished the best to the girl .
158,3,nana-do,wished,daddy wished the man the best .,daddy wished the best to the man .
159,3,nana-do,wished,she wished my uncle the best .,she wished the best to my uncle .
160,3,nana-do,wished,adam wished a stranger the best .,adam wished the best to a stranger .
161,3,nana-do,wished,the boy wished him the same .,the boy wished the same to him .
162,3,nana-do,wished,ryan wished her the same .,ryan wished the same to her .
163,3,nana-do,wished,adam wished them the same .,adam wished the same to them .
164,3,nana-do,wished,adam wished us the same .,adam wished the same to us .
165,3,nana-do,wished,the boy wished mommy the same .,the boy wished the same to mommy .
166,3,nana-do,wished,david wished the bear the same .,david wished the same to the bear .
167,3,nana-do,wished,you wished the girl the same .,you wished the same to the girl .
168,3,nana-do,wished,nina wished the man the same .,nina wished the same to the man .
169,3,nana-do,wished,you wished my uncle the same .,you wished the same to my uncle .
170,3,nana-do,wished,laura wished a stranger the same .,laura wished the same to a stranger .
171,3,nana-do,wished,grandma wished him success .,grandma wished success to him .
172,3,nana-do,wished,she wished her success .,she wished success to her .
