item_id,do_score,pp_score
1,-6.107530117034912,-5.54670524597168
2,-6.517449378967285,-5.873252868652344
3,-5.924524307250977,-5.268448829650879
4,-5.440344333648682,-5.405115127563477
5,-6.105374813079834,-5.74179744720459
6,-6.13156795501709,-5.304908275604248
7,-6.341012001037598,-5.266690254211426
8,-6.340040683746338,-5.379376411437988
9,-6.528898239135742,-5.698160648345947
10,-6.896492958068848,-5.775063514709473
11,-6.171614646911621,-5.951857089996338
12,-5.948597431182861,-5.92114782333374
13,-5.654425621032715,-5.659371376037598
14,-6.321859359741211,-6.469075679779053
15,-5.996499538421631,-5.586643695831299
16,-6.212984561920166,-5.995604038238525
17,-6.018113136291504,-5.663157939910889
18,-6.049159526824951,-5.735753059387207
19,-6.885686874389648,-6.373219013214111
20,-6.854730129241943,-5.691058158874512
21,-6.471031665802002,-6.298317909240723
22,-5.81124210357666,-5.860803604125977
23,-6.454626560211182,-5.912205696105957
24,-5.885250568389893,-5.957049369812012
25,-6.40471076965332,-5.70028018951416
26,-6.158056259155273,-5.759645938873291
27,-6.594098091125488,-5.785488605499268
28,-6.384513854980469,-5.893826961517334
29,-7.090608596801758,-6.098936080932617
30,-6.547730922698975,-5.5844831466674805
31,-5.904694080352783,-5.955417156219482
32,-5.523143768310547,-5.6147871017456055
33,-6.253019332885742,-5.901923179626465
34,-4.978216171264648,-5.269551753997803
35,-5.984439373016357,-5.718595504760742
36,-5.386513710021973,-5.322040557861328
37,-5.589151859283447,-5.412652015686035
38,-5.418264389038086,-5.561622619628906
39,-5.897653579711914,-5.586849212646484
40,-6.296852111816406,-5.400917053222656
41,-5.7126665115356445,-5.989340305328369
42,-5.896307945251465,-6.181767463684082
43,-6.2527546882629395,-6.125258445739746
44,-5.2646050453186035,-6.09783935546875
45,-6.060026168823242,-5.8322601318359375
46,-5.955754280090332,-5.51303768157959
47,-5.960574626922607,-5.519340515136719
48,-6.322625160217285,-6.027011394500732
49,-6.704349517822266,-6.150496006011963
50,-6.159863471984863,-6.281910419464111
51,-5.6094255447387695,-6.296487808227539
52,-6.400137901306152,-6.397124767303467
53,-5.750328540802002,-6.059854030609131
54,-5.089024543762207,-5.795085430145264
55,-5.8304572105407715,-5.611775875091553
56,-5.671270370483398,-5.777029991149902
57,-5.807806968688965,-5.588906288146973
58,-6.1985578536987305,-5.9283576011657715
59,-6.351672649383545,-5.436661720275879
60,-6.716255187988281,-5.7293620109558105
61,-5.00110387802124,-5.8589630126953125
62,-6.698539733886719,-6.930388450622559
63,-6.625637054443359,-6.941439151763916
64,-5.900803565979004,-6.629003047943115
65,-5.3909993171691895,-6.0471391677856445
66,-5.867257118225098,-6.315517425537109
67,-6.2045416831970215,-6.300545692443848
68,-5.741927146911621,-5.829745769500732
69,-6.470364093780518,-6.4076690673828125
70,-6.471360206604004,-5.917426109313965
71,-5.858036041259766,-5.863821506500244
72,-5.397773742675781,-5.36698055267334
73,-6.8725409507751465,-5.991211414337158
74,-5.921956539154053,-5.7400078773498535
75,-5.506251335144043,-5.466455459594727
76,-6.123631954193115,-5.68351936340332
77,-5.783535957336426,-5.103463649749756
78,-6.070026874542236,-5.368544101715088
79,-6.657750606536865,-5.3285136222839355
80,-6.299197196960449,-6.199574947357178
81,-6.398345947265625,-5.885181903839111
82,-6.541051864624023,-5.977080345153809
83,-7.668300628662109,-6.306839466094971
84,-6.9561004638671875,-6.125288963317871
85,-6.068847179412842,-5.528140544891357
86,-7.10448694229126,-5.955072402954102
87,-7.136585235595703,-5.760943412780762
88,-7.156403064727783,-6.1501145362854
89,-7.575584888458252,-5.906608581542969
90,-6.445728778839111,-6.194715976715088
91,-6.138705253601074,-5.6516499519348145
92,-6.4516921043396,-5.525250434875488
93,-6.999537467956543,-5.756162643432617
94,-5.84376859664917,-5.496113300323486
95,-5.960963249206543,-5.476387977600098
96,-6.629609107971191,-5.873227596282959
97,-5.647815227508545,-4.753289222717285
98,-5.9918532371521,-5.340573310852051
99,-7.559821128845215,-5.902087688446045
100,-6.3625664710998535,-5.750423431396484
101,-6.552125453948975,-6.63524055480957
102,-7.023595809936523,-7.111382961273193
103,-7.991175174713135,-7.362011909484863
104,-7.08502197265625,-7.207072734832764
105,-7.328251838684082,-7.143542289733887
106,-7.003167629241943,-6.483187675476074
107,-6.570194721221924,-6.242268085479736
108,-6.490323066711426,-6.204946994781494
109,-7.335288047790527,-6.268333435058594
110,-7.249513626098633,-6.837347507476807
111,-6.8327836990356445,-6.60153865814209
112,-6.825058937072754,-6.278158187866211
113,-7.6467390060424805,-6.400664329528809
114,-7.032256126403809,-6.497549057006836
115,-7.485101699829102,-6.6171441078186035
116,-6.740972518920898,-6.327846527099609
117,-6.317782878875732,-5.576949119567871
118,-6.679967403411865,-6.302296161651611
119,-8.09492301940918,-6.514397144317627
120,-7.044388294219971,-6.636054992675781
121,-6.850320816040039,-6.768426418304443
122,-7.4005937576293945,-6.900391101837158
123,-7.4408674240112305,-6.801696300506592
124,-6.590974807739258,-6.4307146072387695
125,-7.511763572692871,-6.820695400238037
126,-7.121439456939697,-6.598052024841309
127,-6.891568183898926,-6.164121627807617
128,-7.089016914367676,-6.557355880737305
129,-8.106573104858398,-6.754244804382324
130,-7.091581344604492,-6.792873382568359
131,-7.862651348114014,-7.9307169914245605
132,-7.723806858062744,-7.83651065826416
133,-8.639205932617188,-8.261119842529297
134,-7.117486476898193,-7.69657039642334
135,-7.527957439422607,-8.001749038696289
136,-6.792001247406006,-6.9833550453186035
137,-6.322688579559326,-6.696191787719727
138,-6.522927761077881,-6.667567253112793
139,-8.405498504638672,-7.590040683746338
140,-6.954565048217773,-7.1704816818237305
141,-5.52431583404541,-5.468772888183594
142,-5.738293647766113,-6.378353118896484
143,-5.834559440612793,-5.763432025909424
144,-6.345871448516846,-6.294827461242676
145,-5.618396282196045,-5.83403205871582
146,-5.637984275817871,-5.726439476013184
147,-5.128647327423096,-5.647314071655273
148,-4.854106426239014,-5.50931453704834
149,-5.723792552947998,-6.310450077056885
150,-6.340183734893799,-6.252405643463135
151,-4.840330123901367,-5.160549640655518
152,-4.910338401794434,-5.422780990600586
153,-5.832135200500488,-5.844397068023682
154,-6.124011516571045,-6.447840690612793
155,-5.494847297668457,-5.785472393035889
156,-4.021598815917969,-4.66941499710083
157,-5.306069374084473,-5.2285895347595215
158,-4.8527984619140625,-5.094167232513428
159,-5.158810138702393,-5.190661907196045
160,-5.656981468200684,-5.84076452255249
161,-5.179404258728027,-5.00011682510376
162,-5.663013935089111,-5.93896484375
163,-5.444315433502197,-5.7797441482543945
164,-5.623559474945068,-5.671760559082031
165,-6.133600234985352,-5.475024223327637
166,-5.6609625816345215,-5.522251605987549
167,-5.427402496337891,-4.958957195281982
168,-5.494872093200684,-5.347021579742432
169,-5.66695499420166,-5.337296485900879
170,-6.06620979309082,-5.6401872634887695
171,-5.596842288970947,-6.098515033721924
172,-4.066952228546143,-5.179263591766357
173,-5.3662214279174805,-5.93594217300415
174,-6.2347331047058105,-6.336340427398682
175,-5.110060214996338,-5.505609512329102
176,-5.1574578285217285,-5.492961406707764
177,-5.458841323852539,-5.571845531463623
178,-5.637411594390869,-6.026562690734863
179,-4.606806755065918,-5.895880222320557
180,-4.74110221862793,-5.154853820800781
181,-5.267167091369629,-5.32798433303833
182,-5.379936218261719,-6.488979816436768
183,-5.546233654022217,-5.784196853637695
184,-5.617637634277344,-6.0542893409729
185,-5.493435859680176,-5.869534969329834
186,-5.196534633636475,-5.514947414398193
187,-5.2204060554504395,-5.591542720794678
188,-5.285270690917969,-5.588830471038818
189,-5.275094985961914,-5.638639450073242
190,-5.429057598114014,-5.8161492347717285
191,-4.8745012283325195,-4.806324005126953
192,-4.624274253845215,-4.723110675811768
193,-6.256131172180176,-5.340880393981934
194,-5.075767517089844,-4.885807037353516
195,-5.673569202423096,-5.821552276611328
196,-4.924480438232422,-4.999454021453857
197,-4.426503658294678,-4.29504919052124
198,-5.598944664001465,-5.439349174499512
199,-5.726420879364014,-5.227194309234619
200,-4.879035949707031,-4.268671989440918
201,-4.826480865478516,-4.791349411010742
202,-4.922610759735107,-5.109333038330078
203,-5.5794997215271,-5.166757106781006
204,-5.172182559967041,-5.055069923400879
205,-4.847052097320557,-5.170469760894775
206,-4.485780239105225,-4.674197196960449
207,-5.365302562713623,-5.059880256652832
208,-5.071959018707275,-4.942534923553467
209,-4.986530303955078,-4.780041217803955
210,-5.571303367614746,-4.969655990600586
211,-6.991875171661377,-6.527538776397705
212,-6.06464147567749,-5.07847785949707
213,-7.562292098999023,-6.70078706741333
214,-7.3315205574035645,-6.703388690948486
215,-7.3435845375061035,-6.801102638244629
216,-5.303372383117676,-4.390923023223877
217,-5.884986877441406,-5.292850017547607
218,-6.700594902038574,-5.788584232330322
219,-7.573062896728516,-6.315618991851807
220,-6.816428184509277,-5.92526388168335
221,-7.0232253074646,-6.07255744934082
222,-7.445989608764648,-6.051059722900391
223,-7.7484130859375,-6.642667770385742
224,-7.238623142242432,-6.515058517456055
225,-6.559804916381836,-5.7614665031433105
226,-7.0693888664245605,-5.769113540649414
227,-7.788217544555664,-6.170256614685059
228,-7.275419235229492,-5.972512722015381
229,-7.5459184646606445,-6.220457553863525
230,-6.461843013763428,-5.251132488250732
231,-6.4007134437561035,-6.130239009857178
232,-6.454419136047363,-6.097945213317871
233,-6.48762845993042,-6.390625
234,-6.259322643280029,-5.953734397888184
235,-6.728825092315674,-6.389322757720947
236,-4.987815856933594,-4.512038230895996
237,-6.38336181640625,-5.716359615325928
238,-6.389980316162109,-5.505265235900879
239,-7.378571510314941,-6.106256484985352
240,-6.5489420890808105,-6.0339484214782715
241,-7.053435802459717,-7.041898727416992
242,-7.198033332824707,-6.93679666519165
243,-5.846653938293457,-6.207637310028076
244,-7.456827640533447,-7.557920932769775
245,-7.004862308502197,-6.839263439178467
246,-6.693288803100586,-6.681417942047119
247,-7.197845458984375,-7.102208137512207
248,-7.460335731506348,-7.198169231414795
249,-7.68947696685791,-6.9910478591918945
250,-7.327479839324951,-7.098735809326172
251,-8.266426086425781,-7.695625305175781
252,-8.943992614746094,-8.18050479888916
253,-8.966066360473633,-8.140726089477539
254,-7.557349681854248,-7.060548305511475
255,-9.140233993530273,-8.271787643432617
256,-7.936845779418945,-7.088624477386475
257,-7.771448612213135,-6.664485454559326
258,-8.604001998901367,-7.712826728820801
259,-8.708843231201172,-7.243936061859131
260,-7.925572395324707,-7.595500946044922
261,-8.11490249633789,-6.590643882751465
262,-7.911105155944824,-6.35282039642334
263,-8.332003593444824,-7.070194721221924
264,-7.332921504974365,-6.329305648803711
265,-8.576740264892578,-6.719031810760498
266,-6.885954856872559,-5.94975471496582
267,-7.32949161529541,-6.496494293212891
268,-7.277790069580078,-6.078464508056641
269,-7.239552021026611,-5.890220642089844
270,-6.733451843261719,-5.983852863311768
271,-6.851563930511475,-6.4453511238098145
272,-6.773347854614258,-6.5644755363464355
273,-7.659832954406738,-7.322370529174805
274,-7.217350959777832,-7.0402655601501465
275,-8.408097267150879,-7.013047695159912
276,-6.026312828063965,-5.1878437995910645
277,-6.209737777709961,-5.2358245849609375
278,-7.441049575805664,-6.57834529876709
279,-7.842923164367676,-6.559543609619141
280,-6.804853916168213,-6.450669288635254
281,-6.807095050811768,-6.259627819061279
282,-5.787539005279541,-5.159649848937988
283,-6.947306156158447,-6.447625160217285
284,-6.927754878997803,-6.473361015319824
285,-6.938759803771973,-6.592140197753906
286,-6.614290237426758,-5.91689920425415
287,-6.967679500579834,-5.871393203735352
288,-6.808891296386719,-6.040045738220215
289,-7.837610244750977,-6.101693630218506
290,-7.206648349761963,-5.995916843414307
291,-6.597416877746582,-6.224164962768555
292,-6.332331657409668,-6.030952453613281
293,-6.298806190490723,-5.715250015258789
294,-6.694731712341309,-6.454545974731445
295,-5.329514980316162,-4.696705341339111
296,-6.560819625854492,-6.0169219970703125
297,-6.849290370941162,-5.893317699432373
298,-5.631750583648682,-5.073754787445068
299,-5.890169143676758,-5.006937026977539
300,-6.903923034667969,-6.237345218658447
301,-6.621265888214111,-6.627302169799805
302,-6.680420875549316,-6.263566970825195
303,-6.643822193145752,-6.042787551879883
304,-6.812607288360596,-6.653087615966797
305,-6.369833469390869,-5.99848747253418
306,-6.146451950073242,-5.478316307067871
307,-7.231949806213379,-5.977288246154785
308,-6.6361985206604,-5.754499435424805
309,-6.928956031799316,-5.8032121658325195
310,-6.996408462524414,-5.847464084625244
311,-6.947432518005371,-7.092753887176514
312,-6.735964775085449,-6.818312644958496
313,-6.893996238708496,-7.337075233459473
314,-6.965595245361328,-6.694884300231934
315,-6.772743225097656,-6.973415374755859
316,-6.304671287536621,-6.643627166748047
317,-6.921755313873291,-6.887429237365723
318,-6.766322135925293,-6.561071872711182
319,-6.615175724029541,-6.3267130851745605
320,-6.321706295013428,-6.225733280181885
321,-7.458073616027832,-6.972014427185059
322,-7.686915397644043,-7.16888952255249
323,-7.8871917724609375,-7.162614822387695
324,-7.595547199249268,-7.223583698272705
325,-7.396712779998779,-6.810642719268799
326,-7.334909439086914,-6.408036708831787
327,-7.088290214538574,-6.062422275543213
328,-7.0566864013671875,-6.183864116668701
329,-7.904918193817139,-6.7440505027771
330,-7.006572723388672,-6.4139933586120605
331,-7.055804252624512,-5.400504112243652
332,-7.6259260177612305,-5.763613700866699
333,-7.6653852462768555,-6.198903560638428
334,-7.433302879333496,-6.065462589263916
335,-7.537470817565918,-5.82423734664917
336,-5.603859901428223,-4.754164218902588
337,-6.27457332611084,-4.985378265380859
338,-5.375778675079346,-4.344354629516602
339,-7.627864837646484,-5.7488203048706055
340,-6.065841197967529,-4.960632801055908
341,-6.829746246337891,-6.767275333404541
342,-6.430153846740723,-6.879134178161621
343,-6.781271934509277,-7.140842437744141
344,-5.818864345550537,-5.849745750427246
