lemma,singular,plural,animacy,pronominality,definiteness_flexibility,definiteness
him,him,NA,animate,pronoun,fixed,definite
her,her,NA,animate,pronoun,fixed,definite
me,me,NA,animate,pronoun,fixed,definite
us,us,NA,animate,pronoun,fixed,definite
them,them,NA,animate,pronoun,fixed,definite
it,it,NA,inanimate,pronoun,fixed,definite
someone,someone,NA,animate,pronoun,fixed,indefinite
something,something,NA,inanimate,pronoun,fixed,indefinite
grandpa,grandpa,NA,animate,noun,fixed,definite
grandma,grandma,NA,animate,noun,fixed,definite
mommy,mommy,NA,animate,noun,fixed,definite
daddy,daddy,NA,animate,noun,fixed,definite
boy,boy,boys,animate,noun,flexible,flexible
girl,girl,girls,animate,noun,flexible,flexible
cat,cat,cats,animate,noun,flexible,flexible
dog,dog,dogs,animate,noun,flexible,flexible
bear,bear,bears,animate,noun,flexible,flexible
horse,horse,horses,animate,noun,flexible,flexible
doggie,doggie,doggies,animate,noun,flexible,flexible
cookie,cookie,cookies,inanimate,noun,flexible,flexible
ball,ball,balls,inanimate,noun,flexible,flexible
book,book,books,inanimate,noun,flexible,flexible
food,food,food,inanimate,noun,flexible,flexible
cup,cup,cups,inanimate,noun,flexible,flexible
lego,lego,legos,inanimate,noun,flexible,flexible
pencil,pencil,pencils,inanimate,noun,flexible,flexible
chair,chair,chairs,inanimate,noun,flexible,flexible
toy,toy,toys,inanimate,noun,flexible,flexible
box,box,boxes,inanimate,noun,flexible,flexible
