item_id,do_score,pp_score
1,-5.652212619781494,-5.129875183105469
2,-5.802974224090576,-5.542276859283447
3,-5.617177486419678,-5.254254341125488
4,-5.196659564971924,-4.834445953369141
5,-6.805127143859863,-6.113034248352051
6,-5.811293601989746,-5.542999267578125
7,-6.002516269683838,-5.529000282287598
8,-6.069190979003906,-5.3923258781433105
9,-5.484532356262207,-5.05426549911499
10,-6.2084879875183105,-5.472745418548584
11,-6.020249366760254,-5.824112892150879
12,-5.5506591796875,-5.751891136169434
13,-5.5237860679626465,-5.560637474060059
14,-6.2138166427612305,-6.335677623748779
15,-5.800623893737793,-5.748353958129883
16,-6.355762958526611,-6.403556823730469
17,-5.9397759437561035,-5.589137554168701
18,-6.446252822875977,-5.782746315002441
19,-6.78470516204834,-6.558518886566162
20,-6.598623752593994,-5.945817947387695
21,-6.678204536437988,-6.144845485687256
22,-5.250650405883789,-5.023672580718994
23,-5.541034698486328,-5.361327648162842
24,-5.562143802642822,-5.5623273849487305
25,-5.7495269775390625,-5.4566497802734375
26,-6.214107990264893,-5.741532325744629
27,-5.770385265350342,-5.230473518371582
28,-6.305057048797607,-5.404464244842529
29,-6.124341011047363,-5.259812355041504
30,-5.657670497894287,-4.840400218963623
31,-6.599959373474121,-6.498188018798828
32,-6.27965784072876,-6.1643476486206055
33,-6.2154436111450195,-6.059209823608398
34,-5.679387092590332,-5.329713821411133
35,-7.003655910491943,-6.694326400756836
36,-5.90698766708374,-5.9175920486450195
37,-5.703169822692871,-5.642569065093994
38,-6.144478797912598,-6.132479190826416
39,-6.541316509246826,-6.357062339782715
40,-6.368636131286621,-5.860815525054932
41,-4.964930057525635,-4.713667869567871
42,-5.909579277038574,-5.721413612365723
43,-5.827057838439941,-5.49880313873291
44,-6.186453819274902,-6.0220184326171875
45,-6.333740234375,-5.5832343101501465
46,-5.711381435394287,-5.109856605529785
47,-5.869880676269531,-5.102466106414795
48,-6.125485420227051,-5.330105304718018
49,-6.72592830657959,-5.716409683227539
50,-6.0602569580078125,-5.5412797927856445
51,-6.299641132354736,-5.899258136749268
52,-5.79004430770874,-5.752738952636719
53,-6.231662273406982,-6.06881046295166
54,-6.026534557342529,-6.023250579833984
55,-5.610611915588379,-5.190123558044434
56,-6.219407081604004,-5.794710159301758
57,-6.125299453735352,-5.442655086517334
58,-5.88853645324707,-5.1623029708862305
59,-5.49130392074585,-4.86604118347168
60,-5.777421474456787,-5.104616641998291
61,-5.107916355133057,-4.836201190948486
62,-6.303699016571045,-6.196298122406006
63,-7.0414204597473145,-6.818141460418701
64,-6.495517730712891,-6.114941120147705
65,-5.59804105758667,-5.480433464050293
66,-6.741007328033447,-6.571003437042236
67,-5.441781520843506,-5.735692501068115
68,-5.373889446258545,-5.219318866729736
69,-6.368012428283691,-6.287186622619629
70,-5.694963455200195,-5.070434093475342
71,-6.3804497718811035,-6.2032976150512695
72,-5.161013603210449,-5.338949680328369
73,-7.6830878257751465,-7.2091217041015625
74,-5.843278408050537,-5.593396186828613
75,-5.673654079437256,-5.3829474449157715
76,-6.593955039978027,-5.599048137664795
77,-5.882861137390137,-5.118542671203613
78,-6.3686981201171875,-5.374841213226318
79,-7.638617038726807,-6.538346767425537
80,-6.437015056610107,-5.613151550292969
81,-7.348862171173096,-6.75476598739624
82,-6.298511505126953,-5.9135894775390625
83,-8.289275169372559,-6.808291912078857
84,-6.914680004119873,-6.105710506439209
85,-6.347963333129883,-5.645413398742676
86,-6.46713399887085,-5.506639003753662
87,-7.0085625648498535,-5.730635166168213
88,-6.800747871398926,-5.719175815582275
89,-7.172272682189941,-5.847719192504883
90,-6.410318374633789,-5.987452030181885
91,-6.3575663566589355,-6.467526912689209
92,-6.622241973876953,-6.66330099105835
93,-6.908531665802002,-6.585997104644775
94,-6.144346237182617,-6.064957141876221
95,-6.341095447540283,-6.309681415557861
96,-7.408660888671875,-6.8493757247924805
97,-6.0275726318359375,-5.362267971038818
98,-6.459470272064209,-5.965710639953613
99,-7.194925785064697,-6.740081787109375
100,-5.71363639831543,-5.258297920227051
101,-6.691073417663574,-6.759279727935791
102,-7.933114528656006,-7.909914970397949
103,-8.47362232208252,-8.000399589538574
104,-7.534804821014404,-7.782182216644287
105,-7.688460350036621,-7.645180702209473
106,-7.405983924865723,-6.870882511138916
107,-6.666539669036865,-6.186000347137451
108,-6.63523530960083,-6.33989143371582
109,-6.611459732055664,-6.248132228851318
110,-7.181370258331299,-6.939997673034668
111,-6.71446418762207,-6.614908695220947
112,-6.856357097625732,-6.703639507293701
113,-7.57244873046875,-7.198437690734863
114,-7.1342597007751465,-6.281205177307129
