item_id,model_state,dative,score
1,initial,pp,-7.928386688232422
2,initial,pp,-8.021507263183594
3,initial,pp,-8.287262916564941
4,initial,pp,-8.398123741149902
5,initial,pp,-7.865283489227295
6,initial,pp,-8.317545890808105
7,initial,pp,-8.631933212280273
8,initial,pp,-7.947598934173584
9,initial,pp,-6.326166152954102
10,initial,pp,-8.522562980651855
11,initial,pp,-6.4685139656066895
12,initial,pp,-5.7037811279296875
13,initial,pp,-7.451150417327881
14,initial,pp,-5.784374713897705
15,initial,pp,-8.072968482971191
16,initial,pp,-7.947598934173584
17,initial,pp,-8.085589408874512
18,initial,pp,-6.730426788330078
19,initial,pp,-8.323185920715332
20,initial,pp,-7.222009658813477
21,initial,pp,-8.005757331848145
22,initial,pp,-6.572096347808838
23,initial,pp,-7.987936019897461
24,initial,pp,-8.062435150146484
25,initial,pp,-8.426094055175781
26,initial,pp,-7.974324703216553
27,initial,pp,-7.936214447021484
28,initial,pp,-7.530375957489014
29,initial,pp,-7.754061222076416
30,initial,pp,-7.663307189941406
31,initial,pp,-8.196690559387207
32,initial,pp,-8.062435150146484
33,initial,pp,-7.993340015411377
34,initial,pp,-9.047791481018066
35,initial,pp,-5.770723819732666
36,initial,pp,-6.148334980010986
37,initial,pp,-7.754062175750732
38,initial,pp,-6.963318347930908
39,initial,pp,-8.424870491027832
40,initial,pp,-8.44990062713623
41,initial,pp,-7.23099422454834
42,initial,pp,-7.1656270027160645
43,initial,pp,-7.0901899337768555
44,initial,pp,-7.319381237030029
45,initial,pp,-7.45167350769043
46,initial,pp,-7.786130905151367
47,initial,pp,-7.978135585784912
48,initial,pp,-6.735466480255127
49,initial,pp,-7.575587272644043
50,initial,pp,-7.338733673095703
51,initial,pp,-7.527052402496338
52,initial,pp,-6.3396711349487305
53,initial,pp,-7.766142845153809
54,initial,pp,-7.636258602142334
55,initial,pp,-7.541932582855225
56,initial,pp,-6.126806259155273
57,initial,pp,-5.839224338531494
58,initial,pp,-7.352199554443359
59,initial,pp,-7.530795097351074
60,initial,pp,-7.705284595489502
61,initial,pp,-8.068974494934082
62,initial,pp,-7.699120998382568
63,initial,pp,-8.85644817352295
64,initial,pp,-8.25924015045166
65,initial,pp,-7.366961479187012
66,initial,pp,-8.841824531555176
67,initial,pp,-6.300166130065918
68,initial,pp,-8.22917652130127
69,initial,pp,-8.676005363464355
70,initial,pp,-8.107574462890625
71,initial,pp,-5.750946044921875
72,initial,pp,-8.880661964416504
73,initial,pp,-8.422659873962402
74,initial,pp,-9.078665733337402
75,initial,pp,-8.182249069213867
76,initial,pp,-7.724112033843994
77,initial,pp,-6.877117156982422
78,initial,pp,-7.33799409866333
79,initial,pp,-7.221797466278076
80,initial,pp,-8.782422065734863
81,initial,pp,-6.95867395401001
82,initial,pp,-6.608772277832031
83,initial,pp,-7.205801963806152
84,initial,pp,-6.412598609924316
85,initial,pp,-6.608772277832031
86,initial,pp,-6.6177568435668945
87,initial,pp,-6.33869743347168
88,initial,pp,-6.184694766998291
89,initial,pp,-7.32783317565918
90,initial,pp,-6.447023868560791
91,initial,pp,-6.280560493469238
92,initial,pp,-7.9850969314575195
93,initial,pp,-6.690392971038818
94,initial,pp,-6.654197692871094
95,initial,pp,-6.618136882781982
96,initial,pp,-6.481576442718506
97,initial,pp,-7.945199966430664
98,initial,pp,-7.922920227050781
99,initial,pp,-6.761972427368164
100,initial,pp,-7.473498344421387
101,initial,pp,-6.176397800445557
102,initial,pp,-8.230499267578125
103,initial,pp,-7.198218822479248
104,initial,pp,-6.903336524963379
105,initial,pp,-7.670982360839844
106,initial,pp,-7.414775371551514
107,initial,pp,-7.337947845458984
108,initial,pp,-7.836430549621582
109,initial,pp,-7.28635835647583
110,initial,pp,-7.740352630615234
111,initial,pp,-7.602757453918457
112,initial,pp,-7.213115215301514
113,initial,pp,-7.184786319732666
114,initial,pp,-6.242623329162598
115,initial,pp,-8.023938179016113
116,initial,pp,-6.110053062438965
117,initial,pp,-7.902160167694092
118,initial,pp,-6.685146331787109
119,initial,pp,-7.666586399078369
120,initial,pp,-7.954058647155762
121,initial,pp,-7.476535320281982
122,initial,pp,-7.366994380950928
123,initial,pp,-6.666837215423584
124,initial,pp,-7.209177494049072
125,initial,pp,-6.51780366897583
126,initial,pp,-7.903791904449463
127,initial,pp,-6.725935459136963
128,initial,pp,-8.09634780883789
129,initial,pp,-6.815706729888916
130,initial,pp,-7.034061908721924
131,initial,pp,-6.815706729888916
132,initial,pp,-7.366993427276611
133,initial,pp,-7.99163818359375
134,initial,pp,-7.482492923736572
135,initial,pp,-7.366993427276611
136,initial,pp,-7.9037933349609375
137,initial,pp,-7.847026824951172
138,initial,pp,-5.307989120483398
139,initial,pp,-7.844520568847656
140,initial,pp,-6.95072603225708
141,initial,pp,-6.890478610992432
142,initial,pp,-6.719679832458496
143,initial,pp,-7.186954975128174
144,initial,pp,-7.432499885559082
145,initial,pp,-6.458337306976318
146,initial,pp,-6.061230659484863
147,initial,pp,-7.313937187194824
148,initial,pp,-7.415046691894531
149,initial,pp,-6.218517780303955
150,initial,pp,-5.472136974334717
151,initial,pp,-7.142833232879639
152,initial,pp,-7.336269378662109
153,initial,pp,-7.096602439880371
154,initial,pp,-6.805127143859863
155,initial,pp,-6.9636054039001465
156,initial,pp,-6.393956184387207
157,initial,pp,-6.0955491065979
158,initial,pp,-6.408142566680908
159,initial,pp,-7.053224563598633
160,initial,pp,-7.483310222625732
161,initial,pp,-8.756607055664062
162,initial,pp,-7.54874324798584
163,initial,pp,-8.353195190429688
164,initial,pp,-7.000943660736084
165,initial,pp,-7.08942174911499
166,initial,pp,-4.979224681854248
167,initial,pp,-7.489114284515381
168,initial,pp,-8.828001976013184
169,initial,pp,-7.091801643371582
170,initial,pp,-7.086458206176758
171,initial,pp,-8.353195190429688
172,initial,pp,-6.179717540740967
173,initial,pp,-6.115429878234863
174,initial,pp,-8.607117652893066
175,initial,pp,-7.196131229400635
176,initial,pp,-7.08942174911499
177,initial,pp,-8.485729217529297
178,initial,pp,-8.663987159729004
179,initial,pp,-5.9897565841674805
180,initial,pp,-7.575204372406006
181,initial,pp,-6.5274505615234375
182,initial,pp,-7.6230878829956055
183,initial,pp,-6.147195816040039
184,initial,pp,-6.450342655181885
185,initial,pp,-6.546286582946777
186,initial,pp,-6.557549476623535
