item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
47,5,2,0.1,pp,3.6426469834645587,61,2.1671411991119385,pasnil,initial,do,Unknown,-6.6559978557355475
47,5,2,0.1,pp,3.6426469834645587,61,2.1671411991119385,pasnil,initial,pp,Unknown,-5.912843892309401
47,5,2,0.1,pp,3.6426469834645587,61,2.1671411991119385,pasnil,final,do,Unknown,-7.124062620509754
47,5,2,0.1,pp,3.6426469834645587,61,2.1671411991119385,pasnil,final,pp,Unknown,-6.472519697083367
47,5,2,0.1,pp,3.6426469834645587,61,2.1671411991119385,pasnil,best,do,Unknown,-7.036437874129324
47,5,2,0.1,pp,3.6426469834645587,61,2.1671411991119385,pasnil,best,pp,Unknown,-6.353234028816223
107,11,2,0.1,pp,5.707487711906433,58,0.8468115925788879,pisnis,initial,do,Unknown,-6.658650960344257
107,11,2,0.1,pp,5.707487711906433,58,0.8468115925788879,pisnis,initial,pp,Unknown,-5.916868832376268
107,11,2,0.1,pp,5.707487711906433,58,0.8468115925788879,pisnis,final,do,Unknown,-5.598748740282926
107,11,2,0.1,pp,5.707487711906433,58,0.8468115925788879,pisnis,final,pp,Unknown,-5.20769112639957
107,11,2,0.1,pp,5.707487711906433,58,0.8468115925788879,pisnis,best,do,Unknown,-5.623382490331476
107,11,2,0.1,pp,5.707487711906433,58,0.8468115925788879,pisnis,best,pp,Unknown,-5.20418770843082
331,34,1,0.1,do,4.4979207452138255,45,2.4093847274780273,nisnil,initial,do,Unknown,-6.65637240265355
331,34,1,0.1,do,4.4979207452138255,45,2.4093847274780273,nisnil,initial,pp,Unknown,-5.914398418532477
331,34,1,0.1,do,4.4979207452138255,45,2.4093847274780273,nisnil,final,do,Unknown,-6.344045863007054
331,34,1,0.1,do,4.4979207452138255,45,2.4093847274780273,nisnil,final,pp,Unknown,-5.864680649174584
331,34,1,0.1,do,4.4979207452138255,45,2.4093847274780273,nisnil,best,do,Unknown,-7.889994635726467
331,34,1,0.1,do,4.4979207452138255,45,2.4093847274780273,nisnil,best,pp,Unknown,-6.910057801670498
125,13,5,0.1,do,6.300862959225974,62,1.583653211593628,nalpis,initial,do,Unknown,-6.660471075231379
125,13,5,0.1,do,6.300862959225974,62,1.583653211593628,nalpis,initial,pp,Unknown,-5.918879212273492
125,13,5,0.1,do,6.300862959225974,62,1.583653211593628,nalpis,final,do,Unknown,-5.784962532737039
125,13,5,0.1,do,6.300862959225974,62,1.583653211593628,nalpis,final,pp,Unknown,-5.297091050942739
125,13,5,0.1,do,6.300862959225974,62,1.583653211593628,nalpis,best,do,Unknown,-5.742262640866366
125,13,5,0.1,do,6.300862959225974,62,1.583653211593628,nalpis,best,pp,Unknown,-5.231850487656064
215,22,5,0.1,do,1.2924004983901973,17,2.20980167388916,nasnil,initial,do,Unknown,-6.658632788513646
215,22,5,0.1,do,1.2924004983901973,17,2.20980167388916,nasnil,initial,pp,Unknown,-5.920592588848538
215,22,5,0.1,do,1.2924004983901973,17,2.20980167388916,nasnil,final,do,Unknown,-9.820910026087905
215,22,5,0.1,do,1.2924004983901973,17,2.20980167388916,nasnil,final,pp,Unknown,-8.500319684876336
215,22,5,0.1,do,1.2924004983901973,17,2.20980167388916,nasnil,best,do,Unknown,-7.630157551620946
215,22,5,0.1,do,1.2924004983901973,17,2.20980167388916,nasnil,best,pp,Unknown,-6.239326734013027
345,35,5,0.1,do,3.47129550298055,42,2.0540966987609863,nisnis,initial,do,Unknown,-6.658428105441007
345,35,5,0.1,do,3.47129550298055,42,2.0540966987609863,nisnis,initial,pp,Unknown,-5.917348843150669
345,35,5,0.1,do,3.47129550298055,42,2.0540966987609863,nisnis,final,do,Unknown,-6.447715863314542
345,35,5,0.1,do,3.47129550298055,42,2.0540966987609863,nisnis,final,pp,Unknown,-6.181374881002638
345,35,5,0.1,do,3.47129550298055,42,2.0540966987609863,nisnis,best,do,Unknown,-4.96169176679669
345,35,5,0.1,do,3.47129550298055,42,2.0540966987609863,nisnis,best,pp,Unknown,-4.889023258950975
2,1,2,0.1,do,3.996038285891215,35,2.863882541656494,paspas,initial,do,Unknown,-6.660450503320405
2,1,2,0.1,do,3.996038285891215,35,2.863882541656494,paspas,initial,pp,Unknown,-5.920199608802795
2,1,2,0.1,do,3.996038285891215,35,2.863882541656494,paspas,final,do,Unknown,-8.065559462345007
2,1,2,0.1,do,3.996038285891215,35,2.863882541656494,paspas,final,pp,Unknown,-6.962304637167189
2,1,2,0.1,do,3.996038285891215,35,2.863882541656494,paspas,best,do,Unknown,-6.666312064546528
2,1,2,0.1,do,3.996038285891215,35,2.863882541656494,paspas,best,pp,Unknown,-5.643647008472019
82,9,2,0.1,do,2.2614098294576,70,2.4883828163146973,pisnas,initial,do,Unknown,-6.657664715160023
82,9,2,0.1,do,2.2614098294576,70,2.4883828163146973,pisnas,initial,pp,Unknown,-5.916206532054478
82,9,2,0.1,do,2.2614098294576,70,2.4883828163146973,pisnas,final,do,Unknown,-8.703864993471088
82,9,2,0.1,do,2.2614098294576,70,2.4883828163146973,pisnas,final,pp,Unknown,-10.779748000038994
82,9,2,0.1,do,2.2614098294576,70,2.4883828163146973,pisnas,best,do,Unknown,-8.703864993471088
82,9,2,0.1,do,2.2614098294576,70,2.4883828163146973,pisnas,best,pp,Unknown,-10.779748000038994
257,26,2,0.1,pp,2.8294197654724123,54,2.159250497817993,nilnal,initial,do,Unknown,-6.658368493571426
257,26,2,0.1,pp,2.8294197654724123,54,2.159250497817993,nilnal,initial,pp,Unknown,-5.916979233423869
257,26,2,0.1,pp,2.8294197654724123,54,2.159250497817993,nilnal,final,do,Unknown,-5.446956017523101
257,26,2,0.1,pp,2.8294197654724123,54,2.159250497817993,nilnal,final,pp,Unknown,-4.87678203980128
