item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
471,48,1,0.1,do,0.5010608943303421,16,4.672735691070557,nasdmnasdm,initial,do,,-6.472881416840987
471,48,1,0.1,do,0.5010608943303421,16,4.672735691070557,nasdmnasdm,initial,pp,,-5.752804231643677
471,48,1,0.1,do,0.5010608943303421,16,4.672735691070557,nasdmnasdm,final,do,,-8.179945246378582
471,48,1,0.1,do,0.5010608943303421,16,4.672735691070557,nasdmnasdm,final,pp,,-8.895849908722772
471,48,1,0.1,do,0.5010608943303421,16,4.672735691070557,nasdmnasdm,best,do,,-5.137639573126128
471,48,1,0.1,do,0.5010608943303421,16,4.672735691070557,nasdmnasdm,best,pp,,-5.03646260632409
472,48,2,0.01,do,-0.10232205073038703,17,5.5858659744262695,nasdmnasdm,initial,do,,-6.473098526578961
472,48,2,0.01,do,-0.10232205073038703,17,5.5858659744262695,nasdmnasdm,initial,pp,,-5.752801797125074
472,48,2,0.01,do,-0.10232205073038703,17,5.5858659744262695,nasdmnasdm,final,do,,-5.071060511560151
472,48,2,0.01,do,-0.10232205073038703,17,5.5858659744262695,nasdmnasdm,final,pp,,-4.458482405874464
472,48,2,0.01,do,-0.10232205073038703,17,5.5858659744262695,nasdmnasdm,best,do,,-5.118834283135154
472,48,2,0.01,do,-0.10232205073038703,17,5.5858659744262695,nasdmnasdm,best,pp,,-4.540514447953966
473,48,3,0.1,do,0.03844144503275526,4,5.299407958984375,nasdmnasdm,initial,do,,-6.470034950429743
473,48,3,0.1,do,0.03844144503275526,4,5.299407958984375,nasdmnasdm,initial,pp,,-5.750997734069824
473,48,3,0.1,do,0.03844144503275526,4,5.299407958984375,nasdmnasdm,final,do,,-9.955933643109871
473,48,3,0.1,do,0.03844144503275526,4,5.299407958984375,nasdmnasdm,final,pp,,-9.692311196857029
473,48,3,0.1,do,0.03844144503275526,4,5.299407958984375,nasdmnasdm,best,do,,-4.741969635992339
473,48,3,0.1,do,0.03844144503275526,4,5.299407958984375,nasdmnasdm,best,pp,,-4.299160403675503
474,48,4,0.01,do,-0.2731262747446692,32,4.968366622924805,nasdmnasdm,initial,do,,-6.473098353183631
474,48,4,0.01,do,-0.2731262747446692,32,4.968366622924805,nasdmnasdm,initial,pp,,-5.75266859266493
