item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1005,101,5,0.1,do,do,-5.489986864104867
1005,101,5,0.1,do,pp,-5.297134556248784
1010,101,5,0.1,pp,do,-6.085628224164248
1010,101,5,0.1,pp,pp,-5.438244127482176
1024,103,4,0.1,do,do,-6.0567378513515
1024,103,4,0.1,do,pp,-5.9009557738900185
1029,103,4,0.1,pp,do,-5.579508528858423
1029,103,4,0.1,pp,pp,-5.112712633609772
994,100,4,0.1,do,do,-5.62473813444376
994,100,4,0.1,do,pp,-5.144505044817924
999,100,4,0.1,pp,do,-4.888544282689691
999,100,4,0.1,pp,pp,-4.333544576540589
