item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.1,do,do,-5.5139404568821195
1,1,1,0.1,do,pp,-5.260944648459554
10,1,5,0.1,pp,do,-4.666947117820382
10,1,5,0.1,pp,pp,-4.244962226226926
100,10,5,0.1,pp,do,-4.868471875414253
100,10,5,0.1,pp,pp,-4.199591356888414
1000,100,5,0.1,pp,do,-6.970468598604202
1000,100,5,0.1,pp,pp,-6.125137630105018
1001,101,1,0.1,do,do,-5.636086163669825
1001,101,1,0.1,do,pp,-5.251787967979908
1002,101,2,0.1,do,do,-4.716111993044615
1002,101,2,0.1,do,pp,-4.719457007944584
1003,101,3,0.1,do,do,-6.63324022218585
1003,101,3,0.1,do,pp,-6.187659879773856
1004,101,4,0.1,do,do,-8.132233171910048
1004,101,4,0.1,do,pp,-7.771941573917866
1005,101,5,0.1,do,do,-5.964454797655344
1005,101,5,0.1,do,pp,-5.688509242981672
1006,101,1,0.1,pp,do,-6.309095890447497
1006,101,1,0.1,pp,pp,-5.691814677417279
1007,101,2,0.1,pp,do,-4.681625826656818
1007,101,2,0.1,pp,pp,-4.21323126628995
1008,101,3,0.1,pp,do,-5.079469659551978
1008,101,3,0.1,pp,pp,-4.674298767000437
1009,101,4,0.1,pp,do,-8.120441774278879
1009,101,4,0.1,pp,pp,-7.429122195392847
1010,101,5,0.1,pp,do,-6.649547173082828
1010,101,5,0.1,pp,pp,-6.046916001290083
1021,103,1,0.1,do,do,-6.068315484002232
1021,103,1,0.1,do,pp,-5.410034070909023
1022,103,2,0.1,do,do,-5.571293550729751
1022,103,2,0.1,do,pp,-5.149371880292892
1023,103,3,0.1,do,do,-5.0996641024947165
1023,103,3,0.1,do,pp,-5.007184217497707
1024,103,4,0.1,do,do,-5.674013220146298
1024,103,4,0.1,do,pp,-5.567982348427177
1025,103,5,0.1,do,do,-6.21197449862957
1025,103,5,0.1,do,pp,-5.957101515308023
1026,103,1,0.1,pp,do,-6.29576646015048
1026,103,1,0.1,pp,pp,-5.7232347574085
1027,103,2,0.1,pp,do,-5.999347287416458
1027,103,2,0.1,pp,pp,-5.150757750868797
1028,103,3,0.1,pp,do,-6.934887902438641
1028,103,3,0.1,pp,pp,-5.641515276581049
1029,103,4,0.1,pp,do,-6.0622158296406266
1029,103,4,0.1,pp,pp,-5.652557139098644
1030,103,5,0.1,pp,do,-6.4730428583920006
1030,103,5,0.1,pp,pp,-5.9057335808873175
1031,104,1,0.1,do,do,-5.438884599879384
1031,104,1,0.1,do,pp,-5.135641687735915
1032,104,2,0.1,do,do,-6.893458402901888
1032,104,2,0.1,do,pp,-6.5695990607142445
1033,104,3,0.1,do,do,-4.995965431630611
1033,104,3,0.1,do,pp,-4.736788246780634
1034,104,4,0.1,do,do,-6.497129077464342
1034,104,4,0.1,do,pp,-5.999705350026488
1035,104,5,0.1,do,do,-5.996375863999129
1035,104,5,0.1,do,pp,-5.534376124292612
1036,104,1,0.1,pp,do,-5.02318210862577
1036,104,1,0.1,pp,pp,-4.477361492626369
1037,104,2,0.1,pp,do,-6.376149032637477
1037,104,2,0.1,pp,pp,-5.9147436093539
1038,104,3,0.1,pp,do,-4.735130126029253
1038,104,3,0.1,pp,pp,-4.341936913877726
1039,104,4,0.1,pp,do,-8.76381042227149
1039,104,4,0.1,pp,pp,-7.862114755809307
1040,104,5,0.1,pp,do,-5.835966184735298
1040,104,5,0.1,pp,pp,-5.39194809757173
1051,106,1,0.1,do,do,-7.138085126131773
1051,106,1,0.1,do,pp,-6.841675707697869
1052,106,2,0.1,do,do,-4.618719290569425
1052,106,2,0.1,do,pp,-4.582476331293583
1053,106,3,0.1,do,do,-7.108392187207937
1053,106,3,0.1,do,pp,-6.476325384527445
1054,106,4,0.1,do,do,-6.797031572461128
1054,106,4,0.1,do,pp,-6.554690976813435
1055,106,5,0.1,do,do,-5.917623833566904
1055,106,5,0.1,do,pp,-5.842832110822201
1056,106,1,0.1,pp,do,-5.035493473708629
1056,106,1,0.1,pp,pp,-4.603266828879714
1057,106,2,0.1,pp,do,-4.974095204472542
1057,106,2,0.1,pp,pp,-4.399767574667931
1058,106,3,0.1,pp,do,-4.634122147038579
1058,106,3,0.1,pp,pp,-4.36183916926384
1059,106,4,0.1,pp,do,-6.355215086787939
1059,106,4,0.1,pp,pp,-5.78970534838736
1060,106,5,0.1,pp,do,-6.216600451245904
1060,106,5,0.1,pp,pp,-5.553566457331181
1071,108,1,0.1,do,do,-5.0326479587703945
1071,108,1,0.1,do,pp,-4.914015737175942
1072,108,2,0.1,do,do,-5.077428605034948
1072,108,2,0.1,do,pp,-4.741227421537042
1073,108,3,0.1,do,do,-4.826096329092979
1073,108,3,0.1,do,pp,-4.4330944892019035
1074,108,4,0.1,do,do,-5.322948943451047
1074,108,4,0.1,do,pp,-5.079758172854781
1075,108,5,0.1,do,do,-6.848861284554005
1075,108,5,0.1,do,pp,-6.269477424770594
1076,108,1,0.1,pp,do,-5.052881417423487
1076,108,1,0.1,pp,pp,-4.584226982668042
1077,108,2,0.1,pp,do,-4.770523510873318
1077,108,2,0.1,pp,pp,-4.303127064555883
1078,108,3,0.1,pp,do,-4.696190574765206
1078,108,3,0.1,pp,pp,-4.196600097790361
1079,108,4,0.1,pp,do,-5.328862510062754
1079,108,4,0.1,pp,pp,-4.904977051541209
1080,108,5,0.1,pp,do,-6.291439283639193
1080,108,5,0.1,pp,pp,-5.7824846364557745
1081,109,1,0.1,do,do,-9.863666734844447
1081,109,1,0.1,do,pp,-9.666872357577086
1082,109,2,0.1,do,do,-6.9963449642062185
1082,109,2,0.1,do,pp,-6.873736000806093
1083,109,3,0.1,do,do,-6.028236151486635
1083,109,3,0.1,do,pp,-5.714956147968769
1084,109,4,0.1,do,do,-7.169258838891983
1084,109,4,0.1,do,pp,-6.622683826833963
1085,109,5,0.01,do,do,-5.399346740543843
1085,109,5,0.01,do,pp,-5.236765832081437
1086,109,1,0.1,pp,do,-6.64909536652267
1086,109,1,0.1,pp,pp,-5.565952837839722
1087,109,2,0.1,pp,do,-5.577545826882124
1087,109,2,0.1,pp,pp,-4.835796492174268
1088,109,3,0.1,pp,do,-5.75635770894587
1088,109,3,0.1,pp,pp,-5.326329091563821
1089,109,4,0.1,pp,do,-5.1451755162328485
1089,109,4,0.1,pp,pp,-4.912717621028423
1090,109,5,0.1,pp,do,-8.370963835716248
1090,109,5,0.1,pp,pp,-7.4417287789285185
11,2,1,0.1,do,do,-4.808675714209675
11,2,1,0.1,do,pp,-4.647429771348834
1101,111,1,0.1,do,do,-5.573338305577636
1101,111,1,0.1,do,pp,-5.113013971596956
1102,111,2,0.01,do,do,-5.922500538825989
1102,111,2,0.01,do,pp,-5.538099914044142
1103,111,3,0.1,do,do,-5.443153070658445
1103,111,3,0.1,do,pp,-4.9945578437298535
1104,111,4,0.1,do,do,-4.92316969782114
1104,111,4,0.1,do,pp,-4.485808240622282
1105,111,5,0.1,do,do,-5.137416623532772
1105,111,5,0.1,do,pp,-4.8477229870855805
1106,111,1,0.1,pp,do,-6.742833073437214
1106,111,1,0.1,pp,pp,-6.1718832641839985
1107,111,2,0.01,pp,do,-5.8719214428216215
1107,111,2,0.01,pp,pp,-5.477857740223408
1108,111,3,0.1,pp,do,-5.199789858236909
1108,111,3,0.1,pp,pp,-4.785527163371444
1109,111,4,0.01,pp,do,-5.69666391313076
1109,111,4,0.01,pp,pp,-5.334766078740358
111,12,1,0.1,do,do,-6.544947637617588
111,12,1,0.1,do,pp,-5.8778405174612995
1110,111,5,0.1,pp,do,-6.239772984385491
1110,111,5,0.1,pp,pp,-5.698032349348068
