item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
1,1,1,0.1,do,0.26430327097574846,70,4.821548938751221,pasdupasdu,initial,do,,-6.472881416840987
1,1,1,0.1,do,0.26430327097574846,70,4.821548938751221,pasdupasdu,initial,pp,,-5.752804231643677
1,1,1,0.1,do,0.26430327097574846,70,4.821548938751221,pasdupasdu,final,do,,-4.981096758986965
1,1,1,0.1,do,0.26430327097574846,70,4.821548938751221,pasdupasdu,final,pp,,-4.451576434241401
1,1,1,0.1,do,0.26430327097574846,70,4.821548938751221,pasdupasdu,best,do,,-4.981096758986965
1,1,1,0.1,do,0.26430327097574846,70,4.821548938751221,pasdupasdu,best,pp,,-4.451576434241401
2,1,2,0.1,do,0.29164905865987123,70,4.728897571563721,pasdupasdu,initial,do,,-6.473098526578961
2,1,2,0.1,do,0.29164905865987123,70,4.728897571563721,pasdupasdu,initial,pp,,-5.752801797125074
2,1,2,0.1,do,0.29164905865987123,70,4.728897571563721,pasdupasdu,final,do,,-5.294417493993586
2,1,2,0.1,do,0.29164905865987123,70,4.728897571563721,pasdupasdu,final,pp,,-4.872241192393833
2,1,2,0.1,do,0.29164905865987123,70,4.728897571563721,pasdupasdu,best,do,,-5.294417493993586
2,1,2,0.1,do,0.29164905865987123,70,4.728897571563721,pasdupasdu,best,pp,,-4.872241192393833
3,1,3,0.1,do,-0.19026352723439466,1,6.814449310302734,pasdupasdu,initial,do,,-6.470034950429743
3,1,3,0.1,do,-0.19026352723439466,1,6.814449310302734,pasdupasdu,initial,pp,,-5.750997734069824
3,1,3,0.1,do,-0.19026352723439466,1,6.814449310302734,pasdupasdu,final,do,,-5.695670624935266
3,1,3,0.1,do,-0.19026352723439466,1,6.814449310302734,pasdupasdu,final,pp,,-4.952601393063863
3,1,3,0.1,do,-0.19026352723439466,1,6.814449310302734,pasdupasdu,best,do,,-5.4890740047801625
3,1,3,0.1,do,-0.19026352723439466,1,6.814449310302734,pasdupasdu,best,pp,,-4.975619800885519
4,1,4,0.01,do,-0.6349319299062097,1,7.381732940673828,pasdupasdu,initial,do,,-6.473098353183631
4,1,4,0.01,do,-0.6349319299062097,1,7.381732940673828,pasdupasdu,initial,pp,,-5.75266859266493
4,1,4,0.01,do,-0.6349319299062097,1,7.381732940673828,pasdupasdu,final,do,,-5.470998012658321
4,1,4,0.01,do,-0.6349319299062097,1,7.381732940673828,pasdupasdu,final,pp,,-4.925928852293226
4,1,4,0.01,do,-0.6349319299062097,1,7.381732940673828,pasdupasdu,best,do,,-6.496769642107415
4,1,4,0.01,do,-0.6349319299062097,1,7.381732940673828,pasdupasdu,best,pp,,-5.769599329100715
5,1,5,0.1,do,0.08195422649383488,5,5.4998908042907715,pasdupasdu,initial,do,,-6.476472249175563
5,1,5,0.1,do,0.08195422649383488,5,5.4998908042907715,pasdupasdu,initial,pp,,-5.755887813038296
5,1,5,0.1,do,0.08195422649383488,5,5.4998908042907715,pasdupasdu,final,do,,-5.2010372060717955
5,1,5,0.1,do,0.08195422649383488,5,5.4998908042907715,pasdupasdu,final,pp,,-4.558202420340644
5,1,5,0.1,do,0.08195422649383488,5,5.4998908042907715,pasdupasdu,best,do,,-4.5826433889793625
5,1,5,0.1,do,0.08195422649383488,5,5.4998908042907715,pasdupasdu,best,pp,,-4.2045907073550755
6,1,1,0.1,pp,0.34237826347351064,70,4.607010841369629,pasdupasdu,initial,do,,-6.471766289797697
6,1,1,0.1,pp,0.34237826347351064,70,4.607010841369629,pasdupasdu,initial,pp,,-5.753141201866997
6,1,1,0.1,pp,0.34237826347351064,70,4.607010841369629,pasdupasdu,final,do,,-5.843714568109223
6,1,1,0.1,pp,0.34237826347351064,70,4.607010841369629,pasdupasdu,final,pp,,-4.93013719452752
