item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1005,101,5,0.1,do,do,-7.583604535460472
1005,101,5,0.1,do,pp,-7.241227709501982
1010,101,5,0.1,pp,do,-4.747954833880067
1010,101,5,0.1,pp,pp,-4.187544804438948
1012,102,2,0.1,do,do,-5.722985097393393
1012,102,2,0.1,do,pp,-5.2866948466748
1013,102,3,0.1,do,do,-4.688695195689798
1013,102,3,0.1,do,pp,-4.206782243959606
1017,102,2,0.1,pp,do,-4.523763732984662
1017,102,2,0.1,pp,pp,-3.839942537993193
1018,102,3,0.1,pp,do,-4.632970386743546
1018,102,3,0.1,pp,pp,-3.9962767966091635
1024,103,4,0.1,do,do,-5.134078862145543
1024,103,4,0.1,do,pp,-4.790453077852726
1029,103,4,0.1,pp,do,-4.861390857025981
1029,103,4,0.1,pp,pp,-4.426178000494838
2124,213,4,0.1,do,do,-5.514445295929908
2124,213,4,0.1,do,pp,-5.293159776553511
2129,213,4,0.1,pp,do,-5.729303788766265
2129,213,4,0.1,pp,pp,-4.976481310650707
994,100,4,0.1,do,do,-5.64243851415813
994,100,4,0.1,do,pp,-5.235673739761114
999,100,4,0.1,pp,do,-5.728437696024775
999,100,4,0.1,pp,pp,-5.1061114855110645
