item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.1,do,do,-6.588748559355736
1,1,1,0.1,do,pp,-5.795246430113911
10,1,5,0.1,pp,do,-5.323967242613435
10,1,5,0.1,pp,pp,-4.78755128197372
100,10,5,0.1,pp,do,-6.201973656564951
100,10,5,0.1,pp,pp,-5.622131485491991
1000,100,5,0.1,pp,do,-5.962908196821809
1000,100,5,0.1,pp,pp,-5.659187708795071
1001,101,1,0.1,do,do,-4.939727294445038
1001,101,1,0.1,do,pp,-4.84366455078125
1002,101,2,0.1,do,do,-4.971129822358489
1002,101,2,0.1,do,pp,-4.9665202256292105
1003,101,3,0.1,do,do,-5.601157308369875
1003,101,3,0.1,do,pp,-5.180585635080933
1004,101,4,0.1,do,do,-6.179064387455583
1004,101,4,0.1,do,pp,-6.307615761458874
1005,101,5,0.1,do,do,-5.490723851695657
1005,101,5,0.1,do,pp,-5.368443277850747
1006,101,1,0.1,pp,do,-4.995849173888564
1006,101,1,0.1,pp,pp,-4.6777346473187205
1007,101,2,0.1,pp,do,-4.6771698974072935
1007,101,2,0.1,pp,pp,-4.360980651527643
1008,101,3,0.1,pp,do,-5.477529592812061
1008,101,3,0.1,pp,pp,-5.011968124285341
1009,101,4,0.1,pp,do,-6.333037297427654
1009,101,4,0.1,pp,pp,-5.796027513220906
101,11,1,0.1,do,do,-8.548237023502589
101,11,1,0.1,do,pp,-7.721802064776421
1010,101,5,0.1,pp,do,-4.921997655928135
1010,101,5,0.1,pp,pp,-4.46285062469542
1011,102,1,0.1,do,do,-5.731214386597276
1011,102,1,0.1,do,pp,-5.26899659819901
1012,102,2,0.1,do,do,-5.6058075718581675
1012,102,2,0.1,do,pp,-5.585057858750224
1013,102,3,0.1,do,do,-5.463771177828312
1013,102,3,0.1,do,pp,-5.506643575802445
1014,102,4,0.1,do,do,-5.065202134475112
1014,102,4,0.1,do,pp,-5.051733892410994
1015,102,5,0.1,do,do,-4.865779958665371
1015,102,5,0.1,do,pp,-4.755837200954557
1016,102,1,0.1,pp,do,-4.6296281140297655
1016,102,1,0.1,pp,pp,-4.270262305438519
1017,102,2,0.1,pp,do,-4.445940927788615
1017,102,2,0.1,pp,pp,-3.985671788454056
1018,102,3,0.1,pp,do,-5.565498416870833
1018,102,3,0.1,pp,pp,-5.242012479528785
1019,102,4,0.1,pp,do,-6.303060060366988
1019,102,4,0.1,pp,pp,-5.861222204938531
102,11,2,0.1,do,do,-6.054790196940303
102,11,2,0.1,do,pp,-5.55217984393239
1020,102,5,0.1,pp,do,-6.305584867298603
1020,102,5,0.1,pp,pp,-5.6807299591600895
1021,103,1,0.1,do,do,-4.253719550929963
1021,103,1,0.1,do,pp,-4.337457559257746
1022,103,2,0.1,do,do,-5.360702677443624
1022,103,2,0.1,do,pp,-5.14555500857532
1023,103,3,0.1,do,do,-6.544037638604641
1023,103,3,0.1,do,pp,-6.195433167368174
1024,103,4,0.1,do,do,-5.155774687975645
1024,103,4,0.1,do,pp,-4.837206497043371
1025,103,5,0.1,do,do,-4.742627770081162
1025,103,5,0.1,do,pp,-4.666395173594355
1026,103,1,0.1,pp,do,-4.4854439932852985
1026,103,1,0.1,pp,pp,-4.063123614527285
1027,103,2,0.1,pp,do,-5.334083270281553
1027,103,2,0.1,pp,pp,-4.737595681846142
1028,103,3,0.1,pp,do,-5.111355033889413
1028,103,3,0.1,pp,pp,-4.742433823645115
1029,103,4,0.1,pp,do,-4.726428817585111
1029,103,4,0.1,pp,pp,-4.279783958941698
103,11,3,0.1,do,do,-6.508544398099184
103,11,3,0.1,do,pp,-6.249348618462681
1030,103,5,0.1,pp,do,-5.187394870445132
1030,103,5,0.1,pp,pp,-4.783707496896386
1031,104,1,0.1,do,do,-5.340735664591193
1031,104,1,0.1,do,pp,-4.974362461641431
1032,104,2,0.1,do,do,-5.479384161531925
1032,104,2,0.1,do,pp,-5.578051633015275
1033,104,3,0.1,do,do,-4.909181182086468
1033,104,3,0.1,do,pp,-4.758731542527675
1034,104,4,0.1,do,do,-5.83369880951941
1034,104,4,0.1,do,pp,-5.332825472950935
1035,104,5,0.1,do,do,-6.352785020694137
1035,104,5,0.1,do,pp,-5.98916696459055
1036,104,1,0.1,pp,do,-4.466286161541939
1036,104,1,0.1,pp,pp,-4.1520105380564925
1037,104,2,0.1,pp,do,-5.440121488645673
1037,104,2,0.1,pp,pp,-5.285931361094117
1038,104,3,0.1,pp,do,-4.550916891917586
1038,104,3,0.1,pp,pp,-4.387280160561204
1039,104,4,0.1,pp,do,-5.229260889440775
1039,104,4,0.1,pp,pp,-4.850754444673657
104,11,4,0.1,do,do,-5.830820778012276
104,11,4,0.1,do,pp,-5.516396633535623
1040,104,5,0.1,pp,do,-5.85400280021131
1040,104,5,0.1,pp,pp,-5.669642549753189
1041,105,1,0.1,do,do,-4.553661133721471
1041,105,1,0.1,do,pp,-4.575291750952601
1042,105,2,0.1,do,do,-4.350938419625163
