item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.1,do,do,-5.676283460482955
1,1,1,0.1,do,pp,-4.988766327500343
10,1,5,0.1,pp,do,-5.460303752496839
10,1,5,0.1,pp,pp,-4.765501867607236
100,10,5,0.1,pp,do,-6.103026983141899
100,10,5,0.1,pp,pp,-5.425306862220168
1000,100,5,0.01,pp,do,-5.836862555891275
1000,100,5,0.01,pp,pp,-5.138356415554881
1001,101,1,0.01,do,do,-5.231197138875723
1001,101,1,0.01,do,pp,-5.102912386134267
1002,101,2,0.01,do,do,-5.105058786273003
1002,101,2,0.01,do,pp,-4.897370319440961
1003,101,3,0.01,do,do,-5.604829145595431
1003,101,3,0.01,do,pp,-5.262502289190889
1004,101,4,0.01,do,do,-5.608502215892076
1004,101,4,0.01,do,pp,-5.261844807490706
1005,101,5,0.01,do,do,-5.08566363863647
1005,101,5,0.01,do,pp,-5.010031669586897
1006,101,1,0.01,pp,do,-5.315567487850785
1006,101,1,0.01,pp,pp,-4.768513034284115
1007,101,2,0.01,pp,do,-5.341505749151111
1007,101,2,0.01,pp,pp,-4.8786436162889
1008,101,3,0.01,pp,do,-5.47615121267736
1008,101,3,0.01,pp,pp,-5.009588229283691
1009,101,4,0.01,pp,do,-5.978729982674122
1009,101,4,0.01,pp,pp,-5.32655417136848
101,11,1,0.1,do,do,-7.142103764414787
101,11,1,0.1,do,pp,-6.439228823035956
1010,101,5,0.01,pp,do,-5.13255615234375
1010,101,5,0.01,pp,pp,-4.592307623848319
1011,102,1,0.01,do,do,-5.146208147704601
1011,102,1,0.01,do,pp,-4.92951808013022
1012,102,2,0.01,do,do,-5.436387487873435
1012,102,2,0.01,do,pp,-5.503209398686886
1013,102,3,0.01,do,do,-5.13657477684319
1013,102,3,0.01,do,pp,-5.060237650573254
1014,102,4,0.01,do,do,-5.362384355068206
1014,102,4,0.01,do,pp,-5.197076144441962
1015,102,5,0.01,do,do,-5.853382293879986
1015,102,5,0.01,do,pp,-5.532277443259955
1016,102,1,0.01,pp,do,-5.9515261594206095
1016,102,1,0.01,pp,pp,-5.398381344601512
1017,102,2,0.01,pp,do,-5.306776740774512
1017,102,2,0.01,pp,pp,-4.568853608518839
1018,102,3,0.01,pp,do,-5.426776039972902
1018,102,3,0.01,pp,pp,-4.738931608945132
1019,102,4,0.01,pp,do,-5.471343633532524
1019,102,4,0.01,pp,pp,-5.099797545000911
102,11,2,0.1,do,do,-5.274823272973299
102,11,2,0.1,do,pp,-4.75814866758883
1020,102,5,0.01,pp,do,-6.176203455775976
1020,102,5,0.01,pp,pp,-5.470479380711913
1021,103,1,0.01,do,do,-5.224267213791609
1021,103,1,0.01,do,pp,-5.034188270196319
1022,103,2,0.01,do,do,-5.185963733494281
1022,103,2,0.01,do,pp,-4.787683394923806
1023,103,3,0.01,do,do,-5.467085135728121
1023,103,3,0.01,do,pp,-5.080636705085635
1024,103,4,0.01,do,do,-5.118081922084093
1024,103,4,0.01,do,pp,-4.932821650058031
1025,103,5,0.01,do,do,-5.3502589270472525
1025,103,5,0.01,do,pp,-5.027880709990859
1026,103,1,0.01,pp,do,-5.504981051757932
1026,103,1,0.01,pp,pp,-4.9924014456570145
1027,103,2,0.01,pp,do,-5.367978075891733
1027,103,2,0.01,pp,pp,-4.743382889032364
1028,103,3,0.01,pp,do,-5.5053583137691025
1028,103,3,0.01,pp,pp,-4.939447417482734
1029,103,4,0.01,pp,do,-5.1269710611552
1029,103,4,0.01,pp,pp,-4.614513706415892
103,11,3,0.1,do,do,-5.040169316157699
103,11,3,0.1,do,pp,-4.60189355649054
1030,103,5,0.01,pp,do,-5.277032263576984
1030,103,5,0.01,pp,pp,-4.593305374681949
1031,104,1,0.01,do,do,-5.90055639334023
1031,104,1,0.01,do,pp,-5.748146040737629
1032,104,2,0.01,do,do,-5.937536688894033
1032,104,2,0.01,do,pp,-5.6453594479709865
1033,104,3,0.01,do,do,-5.344865377247333
1033,104,3,0.01,do,pp,-5.269190688803792
1034,104,4,0.01,do,do,-5.527695382386446
1034,104,4,0.01,do,pp,-5.2890549533069136
1035,104,5,0.01,do,do,-5.165709187835455
1035,104,5,0.01,do,pp,-4.975144597142934
1036,104,1,0.01,pp,do,-5.554869263246656
1036,104,1,0.01,pp,pp,-5.157090909779072
1037,104,2,0.01,pp,do,-5.596706963330507
1037,104,2,0.01,pp,pp,-5.146374295279384
1038,104,3,0.01,pp,do,-5.279047955200076
1038,104,3,0.01,pp,pp,-4.884745220467448
1039,104,4,0.01,pp,do,-5.976992849260569
1039,104,4,0.01,pp,pp,-5.584680599719286
104,11,4,0.1,do,do,-5.800585881248116
104,11,4,0.1,do,pp,-4.975799367576838
1040,104,5,0.01,pp,do,-5.3445356003940105
1040,104,5,0.01,pp,pp,-4.806965367123484
1041,105,1,0.01,do,do,-5.2236554604023695
1041,105,1,0.01,do,pp,-4.952412838861346
1042,105,2,0.01,do,do,-5.181952412053943
1042,105,2,0.01,do,pp,-4.81754303202033
1043,105,3,0.01,do,do,-5.951531562954187
1043,105,3,0.01,do,pp,-5.569221366941929
1044,105,4,0.01,do,do,-5.514673045277595
1044,105,4,0.01,do,pp,-5.201519882306457
1045,105,5,0.01,do,do,-5.370185934007168
1045,105,5,0.01,do,pp,-5.12109755165875
1046,105,1,0.01,pp,do,-5.774447585642338
1046,105,1,0.01,pp,pp,-5.106224735826254
1047,105,2,0.01,pp,do,-5.47219792753458
1047,105,2,0.01,pp,pp,-4.85436801277101
1048,105,3,0.01,pp,do,-6.2097327530384065
1048,105,3,0.01,pp,pp,-5.565025352314114
1049,105,4,0.01,pp,do,-6.172972392290831
1049,105,4,0.01,pp,pp,-5.549533715844154
105,11,5,0.1,do,do,-5.100777534395457
105,11,5,0.1,do,pp,-4.684071964398027
1050,105,5,0.01,pp,do,-5.6651892002671955
1050,105,5,0.01,pp,pp,-5.200410116836428
1051,106,1,0.01,do,do,-5.898192924633622
1051,106,1,0.01,do,pp,-5.549880743026733
1052,106,2,0.01,do,do,-5.67646704018116
1052,106,2,0.01,do,pp,-5.2402286358177665
1053,106,3,0.01,do,do,-5.7566466763615605
1053,106,3,0.01,do,pp,-5.2865536160767075
1054,106,4,0.01,do,do,-5.628478370234371
1054,106,4,0.01,do,pp,-5.362105409055948
1055,106,5,0.01,do,do,-5.702602840587497
1055,106,5,0.01,do,pp,-5.405034425482154
1056,106,1,0.01,pp,do,-5.590077758580446
1056,106,1,0.01,pp,pp,-5.160734659805894
1057,106,2,0.01,pp,do,-5.551528850570321
1057,106,2,0.01,pp,pp,-5.089791177585721
1058,106,3,0.01,pp,do,-5.794725792482495
1058,106,3,0.01,pp,pp,-5.26190333403647
1059,106,4,0.01,pp,do,-5.8937026806175705
1059,106,4,0.01,pp,pp,-5.421460019052029
106,11,1,0.1,pp,do,-5.081058457866311
106,11,1,0.1,pp,pp,-4.659325776249171
1060,106,5,0.01,pp,do,-6.0939726524055
1060,106,5,0.01,pp,pp,-5.563634402677417
1061,107,1,0.01,do,do,-6.421878664195537
1061,107,1,0.01,do,pp,-6.014078190922737
1062,107,2,0.01,do,do,-6.059716220200062
1062,107,2,0.01,do,pp,-5.850508440285921
1063,107,3,0.01,do,do,-5.620576886832714
1063,107,3,0.01,do,pp,-5.393695412576198
1064,107,4,0.01,do,do,-5.535276263952255
1064,107,4,0.01,do,pp,-5.4257613938301805
1065,107,5,0.01,do,do,-5.749230495467782
1065,107,5,0.01,do,pp,-5.4530930537730455
1066,107,1,0.01,pp,do,-5.896843633800745
1066,107,1,0.01,pp,pp,-5.425020239502191
1067,107,2,0.01,pp,do,-5.576239880546927
1067,107,2,0.01,pp,pp,-5.0822864104062315
1068,107,3,0.01,pp,do,-5.766006445139647
1068,107,3,0.01,pp,pp,-5.103675014525652
1069,107,4,0.01,pp,do,-5.915353813394904
1069,107,4,0.01,pp,pp,-5.432641808316111
107,11,2,0.1,pp,do,-6.788142753392458
107,11,2,0.1,pp,pp,-6.052342652156949
1070,107,5,0.01,pp,do,-6.329651202261448
1070,107,5,0.01,pp,pp,-5.712073897197842
1071,108,1,0.01,do,do,-5.834488422423601
1071,108,1,0.01,do,pp,-5.692079318314791
1072,108,2,0.01,do,do,-5.392745634168387
1072,108,2,0.01,do,pp,-4.881975358724594
1073,108,3,0.01,do,do,-6.971011474728584
1073,108,3,0.01,do,pp,-6.533506280183792
1074,108,4,0.01,do,do,-5.640007413551212
1074,108,4,0.01,do,pp,-5.454604345932603
1075,108,5,0.01,do,do,-5.540799126774073
1075,108,5,0.01,do,pp,-5.364379710704088
1076,108,1,0.01,pp,do,-6.027708484977484
1076,108,1,0.01,pp,pp,-5.485748501121998
1077,108,2,0.01,pp,do,-5.526095598563552
1077,108,2,0.01,pp,pp,-4.920979901775718
1078,108,3,0.01,pp,do,-5.3248024340718985
1078,108,3,0.01,pp,pp,-4.856703437119722
1079,108,4,0.01,pp,do,-5.1769748568534855
1079,108,4,0.01,pp,pp,-4.68826939240098
108,11,3,0.1,pp,do,-5.196451783925295
108,11,3,0.1,pp,pp,-4.349934409931302
1080,108,5,0.01,pp,do,-5.49018268249929
1080,108,5,0.01,pp,pp,-4.913258993253112
1081,109,1,0.01,do,do,-5.916833802312612
1081,109,1,0.01,do,pp,-5.695775461941958
1082,109,2,0.01,do,do,-6.044174829125405
1082,109,2,0.01,do,pp,-5.810488009080291
1083,109,3,0.01,do,do,-5.970032443106175
1083,109,3,0.01,do,pp,-5.77096999026835
1084,109,4,0.01,do,do,-5.816171649843454
1084,109,4,0.01,do,pp,-5.674432498216629
1085,109,5,0.01,do,do,-6.402838791161775
1085,109,5,0.01,do,pp,-6.219267777353525
1086,109,1,0.01,pp,do,-6.085540164262056
1086,109,1,0.01,pp,pp,-5.580058826878667
1087,109,2,0.01,pp,do,-5.646315507218242
1087,109,2,0.01,pp,pp,-5.1069236971437935
1088,109,3,0.01,pp,do,-5.643605962768197
1088,109,3,0.01,pp,pp,-5.186082302778959
1089,109,4,0.01,pp,do,-6.22308861464262
1089,109,4,0.01,pp,pp,-5.720967164635658
109,11,4,0.1,pp,do,-6.261316222697497
109,11,4,0.1,pp,pp,-5.506953576207161
1090,109,5,0.01,pp,do,-5.748507577180862
1090,109,5,0.01,pp,pp,-5.170821692049503
1091,110,1,0.01,do,do,-5.442845045030117
1091,110,1,0.01,do,pp,-5.361252709850669
1092,110,2,0.01,do,do,-5.552554832026362
1092,110,2,0.01,do,pp,-5.410788858681917
1093,110,3,0.01,do,do,-5.652481141313911
1093,110,3,0.01,do,pp,-5.48456098921597
1094,110,4,0.01,do,do,-6.392140922695399
1094,110,4,0.01,do,pp,-6.0149957716464995
1095,110,5,0.01,do,do,-5.734306425973773
1095,110,5,0.01,do,pp,-5.4952164437621835
1096,110,1,0.01,pp,do,-5.90979107953608
1096,110,1,0.01,pp,pp,-5.219967032968998
1097,110,2,0.01,pp,do,-5.399743112921715
1097,110,2,0.01,pp,pp,-4.979571855068206
1098,110,3,0.01,pp,do,-6.23487913608551
1098,110,3,0.01,pp,pp,-5.587281966954469
1099,110,4,0.01,pp,do,-5.949133026227355
1099,110,4,0.01,pp,pp,-5.542941507697106
11,2,1,0.1,do,do,-5.1033138550817965
11,2,1,0.1,do,pp,-4.554227919504046
110,11,5,0.1,pp,do,-5.831718983873725
110,11,5,0.1,pp,pp,-4.849098652228713
1100,110,5,0.01,pp,do,-5.910092309862375
1100,110,5,0.01,pp,pp,-5.41170474216342
1101,111,1,0.01,do,do,-5.545784590020776
1101,111,1,0.01,do,pp,-5.359685473516583
1102,111,2,0.01,do,do,-6.005132906138897
1102,111,2,0.01,do,pp,-5.763433306664228
1103,111,3,0.01,do,do,-5.707041488215327
1103,111,3,0.01,do,pp,-5.630445574969054
1104,111,4,0.01,do,do,-5.863497937470674
1104,111,4,0.01,do,pp,-5.624473139643669
1105,111,5,0.01,do,do,-5.820734888315201
1105,111,5,0.01,do,pp,-5.607654656842351
1106,111,1,0.01,pp,do,-6.094196208566427
1106,111,1,0.01,pp,pp,-5.586857419088483
1107,111,2,0.01,pp,do,-5.937884751334787
1107,111,2,0.01,pp,pp,-5.597433481737971
