item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.1,do,do,-4.819111519306898
1,1,1,0.1,do,pp,-4.535287759453058
10,1,5,0.1,pp,do,-5.628673564642668
10,1,5,0.1,pp,pp,-5.005126093327999
100,10,5,0.1,pp,do,-4.737502014636993
100,10,5,0.1,pp,pp,-4.2209883037954565
1000,100,5,0.1,pp,do,-4.839677671343088
1000,100,5,0.1,pp,pp,-4.253263273462653
1001,101,1,0.1,do,do,-4.476700602658093
1001,101,1,0.1,do,pp,-4.263208021223545
1002,101,2,0.1,do,do,-4.611475222371519
1002,101,2,0.1,do,pp,-4.350999335572124
1003,101,3,0.1,do,do,-5.662003216147423
1003,101,3,0.1,do,pp,-5.072976083680987
1004,101,4,0.1,do,do,-4.785057813674212
1004,101,4,0.1,do,pp,-5.130199710652232
1005,101,5,0.1,do,do,-4.757817745581269
1005,101,5,0.1,do,pp,-4.869844414293766
1006,101,1,0.1,pp,do,-4.5113014437258245
1006,101,1,0.1,pp,pp,-3.968223783001304
1007,101,2,0.1,pp,do,-4.26356895212084
1007,101,2,0.1,pp,pp,-3.8175808750092983
1008,101,3,0.1,pp,do,-5.186625963822007
1008,101,3,0.1,pp,pp,-4.270141161046922
1009,101,4,0.1,pp,do,-4.661833763495087
1009,101,4,0.1,pp,pp,-4.280320635251701
101,11,1,0.1,do,do,-5.711355951055884
101,11,1,0.1,do,pp,-5.291568595916033
1010,101,5,0.1,pp,do,-4.578471009805798
1010,101,5,0.1,pp,pp,-3.784162708371878
1011,102,1,0.1,do,do,-4.647863466665148
1011,102,1,0.1,do,pp,-4.64910011254251
1012,102,2,0.1,do,do,-4.341555219888687
1012,102,2,0.1,do,pp,-4.4890163414180275
1013,102,3,0.1,do,do,-4.5811608685180545
1013,102,3,0.1,do,pp,-4.352125841751695
1014,102,4,0.1,do,do,-4.49107477851212
1014,102,4,0.1,do,pp,-4.606919938698411
1015,102,5,0.1,do,do,-5.054300010204315
1015,102,5,0.1,do,pp,-4.859886145219207
1016,102,1,0.1,pp,do,-4.781564992666245
1016,102,1,0.1,pp,pp,-4.11274154856801
1017,102,2,0.1,pp,do,-4.371559876203537
