item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
100,10,5,0.1,pp,do,-4.607304441556335
100,10,5,0.1,pp,pp,-4.126458372920752
1033,104,3,0.1,do,do,-5.064792532846331
1033,104,3,0.1,do,pp,-4.760698874667287
1038,104,3,0.1,pp,do,-5.320424392446876
1038,104,3,0.1,pp,pp,-4.970796724781394
1044,105,4,0.1,do,do,-4.897768959030509
1044,105,4,0.1,do,pp,-4.9565129943192
1049,105,4,0.1,pp,do,-5.25739410109818
1049,105,4,0.1,pp,pp,-4.999201381206513
1051,106,1,0.1,do,do,-5.431490784883499
1051,106,1,0.1,do,pp,-5.155596898123622
1052,106,2,0.1,do,do,-5.059466026350856
1052,106,2,0.1,do,pp,-4.563283916562796
1056,106,1,0.1,pp,do,-6.369705583155155
1056,106,1,0.1,pp,pp,-5.733141996711493
1057,106,2,0.1,pp,do,-5.3571001723408695
1057,106,2,0.1,pp,pp,-4.822172417864204
1071,108,1,0.1,do,do,-5.12890769764781
1071,108,1,0.1,do,pp,-4.991027574986219
1074,108,4,0.1,do,do,-4.653986847028136
1074,108,4,0.1,do,pp,-4.536838818341494
1076,108,1,0.1,pp,do,-5.099677973985672
1076,108,1,0.1,pp,pp,-4.551088631525635
1079,108,4,0.1,pp,do,-4.387773405574262
1079,108,4,0.1,pp,pp,-4.008404457010329
1081,109,1,0.1,do,do,-6.147085947543383
1081,109,1,0.1,do,pp,-5.9380676165223125
1082,109,2,0.1,do,do,-5.707128265872598
1082,109,2,0.1,do,pp,-5.3222810186445715
1083,109,3,0.1,do,do,-4.601084498688579
1083,109,3,0.1,do,pp,-4.296740879490971
1084,109,4,0.1,do,do,-5.37879300378263
1084,109,4,0.1,do,pp,-5.225996202602983
1085,109,5,0.1,do,do,-7.012028928846121
1085,109,5,0.1,do,pp,-7.164076329767704
1086,109,1,0.1,pp,do,-4.655881524458527
1086,109,1,0.1,pp,pp,-4.247620652616024
1087,109,2,0.1,pp,do,-4.603487057238818
1087,109,2,0.1,pp,pp,-4.308065683022141
1088,109,3,0.1,pp,do,-4.386268828064203
1088,109,3,0.1,pp,pp,-4.004397181794047
1089,109,4,0.1,pp,do,-4.943357513844967
1089,109,4,0.1,pp,pp,-4.714099595323205
1090,109,5,0.1,pp,do,-6.005309551581741
1090,109,5,0.1,pp,pp,-5.1999382391572
1093,110,3,0.1,do,do,-4.644730295985937
1093,110,3,0.1,do,pp,-4.7573195021599535
1098,110,3,0.1,pp,do,-4.747790260612964
1098,110,3,0.1,pp,pp,-4.307116647437215
1101,111,1,0.1,do,do,-5.643429031595588
1101,111,1,0.1,do,pp,-5.258348755910992
1102,111,2,0.01,do,do,-5.757268701121211
1102,111,2,0.01,do,pp,-5.630238863825798
1103,111,3,0.1,do,do,-5.454653741046786
1103,111,3,0.1,do,pp,-5.476278198510409
1104,111,4,0.01,do,do,-5.398884623125196
1104,111,4,0.01,do,pp,-5.198073685541749
1105,111,5,0.1,do,do,-5.018398086354137
1105,111,5,0.1,do,pp,-4.525000786408782
1106,111,1,0.1,pp,do,-4.714135946333409
