code_id,nobs,sigma,logLik,AIC,BIC,REMLcrit,df.residual,haap_do,haap_po,haap_do_theme,haap_po_theme,haap_do_recipient,haap_po_recipient
0,90720,1.2634091670674579,-149963.43546035176,299940.8709207035,300006.77965253626,299926.8709207035,90713,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1,90720,1.2593832551128312,-149673.62197192392,299361.24394384783,299427.1526756806,299347.24394384783,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,90720,1.2628167025446564,-149920.49114941288,299854.98229882575,299920.8910306585,299840.98229882575,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
100,90720,1.2663384067913694,-150173.23928060583,300360.47856121167,300426.3872930444,300346.47856121167,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
101,90720,1.2665153503111375,-150185.54072004455,300385.0814400891,300450.99017192185,300371.0814400891,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,90720,1.26671069040479,-150199.67948900556,300413.3589780111,300479.2677098439,300399.3589780111,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,90720,1.2663437074232826,-150173.63864380185,300361.2772876037,300427.18601943646,300347.2772876037,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,90720,1.2663437075934076,-150173.63864380206,300361.2772876041,300427.18601943686,300347.2772876041,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,90720,1.2667106905220789,-150199.67948900527,300413.35897801054,300479.2677098433,300399.35897801054,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,90720,1.2665153503125612,-150185.54072004434,300385.0814400887,300450.99017192144,300371.0814400887,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,90720,1.2663384067987276,-150173.23928060575,300360.4785612115,300426.38729304424,300346.4785612115,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
108,90720,1.2634870678977677,-149968.77836000687,299951.55672001373,300017.4654518465,299937.55672001373,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,90720,1.2667646289723393,-150203.49392603507,300420.98785207013,300486.8965839029,300406.98785207013,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,90720,1.2625010714491243,-149898.18825129946,299810.3765025989,299876.2852344317,299796.3765025989,90713,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
110,90720,1.262837838690465,-149921.8645267183,299857.7290534366,299923.63778526935,299843.7290534366,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,90720,1.267159146709188,-150232.03603982288,300478.07207964576,300543.9808114785,300464.07207964576,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
112,90720,1.266801525396169,-150206.67512318466,300427.3502463693,300493.25897820207,300413.3502463693,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
113,90720,1.26238457425578,-149889.54356763576,299793.0871352715,299858.99586710427,299779.0871352715,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,90720,1.2663993688749853,-150177.57777145205,300369.1555429041,300435.06427473685,300355.1555429041,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,90720,1.2631481088413101,-149944.68302647604,299903.3660529521,299969.2747847848,299889.3660529521,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,90720,1.2659948071447695,-150148.8662600941,300311.7325201882,300377.64125202096,300297.7325201882,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
117,90720,1.266185976451514,-150162.19026466875,300338.3805293375,300404.28926117026,300324.3805293375,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,90720,1.2663285807382203,-150172.55506677539,300359.11013355077,300425.0188653835,300345.11013355077,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,90720,1.2660479678651342,-150152.69490387395,300319.3898077479,300385.29853958066,300305.3898077479,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,90720,1.2599588094007699,-149715.3598245922,299444.7196491844,299510.62838101713,299430.7196491844,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
120,90720,1.2660479680247978,-150152.69490387378,300319.38980774756,300385.2985395803,300305.38980774756,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121,90720,1.2663285807894866,-150172.55506677512,300359.11013355025,300425.018865383,300345.11013355025,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,90720,1.2661859764216012,-150162.19026466899,300338.38052933797,300404.2892611707,300324.38052933797,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,90720,1.265994806993004,-150148.86626009434,300311.73252018867,300377.6412520214,300297.73252018867,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
124,90720,1.2631481088425305,-149944.68302647767,299903.36605295533,299969.2747847881,299889.36605295533,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
125,90720,1.2663993688752802,-150177.57777145194,300369.15554290387,300435.0642747366,300355.15554290387,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,90720,1.2623845742669537,-149889.54356763628,299793.08713527257,299858.9958671053,299779.08713527257,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,90720,1.2668015252661566,-150206.67512318474,300427.3502463695,300493.25897820224,300413.3502463695,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
13,90720,1.2631218999431921,-149942.5113676441,299899.0227352882,299964.93146712094,299885.0227352882,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
14,90720,1.2593832552479485,-149673.62197192333,299361.24394384667,299427.1526756794,299347.24394384667,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15,90720,1.26340916709272,-149963.4354603526,299940.8709207052,300006.77965253795,299926.8709207052,90713,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
16,90720,1.2676962441120407,-150270.42992527413,300554.85985054827,300620.768582381,300540.85985054827,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,90720,1.2633862950997787,-149961.20546888033,299936.41093776067,300002.3196695934,299922.41093776067,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,90720,1.2673187196900346,-150243.11549346647,300500.23098693293,300566.1397187657,300486.23098693293,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,90720,1.2640638971139702,-150010.13560554254,300034.2712110851,300100.17994291784,300020.2712110851,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,90720,1.2631218998739335,-149942.51136764392,299899.02273528784,299964.9314671206,299885.02273528784,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
20,90720,1.2668611209585225,-150210.6287564305,300435.257512861,300501.16624469374,300421.257512861,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
21,90720,1.2670690865476457,-150225.14604362435,300464.2920872487,300530.20081908145,300450.2920872487,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,90720,1.2672205539896526,-150236.1381283212,300486.2762566424,300552.1849884752,300472.2762566424,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,90720,1.2669077266194884,-150213.98579741814,300441.9715948363,300507.880326669,300427.9715948363,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,90720,1.2669077264176918,-150213.98579741764,300441.9715948353,300507.88032666803,300427.9715948353,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,90720,1.267220554141023,-150236.1381283216,300486.2762566432,300552.1849884759,300472.2762566432,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,90720,1.2670690865891363,-150225.14604362423,300464.29208724847,300530.2008190812,300450.29208724847,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,90720,1.266861121090033,-150210.62875643,300435.25751286,300501.16624469275,300421.25751286,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
28,90720,1.2640638971163365,-150010.13560554213,300034.27121108427,300100.179942917,300020.27121108427,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,90720,1.267318719547206,-150243.1154934671,300500.2309869342,300566.13971876696,300486.2309869342,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,90720,1.2599588098059393,-149715.3598245909,299444.7196491818,299510.62838101457,299430.7196491818,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,90720,1.2633862950947512,-149961.20546888094,299936.4109377619,300002.31966959464,299922.4109377619,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,90720,1.267696244299022,-150270.42992527477,300554.85985054955,300620.7685823823,300540.85985054955,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
32,90720,1.267844614255251,-150281.043981723,300576.087963446,300641.99669527874,300562.087963446,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
33,90720,1.263371120880448,-149960.1137143902,299934.2274287804,300000.13616061315,299920.2274287804,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,90720,1.2674184204980494,-150250.24972062052,300514.49944124103,300580.4081730738,300500.49944124103,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,90720,1.2641295808215283,-150014.8472936906,300043.6945873812,300109.60331921396,300029.6945873812,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,90720,1.2670535435709191,-150224.40408239796,300462.8081647959,300528.71689662867,300448.8081647959,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
37,90720,1.267208148482492,-150235.09945376698,300484.19890753395,300550.1076393667,300470.19890753395,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,90720,1.2674008101809775,-150249.03890963175,300512.0778192635,300577.98655109626,300498.0778192635,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,90720,1.2670624736887635,-150225.06343012763,300464.12686025526,300530.035592088,300450.12686025526,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,90720,1.2625010713264035,-149898.1882513005,299810.376502601,299876.2852344338,299796.376502601,90713,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
40,90720,1.2670624736980993,-150225.06343012716,300464.1268602543,300530.0355920871,300450.1268602543,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,90720,1.2674008100352292,-150249.03890963123,300512.07781926246,300577.9865510952,300498.07781926246,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,90720,1.2672081487203692,-150235.09945376686,300484.1989075337,300550.10763936647,300470.1989075337,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,90720,1.267053543623496,-150224.4040823981,300462.8081647962,300528.71689662896,300448.8081647962,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
44,90720,1.2641295807368864,-150014.84729369057,300043.69458738115,300109.6033192139,300029.69458738115,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,90720,1.2674184204917895,-150250.24972062028,300514.49944124056,300580.4081730733,300500.49944124056,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,90720,1.263371120952013,-149960.1137143897,299934.2274287794,300000.13616061216,299920.2274287794,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,90720,1.2678446140073494,-150281.0439817227,300576.0879634454,300641.99669527815,300562.0879634454,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
48,90720,1.2639486225779755,-150002.1565926798,300018.3131853596,300084.22191719234,300004.3131853596,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
49,90720,1.2593054507541084,-149668.01470300043,299350.02940600086,299415.9381378336,299336.02940600086,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,90720,1.2628167024904806,-149920.49114941264,299854.9822988253,299920.89103065804,299840.9822988253,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
50,90720,1.2634801330878989,-149968.2319565537,299950.4639131074,300016.37264494016,299936.4639131074,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,90720,1.2601826807157643,-149731.4731281671,299476.9462563342,299542.85498816695,299462.9462563342,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,90720,1.26320898212359,-149949.03467163697,299912.06934327394,299977.9780751067,299898.06934327394,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
53,90720,1.2633184921709446,-149956.52567740632,299927.05135481263,299992.9600866454,299913.05135481263,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,90720,1.2635265525913626,-149971.61312334568,299957.22624669137,300023.1349785241,299943.22624669137,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,90720,1.2632040996391305,-149948.70387370072,299911.40774740145,299977.3164792342,299897.40774740145,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,90720,1.2632040996390994,-149948.70387370017,299911.40774740034,299977.3164792331,299897.40774740034,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,90720,1.2635265526699264,-149971.61312334638,299957.22624669276,300023.1349785255,299943.22624669276,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,90720,1.2633184921675085,-149956.52567740635,299927.0513548127,299992.96008664544,299913.0513548127,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,90720,1.2632089821164123,-149949.03467163688,299912.06934327376,299977.9780751065,299898.06934327376,90713,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6,90720,1.262867846089307,-149924.313766569,299862.627533138,299928.5362649707,299848.627533138,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
60,90720,1.2601826807877665,-149731.47312816718,299476.94625633437,299542.8549881671,299462.94625633437,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,90720,1.2634801331721597,-149968.2319565533,299950.4639131066,300016.37264493934,299936.4639131066,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,90720,1.2593054507777168,-149668.0147030004,299350.0294060008,299415.93813783355,299336.0294060008,90713,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,90720,1.263948622582016,-150002.15659267933,300018.31318535865,300084.2219171914,300004.31318535865,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
64,90720,1.258143414845182,-149584.54456343185,299183.0891268637,299248.99785869644,299169.0891268637,90713,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
65,90720,1.2539926234128462,-149284.4843459344,298582.9686918688,298648.8774237016,298568.9686918688,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
66,90720,1.2578117601927312,-149560.33349851082,299134.66699702165,299200.5757288544,299120.66699702165,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
67,90720,1.2545878273679087,-149327.82071467914,298669.6414293583,298735.55016119103,298655.6414293583,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
68,90720,1.2572798632947704,-149522.23765107206,299058.4753021441,299124.3840339769,299044.4753021441,90713,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
69,90720,1.2575104885752904,-149538.50288116364,299091.0057623273,299156.91449416004,299077.0057623273,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,90720,1.2626399973869995,-149908.18958358813,299830.37916717626,299896.287899009,299816.37916717626,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
70,90720,1.2576536078359841,-149548.97524930353,299111.95049860707,299177.8592304398,299097.95049860707,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
71,90720,1.2573353173526753,-149526.2583022641,299066.5166045282,299132.42533636093,299052.5166045282,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
72,90720,1.257335317349922,-149526.25830226392,299066.51660452783,299132.4253363606,299052.51660452783,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
73,90720,1.2576536078561975,-149548.97524930275,299111.9504986055,299177.85923043825,299097.9504986055,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
74,90720,1.2575104887742508,-149538.50288116338,299091.00576232676,299156.9144941595,299077.00576232676,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
75,90720,1.2572798632959974,-149522.2376510723,299058.4753021446,299124.38403397735,299044.4753021446,90713,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
76,90720,1.2545878273508557,-149327.82071467902,298669.64142935805,298735.5501611908,298655.64142935805,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
77,90720,1.257811760191894,-149560.33349851109,299134.66699702217,299200.5757288549,299120.66699702217,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
78,90720,1.2539926233256102,-149284.4843459346,298582.9686918692,298648.8774237019,298568.9686918692,90713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
79,90720,1.2581434148542572,-149584.54456343155,299183.0891268631,299248.99785869586,299169.0891268631,90713,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
8,90720,1.2626399973996683,-149908.18958358813,299830.37916717626,299896.287899009,299816.37916717626,90713,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
80,90720,1.2642296393251897,-150021.9300152589,300057.8600305178,300123.76876235055,300043.8600305178,90713,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
