item_id,do_score,pp_score
1,-5.671398162841797,-5.508666515350342
2,-5.6476898193359375,-5.455777645111084
3,-5.754385471343994,-5.182751655578613
4,-5.1512932777404785,-5.135127544403076
5,-6.466806888580322,-6.156421661376953
6,-5.813091278076172,-5.491341590881348
7,-5.975420951843262,-5.479477405548096
8,-6.031987190246582,-5.584883689880371
9,-6.195034027099609,-5.304162979125977
10,-6.282159328460693,-5.466986656188965
11,-6.016578674316406,-5.652197360992432
12,-5.5486321449279785,-5.589869022369385
13,-5.691126823425293,-5.534512519836426
14,-5.955865859985352,-6.042444229125977
15,-5.564645290374756,-5.289988040924072
16,-6.090994834899902,-5.7962212562561035
17,-5.564162731170654,-5.413514137268066
18,-5.842801094055176,-5.525362491607666
19,-6.543100357055664,-6.050956726074219
20,-6.43133544921875,-5.95573091506958
21,-6.341463565826416,-6.427491664886475
22,-5.626642227172852,-5.390787124633789
23,-5.790992259979248,-5.4654669761657715
24,-5.713736057281494,-5.752872943878174
25,-6.334877014160156,-5.582508563995361
26,-6.265835285186768,-6.039157390594482
27,-6.065089225769043,-5.682796001434326
28,-6.158863067626953,-5.667076110839844
29,-6.661440849304199,-5.504073143005371
30,-5.953487873077393,-5.170929908752441
31,-6.365469455718994,-5.873205184936523
32,-5.9039835929870605,-5.831106662750244
33,-6.6485161781311035,-6.074522018432617
34,-5.353692531585693,-4.887638568878174
35,-6.815252780914307,-6.125721454620361
36,-5.6969170570373535,-5.432239532470703
37,-5.511601448059082,-5.453347206115723
38,-5.523221969604492,-5.4547224044799805
39,-6.410555839538574,-5.81478214263916
40,-6.271239280700684,-5.741059303283691
41,-5.022339820861816,-4.9726128578186035
42,-5.125756740570068,-5.277667045593262
43,-6.412599086761475,-5.599944114685059
44,-5.404129505157471,-5.494936466217041
45,-6.3489789962768555,-5.567663669586182
46,-5.57793664932251,-5.2392401695251465
47,-5.460362911224365,-4.9444260597229
48,-6.063441753387451,-5.616161823272705
49,-6.301018714904785,-5.325509071350098
50,-6.258589267730713,-5.656374931335449
51,-5.3193488121032715,-5.723203182220459
52,-5.143331050872803,-5.374312400817871
53,-6.526435375213623,-6.12498664855957
54,-5.652580261230469,-6.079742431640625
55,-5.186149597167969,-4.952452659606934
56,-5.705289840698242,-5.465531826019287
57,-5.412912368774414,-5.176812171936035
58,-5.4689621925354,-5.165200233459473
59,-5.896492958068848,-4.838293075561523
60,-6.319230079650879,-5.663883686065674
61,-5.195865154266357,-4.810654640197754
62,-6.032052516937256,-5.691322326660156
63,-7.059347152709961,-6.489848613739014
64,-6.032358169555664,-5.7241668701171875
65,-5.685952186584473,-5.274544715881348
66,-6.232047080993652,-6.056272506713867
67,-5.6892242431640625,-5.7449445724487305
68,-5.005650997161865,-4.760797500610352
69,-6.946322917938232,-6.434019088745117
70,-5.670655250549316,-5.103006839752197
71,-6.0573859214782715,-5.990653991699219
72,-5.274444580078125,-5.5255961418151855
