idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
0,do,0.05,0.0,32,2.222245913743973,-5.302593845309633,-4.580804061889649
0,pp,0.05,0.0,34,3.002885140180587,-4.704369273330226,-3.8168610162205168
0,do,0.05,0.0,28,3.045130069255829,-5.033312092405377,-4.359027253256904
0,pp,0.05,0.0,30,3.2465530335903177,-4.968355170163242,-4.033688595559862
1,do,0.05,0.0,26,0.18894545435905474,-6.250318476648042,-5.9496700260374284
1,pp,0.05,0.0,16,2.108243961334229,-4.791293168790412,-4.030959889623854
1,do,0.05,0.0,16,1.4433158671855928,-5.524929662184282,-4.985043970743815
1,pp,0.05,0.0,12,1.5949991846084597,-4.763235440398708,-4.232223833931817
2,do,0.05,0.0,69,0.7262619137763968,-7.936821756940899,-7.1492328219943575
2,pp,0.05,0.0,59,2.415852028131485,-8.125904812957302,-5.492731563250223
2,do,0.05,0.0,70,0.2556730198860162,-7.81148592486526,-6.666676145129734
2,pp,0.05,0.0,27,2.178092536926269,-7.614179001432476,-5.568291372723049
3,do,0.05,0.0,64,1.4950566315650935,-7.123083422400734,-5.986748030450609
3,pp,0.05,0.0,47,2.480732882022858,-7.434303877570413,-6.155997165044149
3,do,0.05,0.0,36,1.3420113086700445,-6.533448735150424,-5.770363820923699
3,pp,0.05,0.0,29,2.353137015104295,-6.760153845584754,-5.556531972355312
4,do,0.05,0.0,16,-0.9299112653732298,-6.7567905209281225,-5.870338119400872
4,pp,0.05,0.0,43,2.4127397596836087,-6.326416985193888,-5.4553747203614975
4,do,0.05,0.0,19,-0.5684991753101354,-6.837307529738455,-5.814393915070427
4,pp,0.05,0.0,49,2.561208300590514,-5.906129384763313,-5.105042084058126
5,do,0.05,0.0,70,1.091617583036422,-6.936519209543864,-5.739131572511461
5,pp,0.05,0.0,30,1.6999550604820248,-5.735207388617775,-4.605699968338013
5,do,0.05,0.0,70,1.0056766545772557,-7.187051226875999,-5.92513910929362
5,pp,0.05,0.0,31,1.8771917772293083,-6.293392412590258,-4.990102842119005
6,do,0.05,0.0,21,-0.3503585374355316,-6.016944734977954,-5.744265492757162
6,pp,0.05,0.0,54,2.351801444292069,-6.013659412210638,-5.027165420850118
6,do,0.05,0.0,70,0.5131763732433319,-6.955143762357308,-6.275109921561347
6,pp,0.05,0.0,50,2.1701606905460364,-5.808419296958229,-4.912406653828091
7,do,0.05,0.0,31,1.34641683936119,-6.016691615364769,-5.210658036337959
7,pp,0.05,0.0,36,2.016897908449173,-5.275463448871266,-4.178823294904497
7,do,0.05,0.0,25,2.102469356060028,-5.461698188203754,-4.721994254324171
7,pp,0.05,0.0,21,1.6187758159637449,-4.903124358437278,-3.9657428118917677
8,do,0.05,0.0,24,0.8725385892391211,-6.408573026368113,-5.650486856036716
8,pp,0.05,0.0,19,1.9878178489208214,-5.457492942521067,-4.539163057009379
8,do,0.05,0.0,30,0.5288400244712834,-6.599976860393177,-5.745308229658339
8,pp,0.05,0.0,18,1.7930752360820765,-5.280871986620354,-4.382883530192905
9,do,0.05,0.0,10,-0.0650103461742404,-5.408607552268288,-4.784947265519036
