idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
10561,do,0.05,0.0,13,1.4566738510131838,-4.717114341620243,-4.118317887518141
10562,pp,0.05,0.0,29,1.9108815526962282,-4.936581831267386,-4.234686091211107
10563,do,0.05,0.0,14,2.79672061085701,-4.774957107775139,-4.738670200771756
10564,pp,0.05,0.0,42,2.1127292120456698,-4.462755719820659,-4.198411027590434
10565,do,0.05,0.0,48,2.5622532594203946,-7.43664144747185,-6.611817359924316
10566,pp,0.05,0.0,13,0.5008799469470979,-4.681895238702947,-3.9806329170862833
10567,do,0.05,0.0,7,-0.32046738028526356,-5.459591901663578,-4.730514521068997
10568,pp,0.05,0.0,49,1.5936981928348537,-6.283062877077045,-5.4427364932166205
10569,do,0.05,0.0,12,1.0148796844482417,-5.058633402622108,-4.520910506778293
10570,pp,0.05,0.0,12,1.1905764997005468,-4.82067988280094,-4.264502225981818
10571,do,0.05,0.0,22,2.269962185621261,-4.629924544421109,-4.05994205739763
10572,pp,0.05,0.0,70,1.4264379179477684,-6.110157851016883,-4.865105811754862
10573,do,0.05,0.0,16,1.7958066129684447,-5.517771845152883,-4.760675197177463
10574,pp,0.05,0.0,17,1.6690521335601813,-5.72992619601163,-4.858159195052253
10575,do,0.05,0.0,69,2.5489976978302007,-5.524457440231785,-4.9546841886308455
10576,pp,0.05,0.0,36,2.4921502614021307,-6.250218375523885,-5.404849765035841
10577,do,0.05,0.0,70,2.605392395257949,-6.869489957347061,-6.992623498704698
10578,pp,0.05,0.0,28,1.9100178647041322,-5.2773020383083455,-4.368909133805169
10579,do,0.05,0.0,14,1.4251128542423253,-5.087951498320608,-4.421641453107198
10580,pp,0.05,0.0,26,2.2642617583274838,-5.018927263491081,-4.005634685357411
10581,do,0.05,0.0,22,0.9215911090373998,-5.142391707680442,-4.523902993732029
10582,pp,0.05,0.0,16,0.8480580735206606,-5.414809109947898,-4.696819888220893
10583,do,0.05,0.0,22,1.1594530045986176,-4.888277445417462,-4.315896399815878
10584,pp,0.05,0.0,55,1.7794145596027375,-5.68882011644768,-4.583420663409763
10585,do,0.05,0.0,70,0.681058152914046,-6.545617824612242,-5.7930425511466135
10586,pp,0.05,0.0,23,1.7892280161380762,-5.435106719623913,-4.974287464883592
10587,do,0.05,0.0,17,1.7139795029163363,-4.6292545203006625,-3.929136269622379
10588,pp,0.05,0.0,20,1.438321869373322,-5.166657462264553,-4.360667149225871
10589,do,0.05,0.0,70,3.2498840665817266,-9.009326275912198,-8.881422848171658
10590,pp,0.05,0.0,21,2.173555172681808,-5.320736546949907,-4.4210755017068655
10591,do,0.05,0.0,70,3.380290690660476,-4.936095347548976,-4.432318618562486
10592,pp,0.05,0.0,70,1.622175978422165,-6.11670647389961,-5.191173439555698
10593,do,0.05,0.0,10,0.7795156800746916,-6.029928941437692,-5.400807060135735
10594,pp,0.05,0.0,7,0.8685958302021026,-4.608876416177461,-3.7891790429751078
10595,do,0.05,0.0,6,0.36216056227684046,-5.292098994688554,-4.966374137666491
10596,pp,0.05,0.0,35,2.652926985025407,-4.722940887104381,-4.051425353686015
