idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
1,do,0.05,0.0,29,0.9625580704212195,-7.129393277023778,-6.315172608693441
2,pp,0.05,0.0,6,0.49931266546249375,-4.438194178089951,-3.7340220080481634
3,do,0.05,0.0,10,0.11281397342681831,-5.978259570670851,-5.520615119404263
4,pp,0.05,0.0,6,0.8819699656963351,-5.10065780841943,-4.24082324637307
5,do,0.05,0.0,6,1.1426623475551603,-4.662904590548891,-4.141905122333103
6,pp,0.05,0.0,5,0.5111136555671685,-4.499453134247751,-3.8104966534508597
7,do,0.05,0.0,70,0.12464191675186065,-8.104137049299299,-9.545892484982808
8,pp,0.05,0.0,14,0.7669772088527687,-6.097490221081358,-5.432380149099562
9,do,0.05,0.0,22,1.7396123671531685,-5.521080751130075,-6.01191778977712
10,pp,0.05,0.0,26,1.2870572698116298,-5.42259260524403,-4.544941165712145
11,do,0.05,0.0,10,0.17570187211036714,-5.794776373198538,-5.481723186704848
12,pp,0.05,0.0,10,0.7341139137744896,-5.265447103615963,-4.325479139222039
13,do,0.05,0.0,23,0.26289301514625496,-7.079110024192117,-6.23022935655382
14,pp,0.05,0.0,7,0.16161050558090206,-4.699862679568204,-3.976597397857242
15,do,0.05,0.0,14,-0.05807257413864075,-6.096176502921365,-5.506494458516439
16,pp,0.05,0.0,10,0.6804085850715635,-5.187812358682806,-4.367341282632616
17,do,0.05,0.0,9,0.40587477922439597,-4.918622674364032,-5.637275836202833
18,pp,0.05,0.0,8,0.38736987948417667,-4.929464522275057,-4.348840602238973
19,do,0.05,0.0,20,2.333758172988892,-5.299337495457042,-5.454846556981405
20,pp,0.05,0.0,8,0.7198973691463468,-4.84270575985764,-4.241036915779114
21,do,0.05,0.0,4,0.15024039268493716,-5.10609177531618,-5.564195972018772
22,pp,0.05,0.0,5,0.00020324826240614158,-5.48952584844647,-4.62867558532291
23,do,0.05,0.0,10,1.3842710268497465,-4.931742964368878,-6.010387277603149
24,pp,0.05,0.0,14,1.6898936927318573,-4.512118916078047,-4.432501480314467
25,do,0.05,0.0,7,-0.04434263586998011,-6.111227562933257,-6.463735342025757
26,pp,0.05,0.0,7,-0.0657730746269225,-5.7546887889052885,-5.102914473745558
27,do,0.05,0.0,9,1.273928376436234,-5.11342484589779,-5.260826436678569
28,pp,0.05,0.0,12,1.0313275003433233,-4.654395474809589,-4.005361806021797
29,do,0.05,0.0,5,0.5459176111221309,-4.456725217356826,-4.327931700812446
30,pp,0.05,0.0,9,0.4710992205142981,-4.829876094875914,-4.409823232226902
31,do,0.05,0.0,9,0.5179501259326935,-6.160140851049713,-6.674669196870592
32,pp,0.05,0.0,18,0.4211395442485806,-5.700936420036085,-5.098124716016981
33,do,0.05,0.0,9,-0.09252559185028097,-5.106115209695065,-4.833005036248101
34,pp,0.05,0.0,9,1.0724105596542355,-4.118946900512233,-3.4756608883539837
35,do,0.05,0.0,70,1.1719392943382267,-6.979342050263376,-6.561914862526788
36,pp,0.05,0.0,5,0.5870345115661628,-4.302951649463538,-3.688561403751373
37,do,0.05,0.0,16,0.26524358868598963,-5.334206047925082,-5.099175098207262
38,pp,0.05,0.0,6,0.5356976068019863,-4.992572871121493,-4.138582322332594
39,do,0.05,0.0,10,0.043610389232635605,-5.876061636028868,-5.5559068123499555
40,pp,0.05,0.0,6,0.5106291341781617,-4.523823402867173,-3.976746752527025
41,do,0.05,0.0,12,0.8116453957557681,-5.168176887974594,-4.591481947898865
42,pp,0.05,0.0,10,0.9816403436660774,-4.493586072054776,-3.833270996146732
43,do,0.05,0.0,24,1.263522012233734,-5.652735343123927,-4.956156147850884
44,pp,0.05,0.0,19,0.7409724408388145,-4.657798061948834,-3.7828258050812615
45,do,0.05,0.0,21,0.4491970515251156,-6.125056619355173,-5.774044034216139
46,pp,0.05,0.0,8,0.6815902221202847,-4.390503577030066,-3.763299232059055
47,do,0.05,0.0,10,0.0845751440525051,-5.468632861339684,-4.612441017892626
48,pp,0.05,0.0,7,0.5432839965820317,-4.646026224078554,-3.9622906075583564
49,do,0.05,0.0,9,0.9133140754699713,-4.653498892350631,-4.677676884333293
50,pp,0.05,0.0,18,0.8193117427825936,-6.471266535556677,-5.73609213564131
51,do,0.05,0.0,15,0.9568468070030214,-5.000715926199248,-4.509801912307739
52,pp,0.05,0.0,20,2.06905765414238,-4.5591235319773356,-3.7567244900597467
53,do,0.05,0.0,8,0.7119789099693303,-4.448442459106445,-3.9211250768767463
54,pp,0.05,0.0,16,1.3543821358680725,-4.798485106410403,-4.225256421830919
55,do,0.05,0.0,70,1.4436503624916082,-8.637123528393833,-7.322746300697327
56,pp,0.05,0.0,5,0.3780678474903105,-4.336051043597135,-3.800059243043264
57,do,0.05,0.0,18,1.329849201440811,-5.964942104166204,-5.443943601184421
58,pp,0.05,0.0,11,0.44588416457176194,-4.666074970996741,-4.070196392801073
59,do,0.05,0.0,70,0.9320885431766506,-8.308590020555439,-6.932065574328105
60,pp,0.05,0.0,21,0.3826007068157189,-7.076842081185543,-6.124665983517965
61,do,0.05,0.0,6,0.5372203993797298,-4.986548179568667,-4.438395902845595
62,pp,0.05,0.0,9,0.7078563129901889,-5.313372255094124,-4.428353783819411
63,do,0.05,0.0,43,1.3181662464141848,-8.532427469889322,-9.021893493334453
64,pp,0.05,0.0,12,0.8362152838706969,-4.843824223316077,-4.198379821247524
