idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
1,do,0.05,0.0,38,1.451329312324524,-4.655295879190619,-4.844428794913822
2,pp,0.05,0.0,16,1.0604308962821953,-4.380057593547937,-3.7610703825950624
3,do,0.05,0.0,56,1.8313006412982942,-5.1033819328654895,-4.667055903540717
4,pp,0.05,0.0,29,1.608971971273422,-4.668005719329372,-3.941919864548577
5,do,0.05,0.0,57,1.7353768515586854,-5.16281790155353,-4.772777303059896
6,pp,0.05,0.0,15,0.8863491010665889,-4.558857141841542,-3.863299318154653
7,do,0.05,0.0,70,2.1432678031921393,-5.150806913953839,-4.601486820644802
8,pp,0.05,0.0,26,0.8832945203781124,-4.85120323788036,-4.056769810782539
9,do,0.05,0.0,17,2.6114012062549588,-4.453526229569406,-4.164653013812171
10,pp,0.05,0.0,13,1.6936365520954135,-4.401033394986933,-3.7749434298939173
11,do,0.05,0.0,45,3.6015805554389964,-5.131989434271148,-5.317661062876383
12,pp,0.05,0.0,33,2.6069862401485446,-4.262297398393804,-4.014075173272027
13,do,0.05,0.0,20,2.042516417503357,-4.651147283207287,-4.119799723890092
14,pp,0.05,0.0,22,1.8589705717563625,-4.423657557458588,-3.7585520572132536
15,do,0.05,0.0,63,2.7043683683872226,-6.554568998741381,-6.164047217369079
16,pp,0.05,0.0,58,2.9603927266597747,-4.6046773159142695,-3.8519493156009252
17,do,0.05,0.0,23,2.43040678858757,-6.293510458686135,-6.2109925746917725
18,pp,0.05,0.0,26,0.4977890920639041,-7.887379394878041,-6.622550797462464
19,do,0.05,0.0,52,2.0601968622207636,-8.101052057381832,-7.65311811765035
20,pp,0.05,0.0,16,0.8416376471519467,-4.74219776355859,-4.100021175543467
21,do,0.05,0.0,33,1.1408288359642036,-7.603075667583581,-6.985230920049879
22,pp,0.05,0.0,14,0.4276220583915711,-4.822851331306226,-4.137919432587093
23,do,0.05,0.0,33,0.7487285900115968,-8.078038696809248,-7.212732765409681
24,pp,0.05,0.0,9,0.18305833816528327,-5.152133370890762,-4.445294615957472
25,do,0.05,0.0,33,2.558488893508911,-4.129497475335092,-3.956866979598999
26,pp,0.05,0.0,29,1.2190422689914708,-6.064321893634218,-5.362998976972368
27,do,0.05,0.0,34,2.260691620111465,-5.063927299326116,-3.965035871664683
28,pp,0.05,0.0,40,2.328880777359008,-5.24730279228904,-4.5366238858964705
29,do,0.05,0.0,67,4.845156038999558,-4.8106830163435506,-4.480540155039893
30,pp,0.05,0.0,29,2.1604597377777104,-5.186997863018152,-4.717610079712338
31,do,0.05,0.0,7,0.33933861136436416,-4.831435323484016,-4.540702184041341
32,pp,0.05,0.0,27,0.7293386697769169,-6.480598423697732,-5.735925748613146
33,do,0.05,0.0,11,1.1925678813457488,-4.431087084972497,-4.003540510601468
34,pp,0.05,0.0,11,0.16549459218978857,-5.568270463654489,-4.809014603826735
35,do,0.05,0.0,46,2.6157376670837413,-5.845380060600512,-5.186049392488267
36,pp,0.05,0.0,22,1.363035308122634,-6.241283244797677,-5.558902221255832
37,do,0.05,0.0,18,2.808340041637421,-4.597700104568943,-3.816670260164473
38,pp,0.05,0.0,14,0.8031083548069002,-5.058887173912742,-4.55558553536733
39,do,0.05,0.0,31,2.534369657039643,-5.405539061806419,-4.592254779073927
40,pp,0.05,0.0,15,1.4791692161560057,-5.581882398778742,-5.143647101190355
41,do,0.05,0.0,21,2.2429278826713555,-4.5860367774963375,-4.38626293208864
42,pp,0.05,0.0,27,1.5090450572967526,-4.620602312954989,-4.24864307112164
43,do,0.05,0.0,45,2.5192115628719325,-4.5220829154505875,-4.365233377615611
44,pp,0.05,0.0,70,3.221746037006379,-4.439016070510402,-4.027341164482964
45,do,0.05,0.0,23,1.8009845566749574,-4.477735272320834,-4.1449505885442095
