idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
1,do,0.05,0.0,20,0.9011797142028808,-8.367296104720145,-6.895428032345242
2,pp,0.05,0.0,23,1.326553417444229,-4.874121277260058,-4.218400679694282
3,do,0.05,0.0,15,0.8250478863716122,-5.334259317860459,-5.306114485528734
4,pp,0.05,0.0,16,1.432279739379883,-5.372495567437374,-4.459772321912977
5,do,0.05,0.0,70,1.1769057178497313,-6.3809145551739315,-6.052227120929294
6,pp,0.05,0.0,45,1.998567506074905,-6.268198237274632,-5.646917658381992
7,do,0.05,0.0,26,0.3725713098049166,-6.416921053510723,-7.4991028070449826
8,pp,0.05,0.0,56,1.82399625658989,-6.135820517395482,-5.486454730563693
9,do,0.05,0.0,7,0.8915612089633944,-5.7627110828052865,-4.999038518799676
10,pp,0.05,0.0,48,0.6527294552326204,-6.233648537144516,-5.506081859270732
11,do,0.05,0.0,4,0.16337744593620318,-5.130047386342829,-4.5900577836566505
12,pp,0.05,0.0,3,0.034093722105025925,-5.334940304900661,-3.9914528078503078
13,do,0.05,0.0,47,1.545440571308136,-5.726900079033592,-5.385465428564284
14,pp,0.05,0.0,70,1.641414281129837,-6.238980489788633,-5.206050300598145
15,do,0.05,0.0,9,0.579466809034348,-5.4681057063016025,-4.780380365583632
16,pp,0.05,0.0,44,1.8183033025264752,-7.51413614244172,-5.431028699874878
17,do,0.05,0.0,3,-0.34080278992652957,-4.653468652205034,-4.350351826349894
18,pp,0.05,0.0,43,1.2550527560710902,-6.946781466223976,-6.551247999403212
19,do,0.05,0.0,42,0.32177649021148724,-5.461521798914129,-5.093020375569662
20,pp,0.05,0.0,45,2.019588433504105,-5.071403799634991,-4.849425352944268
21,do,0.05,0.0,4,0.5007918071746822,-4.376306830030499,-4.055711771382226
22,pp,0.05,0.0,70,1.621655769348144,-5.630835082314231,-5.185256783167521
23,do,0.05,0.0,70,1.9122481775283804,-5.382592978621974,-5.13445324367947
24,pp,0.05,0.0,48,2.14749309182167,-6.041766578500921,-5.465974463356866
25,do,0.05,0.0,18,0.11604622006416321,-6.631494208538171,-5.550238733821445
26,pp,0.05,0.0,34,1.6920197641849528,-6.866958353736184,-6.127432600657145
27,do,0.05,0.0,24,1.1197570991516113,-5.561789319009492,-5.019114597638448
28,pp,0.05,0.0,41,1.231535900831223,-5.394774624795625,-5.309517375628153
29,do,0.05,0.0,32,0.3371853399276734,-8.173488183455033,-7.007712973488702
30,pp,0.05,0.0,30,2.2933657121658326,-6.5677571946924385,-5.87579857773251
31,do,0.05,0.0,35,0.7711377787590026,-6.461458305879073,-5.804931918780009
32,pp,0.05,0.0,33,1.7895805811882015,-4.925639154694297,-4.832695955700345
