idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
1,do,0.05,0.0,35,1.5214263737201694,-4.885765098802971,-4.961669272846645
2,pp,0.05,0.0,13,0.967012076377868,-4.321913323257909,-3.6592702839109634
3,do,0.05,0.0,41,2.097437613010406,-5.40711831035036,-4.865365311834547
4,pp,0.05,0.0,12,1.1988516199588775,-4.282968242240675,-3.725557409392463
5,do,0.05,0.0,35,2.4693398129940034,-5.3920600472074565,-4.952194984753927
6,pp,0.05,0.0,53,1.194840077161789,-5.298250192584414,-4.662289563814799
7,do,0.05,0.0,43,3.109874547719955,-5.080816182223233,-4.981514324082268
8,pp,0.05,0.0,52,1.553999321460724,-4.693363416556156,-4.156825159655677
9,do,0.05,0.0,18,1.8427884018421175,-5.26246593504241,-4.890617987844679
10,pp,0.05,0.0,19,2.490239912271499,-4.43144880063606,-3.8809481077724035
11,do,0.05,0.0,28,2.099086787700653,-5.551341458522912,-5.332706046104431
12,pp,0.05,0.0,21,1.2460469567775725,-5.305099169413249,-4.436278608110216
13,do,0.05,0.0,16,2.1108308720588678,-4.754168170871156,-4.299724870257908
14,pp,0.05,0.0,10,1.4945273756980901,-4.029048390821977,-3.4807934363683066
15,do,0.05,0.0,28,2.288194133043289,-6.412503160129894,-6.274721023771498
16,pp,0.05,0.0,17,1.730677843093872,-3.972930146708633,-3.560285022523668
17,do,0.05,0.0,8,0.7641652858257295,-5.131667382789381,-4.963194020589193
18,pp,0.05,0.0,42,1.3386823868751527,-7.592390470793753,-6.451976826455858
19,do,0.05,0.0,14,1.2609244477748875,-5.194603541403106,-4.578849326239692
20,pp,0.05,0.0,23,1.3383067703247082,-6.374241365085949,-5.440219651328193
21,do,0.05,0.0,11,1.0470682120323183,-5.333026714035959,-5.02589508427514
22,pp,0.05,0.0,55,1.3552748060226438,-6.977472653533473,-5.964601331286961
23,do,0.05,0.0,51,2.446331520080566,-7.970568765293468,-7.451218467288547
24,pp,0.05,0.0,9,0.909563639163971,-4.432165459430579,-3.8786832994884914
25,do,0.05,0.0,31,2.488448390960693,-4.674518176281091,-4.3549247211880155
26,pp,0.05,0.0,14,1.0259308207035058,-4.740040630282778,-4.165415381060706
27,do,0.05,0.0,70,1.690115858316421,-7.7129052046573525,-7.28438871966468
28,pp,0.05,0.0,10,0.8131800162792207,-4.304138762300664,-3.834515839152866
29,do,0.05,0.0,30,2.95762804031372,-4.704228615038323,-4.484544518258836
30,pp,0.05,0.0,12,1.3186352097988134,-4.807935135292285,-4.02860246764289
31,do,0.05,0.0,28,2.608510484695434,-4.411192287820758,-4.188200687037574
32,pp,0.05,0.0,40,2.0963786208629607,-6.287990496375344,-5.321936840481229
33,do,0.05,0.0,13,0.8688191413879389,-5.2306388103600705,-4.660060818990072
34,pp,0.05,0.0,70,1.1231551861762998,-7.831075506499319,-6.9765892399681935
35,do,0.05,0.0,13,1.1956952571868893,-5.000554204709602,-4.679911144574484
36,pp,0.05,0.0,8,0.46044453501701366,-5.353567032380537,-4.641294945610894
37,do,0.05,0.0,16,1.5789117240905757,-5.109294602365205,-5.175606165991889
38,pp,0.05,0.0,7,0.8559583163261415,-4.503182091134967,-4.000507056713104
39,do,0.05,0.0,40,1.903701206445695,-5.946541939359722,-5.056452261077033
40,pp,0.05,0.0,7,0.769854393005371,-4.638944461128928,-4.19804364045461
41,do,0.05,0.0,17,1.80991884469986,-4.889535479112105,-4.698216666115655
42,pp,0.05,0.0,10,0.9189542472362522,-4.3994238737857705,-3.878562561670939
43,do,0.05,0.0,23,2.1981590545177463,-4.777679949095755,-4.4210710922877
44,pp,0.05,0.0,18,0.9043796610832215,-4.449242411237774,-3.9758958392673067
45,do,0.05,0.0,13,2.0998612272739408,-4.411169591816988,-4.224211774932014
46,pp,0.05,0.0,16,1.5689525890350335,-4.700436680244677,-4.195335977607304
47,do,0.05,0.0,16,1.9720147812366493,-4.325603317491936,-4.055192057291666
48,pp,0.05,0.0,30,2.1752772688865667,-5.079870355490482,-4.5303577025731405
49,do,0.05,0.0,7,1.08313728928566,-4.592088706565626,-4.03038428094652
50,pp,0.05,0.0,62,2.472333664894104,-5.469156744985869,-4.867904999521044
51,do,0.05,0.0,10,1.0176966595649724,-4.2295765674475465,-4.25548349486457
52,pp,0.05,0.0,53,2.3196309912204747,-5.588948703534675,-4.91712251636717
53,do,0.05,0.0,10,0.7777387630939483,-4.555757495128748,-4.560036373138428
54,pp,0.05,0.0,22,1.869775203466416,-4.626338835918542,-3.9887143201298185
55,do,0.05,0.0,23,1.928967051506043,-4.190435819192366,-3.823058072725932
56,pp,0.05,0.0,40,2.8393628025054936,-4.743532333229528,-4.272110684712728
57,do,0.05,0.0,29,3.0477218258380887,-4.559644999648586,-4.147582663430108
58,pp,0.05,0.0,15,0.8913994061946875,-3.94482646855441,-3.7767019404305353
59,do,0.05,0.0,70,3.0050689792633047,-7.113723796786684,-6.088205679257711
60,pp,0.05,0.0,12,0.6250514566898344,-4.370138197234183,-3.857712831762102
61,do,0.05,0.0,30,2.9802125966548925,-4.333059837601402,-3.9569341699282328
62,pp,0.05,0.0,10,0.5610626435279844,-4.125567240426035,-3.725181606080797
63,do,0.05,0.0,40,2.051481727361679,-5.924147485964226,-5.359268376562331
64,pp,0.05,0.0,12,1.3442931509017946,-4.741627100742225,-4.2764731142256
65,do,0.05,0.0,10,0.17570187211036714,-5.794776373198538,-5.481723186704848
66,pp,0.05,0.0,10,0.7341139137744896,-5.265447103615963,-4.325479139222039
67,do,0.05,0.0,9,0.12598142385482802,-5.920293641812874,-5.5459779871834645
68,pp,0.05,0.0,9,0.31512606859207093,-5.964584752285119,-5.012569091055128
69,do,0.05,0.0,29,0.40928612470627,-8.080380474437368,-8.401675462722778
70,pp,0.05,0.0,31,1.120660811662674,-5.6451168927279385,-4.907598869005839
71,do,0.05,0.0,59,1.4615598559379581,-9.150538482088031,-9.247553915447659
72,pp,0.05,0.0,25,1.3214492058753962,-5.648390657251531,-4.739637025197347
73,do,0.05,0.0,19,1.5852869307994837,-5.936140326297644,-5.314463599522909
74,pp,0.05,0.0,18,1.2555107009410866,-5.063219693212798,-4.124248880810208
75,do,0.05,0.0,57,0.9729834103584292,-9.00490952983047,-8.115200781822205
76,pp,0.05,0.0,23,2.253181445598603,-4.584174541993574,-3.9874847756491767
77,do,0.05,0.0,70,2.9752956700325015,-6.524900021697536,-6.284081508053673
78,pp,0.05,0.0,9,1.2628171074390417,-4.593512467182044,-3.9060102105140686
79,do,0.05,0.0,70,2.444001220464708,-8.005459860599402,-8.438660083876716
80,pp,0.05,0.0,15,1.2750186622142792,-5.871605715607152,-4.835849534140693
81,do,0.05,0.0,68,2.946778038740158,-6.698449699806445,-5.777999001079135
82,pp,0.05,0.0,9,0.9468041920661934,-4.502737695520574,-3.6702305290434096
83,do,0.05,0.0,62,2.477145431041718,-6.632511042103623,-5.879238393571642
84,pp,0.05,0.0,5,0.1932922184467314,-4.679043778506192,-3.8896884308920967
85,do,0.05,0.0,22,1.159640439748764,-5.20387372826085,-5.529047240151299
86,pp,0.05,0.0,16,0.7902856254577637,-5.350578800837199,-4.55523939927419
87,do,0.05,0.0,19,1.1130840611457824,-5.849051614241167,-6.155690203772651
88,pp,0.05,0.0,10,0.7140113806724546,-5.522196343450835,-4.705630458725823
89,do,0.05,0.0,11,0.5940668678283689,-5.453809408708052,-4.961118414666918
90,pp,0.05,0.0,11,1.452958736419677,-4.33353029164401,-3.6464011695649887
91,do,0.05,0.0,17,0.707502332925797,-5.969570048650106,-5.475337894757589
92,pp,0.05,0.0,9,0.9121541512012481,-4.462137017105565,-3.6974627905421786
93,do,0.05,0.0,9,0.7985301136970522,-5.770066964987553,-5.173979573779636
94,pp,0.05,0.0,8,0.6262053203582765,-4.841236102942265,-3.9814903020858763
95,do,0.05,0.0,10,0.9749416136741642,-5.40550358656681,-5.095343677202861
96,pp,0.05,0.0,9,0.9743476414680483,-4.558532379612778,-4.081085487206777
97,do,0.05,0.0,70,3.5859420216083517,-5.399555306001143,-4.671991348266602
98,pp,0.05,0.0,29,1.0858104121685033,-5.573844766616821,-4.7134829428460865
99,do,0.05,0.0,70,2.2003203582763664,-6.793377925410415,-5.899418756696913
100,pp,0.05,0.0,9,0.7796030402183538,-4.787470714973681,-4.07612757815255
101,do,0.05,0.0,31,2.704196624755859,-4.945762913154833,-4.155052455266317
102,pp,0.05,0.0,16,1.1216230213642113,-4.749002039071286,-4.227773067686293
103,do,0.05,0.0,57,2.2968174767494194,-6.135308657270489,-5.532304411464267
104,pp,0.05,0.0,7,0.4604421389102935,-4.794071604988792,-4.079934740066529
105,do,0.05,0.0,39,2.7868438386917127,-4.891619230761672,-4.592082175943586
106,pp,0.05,0.0,49,1.0379740941524505,-7.321734574346832,-5.8986373212602405
107,do,0.05,0.0,45,1.6598451745510108,-6.049941323020241,-5.891117233700222
108,pp,0.05,0.0,16,1.1083072125911713,-4.808657263264512,-4.017358669969771
109,do,0.05,0.0,49,2.656676107645035,-5.096481862212673,-4.531496047973633
110,pp,0.05,0.0,26,1.2429686999320984,-5.309191780379324,-4.349238873852624
111,do,0.05,0.0,16,1.7383494138717648,-5.005424016894716,-4.629780300458273
112,pp,0.05,0.0,25,1.0396389901638035,-5.241891593644113,-4.61946538289388
113,do,0.05,0.0,13,0.8688191413879389,-5.2306388103600705,-4.660060818990072
114,pp,0.05,0.0,70,1.1231551861762998,-7.831075506499319,-6.9765892399681935
