idx,dative,best_lr,best_wd,best_epoch,verbhood_diff,do,pp
1,do,0.05,0.0,38,1.451329312324524,-4.655295879190619,-4.844428794913822
2,pp,0.05,0.0,16,1.0604308962821953,-4.380057593547937,-3.7610703825950624
3,do,0.05,0.0,39,1.6533731830120093,-4.9580964305184105,-4.411141896247864
4,pp,0.05,0.0,31,2.2446196258068083,-4.46301574345791,-3.8790029989348516
5,do,0.05,0.0,57,1.7353768515586854,-5.16281790155353,-4.772777303059896
6,pp,0.05,0.0,15,0.8863491010665889,-4.558857141841542,-3.863299318154653
7,do,0.05,0.0,51,1.9627153909206392,-4.7657096776095305,-4.396093757947286
8,pp,0.05,0.0,21,0.750165157318115,-4.68074365384651,-4.0942142605781555
9,do,0.05,0.0,17,2.6114012062549588,-4.453526229569406,-4.164653013812171
10,pp,0.05,0.0,13,1.6936365520954135,-4.401033394986933,-3.7749434298939173
11,do,0.05,0.0,70,3.982386006116866,-5.329239190708507,-5.416648361417982
12,pp,0.05,0.0,19,2.533690145015716,-4.533325224211722,-4.1901504980193245
13,do,0.05,0.0,31,2.5044721400737764,-4.847344310355909,-4.366628192530738
14,pp,0.05,0.0,26,1.7934843605756763,-4.775337158549916,-3.9666183206770156
15,do,0.05,0.0,53,3.382996932268142,-6.473003874403058,-6.399736629592048
16,pp,0.05,0.0,34,2.452295000553131,-4.779034648519573,-3.935982080300649
17,do,0.05,0.0,23,2.43040678858757,-6.293510458686135,-6.2109925746917725
18,pp,0.05,0.0,26,0.4977890920639041,-7.887379394878041,-6.622550797462464
19,do,0.05,0.0,52,2.0601968622207636,-8.101052057381832,-7.65311811765035
20,pp,0.05,0.0,16,0.8416376471519467,-4.74219776355859,-4.100021175543467
21,do,0.05,0.0,33,1.1408288359642036,-7.603075667583581,-6.985230920049879
22,pp,0.05,0.0,14,0.4276220583915711,-4.822851331306226,-4.137919432587093
23,do,0.05,0.0,32,1.4704498004913331,-6.7090116573102545,-5.962946613629659
24,pp,0.05,0.0,8,0.04038704752922051,-5.063080628712972,-4.340665067566766
25,do,0.05,0.0,33,2.558488893508911,-4.129497475335092,-3.956866979598999
26,pp,0.05,0.0,29,1.2190422689914708,-6.064321893634218,-5.362998976972368
27,do,0.05,0.0,53,3.7627877092361457,-5.071529152899077,-4.307687176598443
28,pp,0.05,0.0,34,1.510726056098938,-7.406199761592981,-5.887285151746538
29,do,0.05,0.0,67,4.845156038999558,-4.8106830163435506,-4.480540155039893
30,pp,0.05,0.0,29,2.1604597377777104,-5.186997863018152,-4.717610079712338
31,do,0.05,0.0,51,0.6957295775413517,-7.72019084294637,-7.10786075592041
32,pp,0.05,0.0,21,0.5598587036132807,-5.103597609202067,-4.6829363293117945
33,do,0.05,0.0,11,1.1925678813457488,-4.431087084972497,-4.003540510601468
34,pp,0.05,0.0,11,0.16549459218978857,-5.568270463654489,-4.809014603826735
35,do,0.05,0.0,46,2.6157376670837413,-5.845380060600512,-5.186049392488267
36,pp,0.05,0.0,22,1.363035308122634,-6.241283244797677,-5.558902221255832
37,do,0.05,0.0,18,2.1380861306190493,-4.310799618200822,-3.7688003023465475
38,pp,0.05,0.0,19,0.8580344915390015,-5.155710487654715,-4.653219922383626
39,do,0.05,0.0,31,2.534369657039643,-5.405539061806419,-4.592254779073927
40,pp,0.05,0.0,15,1.4791692161560057,-5.581882398778742,-5.143647101190355
41,do,0.05,0.0,21,2.2429278826713555,-4.5860367774963375,-4.38626293208864
42,pp,0.05,0.0,27,1.5090450572967526,-4.620602312954989,-4.24864307112164
43,do,0.05,0.0,70,3.162683910131455,-5.381423562945741,-5.480934151013693
44,pp,0.05,0.0,70,2.615180991888046,-4.4659766847437075,-4.104951600233714
45,do,0.05,0.0,23,1.8009845566749574,-4.477735272320834,-4.1449505885442095
