item_id,model_state,do,pp
0,initial,-7.783816337585449,-6.862295627593994
1,initial,-8.149343490600586,-7.741796493530273
2,initial,-7.201192855834961,-7.046529293060303
3,initial,-8.68506145477295,-8.443171501159668
4,initial,-7.8918352127075195,-6.4962687492370605
5,initial,-7.771090507507324,-7.616268157958984
6,initial,-9.100279808044434,-8.098309516906738
7,initial,-8.31956672668457,-7.476593017578125
8,initial,-7.4439826011657715,-6.554466247558594
9,initial,-7.201192855834961,-7.046529293060303
10,initial,-9.313908576965332,-7.95724630355835
11,initial,-7.220396518707275,-6.95784330368042
12,initial,-8.133016586303711,-6.592714786529541
13,initial,-9.306992530822754,-7.357970714569092
14,initial,-7.4439826011657715,-6.554466247558594
15,initial,-9.033061981201172,-7.929249286651611
16,initial,-7.534432888031006,-6.861021518707275
17,initial,-8.250065803527832,-6.929961204528809
18,initial,-9.294174194335938,-8.699767112731934
19,initial,-7.336849212646484,-6.85563325881958
20,initial,-7.361339569091797,-6.6500420570373535
21,initial,-7.7089056968688965,-7.121730327606201
22,initial,-8.389927864074707,-8.016060829162598
23,initial,-7.845330715179443,-7.061923503875732
24,initial,-8.549861907958984,-7.450521945953369
25,initial,-7.845330715179443,-7.061923503875732
26,initial,-8.943574905395508,-7.985040187835693
27,initial,-8.449502944946289,-8.293878555297852
28,initial,-6.925134181976318,-6.501884460449219
29,initial,-8.879205703735352,-8.174595832824707
30,initial,-7.694554805755615,-7.001553058624268
31,initial,-7.8839263916015625,-7.172481536865234
32,initial,-8.38992691040039,-8.016060829162598
33,initial,-7.883927345275879,-7.172482013702393
34,initial,-7.476945400238037,-7.502411365509033
35,initial,-8.150148391723633,-7.930221080780029
36,initial,-6.925135135650635,-6.501884937286377
37,initial,-7.883927345275879,-7.172482013702393
38,initial,-7.250946044921875,-6.734386444091797
39,initial,-7.230091094970703,-6.520705223083496
40,initial,-7.489089012145996,-6.734289169311523
41,initial,-7.4582366943359375,-7.172982215881348
42,initial,-7.43629789352417,-7.222330570220947
43,initial,-8.103384971618652,-7.985790252685547
44,initial,-7.868143558502197,-6.630502700805664
45,initial,-7.416866779327393,-6.8447794914245605
46,initial,-7.42310094833374,-6.706642150878906
47,initial,-7.654576301574707,-6.767145156860352
48,initial,-8.270302772521973,-8.035989761352539
49,initial,-7.11109733581543,-6.321524620056152
50,initial,-7.677737236022949,-7.390674591064453
51,initial,-8.637675285339355,-8.078032493591309
52,initial,-8.114625930786133,-7.052613735198975
53,initial,-8.188865661621094,-7.713220119476318
54,initial,-7.376885414123535,-7.536952495574951
55,initial,-7.484014987945557,-6.818994522094727
56,initial,-7.448624134063721,-6.681669235229492
57,initial,-6.710272789001465,-6.739677906036377
58,initial,-7.8130598068237305,-6.96531867980957
59,initial,-7.376705646514893,-6.842473983764648
60,initial,-8.768272399902344,-7.8337578773498535
61,initial,-9.79230785369873,-8.446462631225586
62,initial,-10.164937973022461,-9.66580581665039
63,initial,-9.484325408935547,-8.538336753845215
64,initial,-8.2086820602417,-7.43453311920166
65,initial,-7.833425998687744,-7.452559947967529
66,initial,-8.415775299072266,-7.474676609039307
67,initial,-10.123555183410645,-9.043658256530762
68,initial,-8.380928993225098,-7.61442232131958
69,initial,-8.629583358764648,-7.65227746963501
70,initial,-7.848621845245361,-7.209612846374512
71,initial,-9.547103881835938,-9.351554870605469
72,initial,-6.989030361175537,-6.305747985839844
73,initial,-7.706079006195068,-7.248405933380127
74,initial,-7.276165962219238,-6.906545639038086
75,initial,-9.291363716125488,-8.110756874084473
76,initial,-8.54505443572998,-7.684050559997559
77,initial,-9.727152824401855,-8.706147193908691
78,initial,-7.854372501373291,-7.380611896514893
79,initial,-8.076407432556152,-7.062991619110107
80,initial,-5.862208366394043,-6.0713300704956055
81,initial,-6.086347579956055,-5.978694438934326
82,initial,-7.506630897521973,-7.0105061531066895
83,initial,-6.499109745025635,-6.02783203125
84,initial,-6.566208839416504,-6.658728122711182
85,initial,-8.577288627624512,-7.591765880584717
86,initial,-8.058745384216309,-7.303572654724121
87,initial,-7.014606475830078,-6.9996771812438965
88,initial,-6.687190055847168,-6.550589084625244
89,initial,-5.450523853302002,-5.763975620269775
90,initial,-6.678744316101074,-5.873055934906006
91,initial,-8.62933349609375,-8.084081649780273
92,initial,-6.1274542808532715,-6.239990234375
93,initial,-7.0368828773498535,-6.522133827209473
94,initial,-7.273578643798828,-6.962229251861572
95,initial,-7.064062118530273,-6.96555233001709
96,initial,-6.018791675567627,-5.998779296875
97,initial,-6.749545097351074,-6.267120838165283
98,initial,-8.228793144226074,-7.587735176086426
99,initial,-6.126916408538818,-5.732083320617676
100,initial,-7.4238762855529785,-6.488752841949463
101,initial,-7.809777736663818,-6.9499897956848145
102,initial,-8.814421653747559,-7.885425090789795
103,initial,-7.369209289550781,-6.689250469207764
104,initial,-7.369209289550781,-6.689250469207764
105,initial,-7.513372898101807,-6.292163848876953
106,initial,-8.069225311279297,-7.306773662567139
107,initial,-7.535248279571533,-6.719654560089111
108,initial,-6.964174747467041,-6.1311140060424805
109,initial,-8.95766544342041,-8.180498123168945
110,initial,-8.368099212646484,-7.371746063232422
111,initial,-7.330350399017334,-6.808587074279785
112,initial,-8.47411823272705,-7.97153902053833
113,initial,-8.660600662231445,-7.5411481857299805
114,initial,-7.427070140838623,-6.50780725479126
115,initial,-7.635709285736084,-6.657183647155762
116,initial,-9.076371192932129,-7.981822967529297
117,initial,-8.077912330627441,-7.326769828796387
118,initial,-8.069225311279297,-7.306773662567139
119,initial,-8.541459083557129,-7.638522624969482
120,initial,-7.309844493865967,-6.3397979736328125
121,initial,-7.152798175811768,-6.415977478027344
122,initial,-7.63646936416626,-6.707218647003174
123,initial,-7.242082118988037,-5.766183853149414
124,initial,-7.496346473693848,-6.252313137054443
125,initial,-9.089949607849121,-7.2676568031311035
126,initial,-9.034591674804688,-7.541133880615234
127,initial,-8.5577974319458,-6.483127593994141
128,initial,-7.612985134124756,-6.7254486083984375
129,initial,-9.473495483398438,-7.429174900054932
130,initial,-7.372076988220215,-5.8609442710876465
131,initial,-7.115225791931152,-6.169879913330078
132,initial,-7.251098155975342,-6.5881476402282715
133,initial,-8.990472793579102,-7.17444372177124
134,initial,-9.473495483398438,-7.429174900054932
135,initial,-7.406752109527588,-5.925718307495117
136,initial,-7.445837020874023,-6.566325664520264
137,initial,-7.406752109527588,-5.925718307495117
138,initial,-9.089949607849121,-7.267656326293945
139,initial,-7.21485710144043,-6.238699913024902
140,initial,-6.736700534820557,-6.479814052581787
141,initial,-7.675803184509277,-6.786051273345947
142,initial,-7.319451332092285,-6.421400547027588
143,initial,-6.308952808380127,-6.099000453948975
144,initial,-8.227763175964355,-7.576629638671875
145,initial,-6.862173557281494,-6.006972789764404
146,initial,-8.200465202331543,-7.489937782287598
147,initial,-8.254619598388672,-7.449794769287109
148,initial,-7.773906707763672,-6.7691650390625
149,initial,-7.2982025146484375,-6.825313091278076
150,initial,-7.995694160461426,-7.12645149230957
151,initial,-7.564229488372803,-6.8495306968688965
152,initial,-8.877817153930664,-7.704803943634033
153,initial,-7.648409366607666,-7.080820560455322
154,initial,-6.736700534820557,-6.479814052581787
155,initial,-8.200465202331543,-7.489937782287598
156,initial,-8.552255630493164,-7.772964000701904
157,initial,-7.902024269104004,-7.252993583679199
158,initial,-7.263845443725586,-6.873372554779053
159,initial,-8.200465202331543,-7.489937782287598
160,initial,-8.56070327758789,-7.1298394203186035
161,initial,-8.125288009643555,-6.482229232788086
162,initial,-7.615081310272217,-7.278836250305176
163,initial,-9.179628372192383,-7.868354320526123
164,initial,-9.774770736694336,-8.202277183532715
165,initial,-7.2650885581970215,-6.60300350189209
166,initial,-8.252283096313477,-7.541956424713135
167,initial,-9.179628372192383,-7.868354320526123
168,initial,-8.959802627563477,-7.3698015213012695
169,initial,-8.402844429016113,-7.4873948097229
170,initial,-9.040650367736816,-7.337770938873291
171,initial,-8.134861946105957,-6.870048522949219
172,initial,-7.825140476226807,-7.23844051361084
173,initial,-9.348468780517578,-7.9656982421875
174,initial,-9.632734298706055,-8.566229820251465
175,initial,-9.136321067810059,-7.864424705505371
176,initial,-9.15491008758545,-8.229911804199219
177,initial,-8.002309799194336,-7.036133766174316
178,initial,-7.514065265655518,-6.590068817138672
179,initial,-8.891646385192871,-7.288423538208008
180,initial,-6.973721504211426,-6.543867111206055
181,initial,-5.698196887969971,-5.902246952056885
182,initial,-6.170358657836914,-6.114242076873779
183,initial,-6.209847450256348,-6.007248401641846
184,initial,-6.466398239135742,-5.631529331207275
185,initial,-7.546048164367676,-7.106138229370117
186,initial,-7.037026405334473,-6.638254642486572
187,initial,-8.203015327453613,-7.3270087242126465
188,initial,-5.9795379638671875,-5.746230125427246
189,initial,-7.037542819976807,-6.484854221343994
190,initial,-7.5123395919799805,-6.847005367279053
