item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
47,5,2,0.1,pp,4.863488324483235,53,2.4093716144561768,pasnil,initial,do,Unknown,-6.544047529047186
47,5,2,0.1,pp,4.863488324483235,53,2.4093716144561768,pasnil,initial,pp,Unknown,-5.8977736208173965
47,5,2,0.1,pp,4.863488324483235,53,2.4093716144561768,pasnil,final,do,Unknown,-5.409505309480609
47,5,2,0.1,pp,4.863488324483235,53,2.4093716144561768,pasnil,final,pp,Unknown,-5.011717735396491
47,5,2,0.1,pp,4.863488324483235,53,2.4093716144561768,pasnil,best,do,Unknown,-5.2070771130648525
47,5,2,0.1,pp,4.863488324483235,53,2.4093716144561768,pasnil,best,pp,Unknown,-4.738125483194987
107,11,2,0.1,pp,2.4507403771082554,24,1.7545095682144165,pisnis,initial,do,Unknown,-6.549201270305749
107,11,2,0.1,pp,2.4507403771082554,24,1.7545095682144165,pisnis,initial,pp,Unknown,-5.902090080579122
107,11,2,0.1,pp,2.4507403771082554,24,1.7545095682144165,pisnis,final,do,Unknown,-6.7549030535148855
107,11,2,0.1,pp,2.4507403771082554,24,1.7545095682144165,pisnis,final,pp,Unknown,-6.117075187630124
107,11,2,0.1,pp,2.4507403771082554,24,1.7545095682144165,pisnis,best,do,Unknown,-4.89401887474638
107,11,2,0.1,pp,2.4507403771082554,24,1.7545095682144165,pisnis,best,pp,Unknown,-4.789593292607202
331,34,1,0.1,do,3.012807176907856,53,3.2255661487579346,nisnil,initial,do,Unknown,-6.5479606931859795
331,34,1,0.1,do,3.012807176907856,53,3.2255661487579346,nisnil,initial,pp,Unknown,-5.9007278018527565
331,34,1,0.1,do,3.012807176907856,53,3.2255661487579346,nisnil,final,do,Unknown,-7.610872101061272
331,34,1,0.1,do,3.012807176907856,53,3.2255661487579346,nisnil,final,pp,Unknown,-7.541594041718377
331,34,1,0.1,do,3.012807176907856,53,3.2255661487579346,nisnil,best,do,Unknown,-6.517795000654278
331,34,1,0.1,do,3.012807176907856,53,3.2255661487579346,nisnil,best,pp,Unknown,-7.0577339914109976
125,13,5,0.1,do,3.5637277205785107,70,1.7055597305297852,nalpis,initial,do,Unknown,-6.5474781599911775
125,13,5,0.1,do,3.5637277205785107,70,1.7055597305297852,nalpis,initial,pp,Unknown,-5.900419335895115
125,13,5,0.1,do,3.5637277205785107,70,1.7055597305297852,nalpis,final,do,Unknown,-6.515350373586019
125,13,5,0.1,do,3.5637277205785107,70,1.7055597305297852,nalpis,final,pp,Unknown,-5.326276997725169
125,13,5,0.1,do,3.5637277205785107,70,1.7055597305297852,nalpis,best,do,Unknown,-6.515350373586019
125,13,5,0.1,do,3.5637277205785107,70,1.7055597305297852,nalpis,best,pp,Unknown,-5.326276997725169
215,22,5,0.1,do,1.8866619666417446,27,2.4639506340026855,nasnil,initial,do,Unknown,-6.5443753878275555
215,22,5,0.1,do,1.8866619666417446,27,2.4639506340026855,nasnil,initial,pp,Unknown,-5.89948116408454
215,22,5,0.1,do,1.8866619666417446,27,2.4639506340026855,nasnil,final,do,Unknown,-8.911804496880734
215,22,5,0.1,do,1.8866619666417446,27,2.4639506340026855,nasnil,final,pp,Unknown,-7.6446934196684095
215,22,5,0.1,do,1.8866619666417446,27,2.4639506340026855,nasnil,best,do,Unknown,-7.9925494555271035
215,22,5,0.1,do,1.8866619666417446,27,2.4639506340026855,nasnil,best,pp,Unknown,-7.013129750887553
345,35,5,0.1,do,2.320671490033468,37,2.9387898445129395,nisnis,initial,do,Unknown,-6.5426837314258925
345,35,5,0.1,do,2.320671490033468,37,2.9387898445129395,nisnis,initial,pp,Unknown,-5.897294227282206
345,35,5,0.1,do,2.320671490033468,37,2.9387898445129395,nisnis,final,do,Unknown,-6.640935478788434
345,35,5,0.1,do,2.320671490033468,37,2.9387898445129395,nisnis,final,pp,Unknown,-5.848294342888726
345,35,5,0.1,do,2.320671490033468,37,2.9387898445129395,nisnis,best,do,Unknown,-5.704990158659039
345,35,5,0.1,do,2.320671490033468,37,2.9387898445129395,nisnis,best,pp,Unknown,-5.2383950127495655
2,1,2,0.1,do,5.475125107765198,60,2.5785510540008545,paspas,initial,do,Unknown,-6.547740080862335
2,1,2,0.1,do,5.475125107765198,60,2.5785510540008545,paspas,initial,pp,Unknown,-5.901980545785692
2,1,2,0.1,do,5.475125107765198,60,2.5785510540008545,paspas,final,do,Unknown,-6.551098729624893
