item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
471,48,1,0.1,do,1.203479668299356,68,3.799239158630371,nasdmnasdm,initial,do,,-6.443088261286418
471,48,1,0.1,do,1.203479668299356,68,3.799239158630371,nasdmnasdm,initial,pp,,-5.616394813855489
471,48,1,0.1,do,1.203479668299356,68,3.799239158630371,nasdmnasdm,final,do,,-6.040225570852106
471,48,1,0.1,do,1.203479668299356,68,3.799239158630371,nasdmnasdm,final,pp,,-5.580668873257107
471,48,1,0.1,do,1.203479668299356,68,3.799239158630371,nasdmnasdm,best,do,,-6.05388765335083
471,48,1,0.1,do,1.203479668299356,68,3.799239158630371,nasdmnasdm,best,pp,,-5.601025509834289
472,48,2,0.1,do,0.6817648967107139,70,3.7847795486450195,nasdmnasdm,initial,do,,-6.45388624162385
472,48,2,0.1,do,0.6817648967107139,70,3.7847795486450195,nasdmnasdm,initial,pp,,-5.620981656180488
472,48,2,0.1,do,0.6817648967107139,70,3.7847795486450195,nasdmnasdm,final,do,,-5.829157836509474
472,48,2,0.1,do,0.6817648967107139,70,3.7847795486450195,nasdmnasdm,final,pp,,-4.9793682522243925
472,48,2,0.1,do,0.6817648967107139,70,3.7847795486450195,nasdmnasdm,best,do,,-5.829157836509474
472,48,2,0.1,do,0.6817648967107139,70,3.7847795486450195,nasdmnasdm,best,pp,,-4.9793682522243925
473,48,3,0.01,do,-0.21264436562856037,47,4.089836120605469,nasdmnasdm,initial,do,,-6.452750996387366
473,48,3,0.01,do,-0.21264436562856037,47,4.089836120605469,nasdmnasdm,initial,pp,,-5.6229897075229225
473,48,3,0.01,do,-0.21264436562856037,47,4.089836120605469,nasdmnasdm,final,do,,-5.645670743422075
473,48,3,0.01,do,-0.21264436562856037,47,4.089836120605469,nasdmnasdm,final,pp,,-5.016047353214688
473,48,3,0.01,do,-0.21264436562856037,47,4.089836120605469,nasdmnasdm,best,do,,-5.535449101708152
473,48,3,0.01,do,-0.21264436562856037,47,4.089836120605469,nasdmnasdm,best,pp,,-4.885825729370117
474,48,4,0.1,do,0.014075562159220567,46,3.7035365104675293,nasdmnasdm,initial,do,,-6.441614951509418
474,48,4,0.1,do,0.014075562159220567,46,3.7035365104675293,nasdmnasdm,initial,pp,,-5.615870767169529
474,48,4,0.1,do,0.014075562159220567,46,3.7035365104675293,nasdmnasdm,final,do,,-5.941067951375788
474,48,4,0.1,do,0.014075562159220567,46,3.7035365104675293,nasdmnasdm,final,pp,,-5.3000850862926905
474,48,4,0.1,do,0.014075562159220567,46,3.7035365104675293,nasdmnasdm,best,do,,-5.700352621078491
474,48,4,0.1,do,0.014075562159220567,46,3.7035365104675293,nasdmnasdm,best,pp,,-5.015919595294529
475,48,5,0.1,do,-0.15843008836110428,70,3.7165231704711914,nasdmnasdm,initial,do,,-6.4443011934107
