item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.1,do,do,-6.062225418537855
1,1,1,0.1,do,pp,-5.605586117506027
10,1,5,0.1,pp,do,-6.172604635357857
10,1,5,0.1,pp,pp,-5.528214319050312
100,10,5,0.1,pp,do,-6.387958528846502
100,10,5,0.1,pp,pp,-5.738567217439413
1000,100,5,0.1,pp,do,-6.5354470506310465
1000,100,5,0.1,pp,pp,-5.609220439940691
1001,101,1,0.1,do,do,-7.106942841410637
1001,101,1,0.1,do,pp,-6.55644237473607
1002,101,2,0.1,do,do,-6.554985500127077
1002,101,2,0.1,do,pp,-6.1219125390052795
1003,101,3,0.1,do,do,-7.397248564660549
1003,101,3,0.1,do,pp,-6.5129143364727495
1004,101,4,0.1,do,do,-7.143160775303841
1004,101,4,0.1,do,pp,-6.494973118603229
1005,101,5,0.1,do,do,-7.088664734363556
1005,101,5,0.1,do,pp,-6.704003575444221
1006,101,1,0.1,pp,do,-6.490851975232363
1006,101,1,0.1,pp,pp,-5.665091057866812
1007,101,2,0.1,pp,do,-5.884276993572712
1007,101,2,0.1,pp,pp,-5.114720679819584
1008,101,3,0.1,pp,do,-7.239176935702562
1008,101,3,0.1,pp,pp,-6.244049157202244
1009,101,4,0.1,pp,do,-7.148175856471061
1009,101,4,0.1,pp,pp,-6.625841498374939
101,11,1,0.1,do,do,-6.4681373976171015
101,11,1,0.1,do,pp,-5.992790805548429
1010,101,5,0.1,pp,do,-6.464876952767372
1010,101,5,0.1,pp,pp,-5.494010113179684
1011,102,1,0.1,do,do,-6.928012370318174
1011,102,1,0.1,do,pp,-6.749507790803909
1012,102,2,0.1,do,do,-7.047305470705032
1012,102,2,0.1,do,pp,-6.523347163200379
1013,102,3,0.1,do,do,-7.111240119487047
1013,102,3,0.1,do,pp,-6.740933765470982
1014,102,4,0.1,do,do,-6.188429444283247
1014,102,4,0.1,do,pp,-6.241298957169056
1015,102,5,0.1,do,do,-7.353546400368214
1015,102,5,0.1,do,pp,-7.033547767996788
1016,102,1,0.1,pp,do,-6.103583301603794
1016,102,1,0.1,pp,pp,-5.374140397459269
1017,102,2,0.1,pp,do,-6.386423677206039
1017,102,2,0.1,pp,pp,-5.475124002248049
1018,102,3,0.1,pp,do,-7.995367142558098
1018,102,3,0.1,pp,pp,-6.923007463663817
1019,102,4,0.1,pp,do,-7.053774423152208
1019,102,4,0.1,pp,pp,-6.413998365402222
102,11,2,0.1,do,do,-7.219046118110418
102,11,2,0.1,do,pp,-6.552847477048635
1020,102,5,0.1,pp,do,-6.78778013959527
1020,102,5,0.1,pp,pp,-5.996096341311931
1021,103,1,0.1,do,do,-6.7567956984043125
1021,103,1,0.1,do,pp,-6.366669679433107
1022,103,2,0.1,do,do,-6.542580422759056
1022,103,2,0.1,do,pp,-6.073166910558939
1023,103,3,0.1,do,do,-6.122473192960024
1023,103,3,0.1,do,pp,-6.0199255898594854
1024,103,4,0.1,do,do,-6.70757290571928
1024,103,4,0.1,do,pp,-6.352675978094339
1025,103,5,0.1,do,do,-6.716005831956863
1025,103,5,0.1,do,pp,-6.376519455015659
1026,103,1,0.1,pp,do,-6.499851428717375
1026,103,1,0.1,pp,pp,-5.615709934383631
1027,103,2,0.1,pp,do,-6.812806653231382
1027,103,2,0.1,pp,pp,-5.6797666028141975
1028,103,3,0.1,pp,do,-6.366524938493967
1028,103,3,0.1,pp,pp,-5.640684834122657
1029,103,4,0.1,pp,do,-7.1531506955623625
1029,103,4,0.1,pp,pp,-6.198598253726959
103,11,3,0.1,do,do,-6.596532182395459
103,11,3,0.1,do,pp,-6.255504865944386
1030,103,5,0.1,pp,do,-7.3015746682882305
1030,103,5,0.1,pp,pp,-6.533094013482332
1031,104,1,0.1,do,do,-6.117102767527103
1031,104,1,0.1,do,pp,-5.836404843628406
1032,104,2,0.01,do,do,-5.983405820280313
1032,104,2,0.01,do,pp,-5.546932680159808
1033,104,3,0.1,do,do,-6.92175030335784
1033,104,3,0.1,do,pp,-6.414073379337788
1034,104,4,0.1,do,do,-7.205119353532791
1034,104,4,0.1,do,pp,-6.8599892988801
1035,104,5,0.1,do,do,-6.0338392816483974
1035,104,5,0.1,do,pp,-5.6169002741575245
1036,104,1,0.1,pp,do,-7.158894886821509
1036,104,1,0.1,pp,pp,-6.196552938967943
1037,104,2,0.1,pp,do,-6.3525725223124025
1037,104,2,0.1,pp,pp,-5.8140155233442785
1038,104,3,0.1,pp,do,-6.088801442086696
1038,104,3,0.1,pp,pp,-5.397584249824286
1039,104,4,0.1,pp,do,-7.288067257404327
1039,104,4,0.1,pp,pp,-6.645273948460817
104,11,4,0.1,do,do,-6.851305356621742
104,11,4,0.1,do,pp,-6.318864047527313
1040,104,5,0.1,pp,do,-6.608253647387028
1040,104,5,0.1,pp,pp,-6.023722387105226
1041,105,1,0.1,do,do,-7.426712827384472
1041,105,1,0.1,do,pp,-6.875249376893043
1042,105,2,0.1,do,do,-6.425820060819388
1042,105,2,0.1,do,pp,-6.212367745488882
1043,105,3,0.1,do,do,-6.9558889664709564
1043,105,3,0.1,do,pp,-6.745461072027683
1044,105,4,0.1,do,do,-6.092116007953882
1044,105,4,0.1,do,pp,-5.700618287175894
1045,105,5,0.1,do,do,-7.249849890172482
1045,105,5,0.1,do,pp,-6.584693355858326
1046,105,1,0.1,pp,do,-7.378052006661892
1046,105,1,0.1,pp,pp,-6.439176943898201
1047,105,2,0.1,pp,do,-6.573130008578301
1047,105,2,0.1,pp,pp,-5.900502816587687
1048,105,3,0.1,pp,do,-6.377249226719141
1048,105,3,0.1,pp,pp,-5.850341335684061
1049,105,4,0.1,pp,do,-6.166538406908512
1049,105,4,0.1,pp,pp,-5.421124025434255
105,11,5,0.1,do,do,-6.770970352739096
105,11,5,0.1,do,pp,-6.487475868314505
1050,105,5,0.1,pp,do,-7.017696630209684
1050,105,5,0.1,pp,pp,-6.292864902317524
1051,106,1,0.1,do,do,-7.846283289790153
1051,106,1,0.1,do,pp,-7.2518375143408775
1052,106,2,0.1,do,do,-6.910871882736683
1052,106,2,0.1,do,pp,-6.719868551194668
1053,106,3,0.1,do,do,-7.430030950903893
1053,106,3,0.1,do,pp,-6.762403020262719
1054,106,4,0.1,do,do,-5.959307693690062
1054,106,4,0.1,do,pp,-5.411210849881172
1055,106,5,0.1,do,do,-7.538763908296824
1055,106,5,0.1,do,pp,-6.973442777991295
1056,106,1,0.1,pp,do,-7.716009069979191
1056,106,1,0.1,pp,pp,-7.145197112858296
1057,106,2,0.1,pp,do,-6.94646485298872
1057,106,2,0.1,pp,pp,-6.1833311162889
1058,106,3,0.1,pp,do,-7.182966990768909
1058,106,3,0.1,pp,pp,-6.49648431763053
1059,106,4,0.1,pp,do,-5.878386733680964
1059,106,4,0.1,pp,pp,-5.309077391028405
106,11,1,0.1,pp,do,-6.233225944638252
106,11,1,0.1,pp,pp,-5.357213667780161
1060,106,5,0.1,pp,do,-6.649828135967255
1060,106,5,0.1,pp,pp,-5.867195845395327
1061,107,1,0.1,do,do,-8.050323535501956
1061,107,1,0.1,do,pp,-7.805828136205673
1062,107,2,0.1,do,do,-6.685424660891295
1062,107,2,0.1,do,pp,-6.230734824389219
1063,107,3,0.1,do,do,-7.16573194116354
1063,107,3,0.1,do,pp,-6.617658669501543
1064,107,4,0.1,do,do,-6.411070311069489
1064,107,4,0.1,do,pp,-6.255261491239071
1065,107,5,0.1,do,do,-7.574676034599543
1065,107,5,0.1,do,pp,-7.139046615362167
1066,107,1,0.1,pp,do,-7.242820072174072
1066,107,1,0.1,pp,pp,-6.764311718940735
1067,107,2,0.1,pp,do,-7.351536687463522
1067,107,2,0.1,pp,pp,-6.5652282506227495
1068,107,3,0.1,pp,do,-7.0664961285889145
1068,107,3,0.1,pp,pp,-6.183804919570685
1069,107,4,0.1,pp,do,-6.428034166246652
1069,107,4,0.1,pp,pp,-5.615120909363031
107,11,2,0.1,pp,do,-7.644349183887243
107,11,2,0.1,pp,pp,-6.812775915116072
1070,107,5,0.1,pp,do,-7.611078774929046
1070,107,5,0.1,pp,pp,-7.021668832749128
1071,108,1,0.1,do,do,-7.1985543422400955
1071,108,1,0.1,do,pp,-6.880368947982788
1072,108,2,0.1,do,do,-7.370439084619283
1072,108,2,0.1,do,pp,-7.42214260995388
1073,108,3,0.1,do,do,-6.699373595416546
1073,108,3,0.1,do,pp,-6.419079039990902
1074,108,4,0.1,do,do,-6.575781964510679
1074,108,4,0.1,do,pp,-6.8388366743922235
1075,108,5,0.1,do,do,-7.2559970453381535
1075,108,5,0.1,do,pp,-6.920939681679011
1076,108,1,0.1,pp,do,-7.1506012544035915
1076,108,1,0.1,pp,pp,-6.255024332553148
1077,108,2,0.1,pp,do,-7.356287320703268
1077,108,2,0.1,pp,pp,-6.710502650588751
1078,108,3,0.1,pp,do,-6.077702771872282
1078,108,3,0.1,pp,pp,-5.335604545474053
1079,108,4,0.1,pp,do,-7.532905934751033
1079,108,4,0.1,pp,pp,-6.9750406965613365
108,11,3,0.1,pp,do,-6.192641719430685
108,11,3,0.1,pp,pp,-5.327554488182068
1080,108,5,0.1,pp,do,-7.088595155626535
1080,108,5,0.1,pp,pp,-6.170992191880941
1081,109,1,0.1,do,do,-6.103805197775364
1081,109,1,0.1,do,pp,-5.675079913437367
1082,109,2,0.1,do,do,-6.931188702583313
1082,109,2,0.1,do,pp,-6.65954924672842
1083,109,3,0.1,do,do,-7.597410915791988
1083,109,3,0.1,do,pp,-7.173717238008976
1084,109,4,0.1,do,do,-6.390347094088793
1084,109,4,0.1,do,pp,-5.926521768420935
1085,109,5,0.1,do,do,-6.566772781312466
1085,109,5,0.1,do,pp,-6.174081420898437
