item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1005,101,5,0.1,do,do,-5.2378771781921385
1005,101,5,0.1,do,pp,-5.170050802454353
1010,101,5,0.1,pp,do,-5.923629100248218
1010,101,5,0.1,pp,pp,-5.30647709518671
1024,103,4,0.1,do,do,-6.3424316860735415
1024,103,4,0.1,do,pp,-5.89020812548697
1029,103,4,0.1,pp,do,-5.125487792864442
1029,103,4,0.1,pp,pp,-4.640750712528825
994,100,4,0.1,do,do,-5.553264256566763
994,100,4,0.1,do,pp,-5.335493496805429
999,100,4,0.1,pp,do,-5.133558923378587
999,100,4,0.1,pp,pp,-4.531660685688257
