item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
1,1,1,0.1,do,-0.026112672487894173,70,4.021399974822998,pasdupasdu,initial,do,,-6.495547481016679
1,1,1,0.1,do,-0.026112672487894173,70,4.021399974822998,pasdupasdu,initial,pp,,-5.685206776195102
1,1,1,0.1,do,-0.026112672487894173,70,4.021399974822998,pasdupasdu,final,do,,-5.864930028626413
1,1,1,0.1,do,-0.026112672487894173,70,4.021399974822998,pasdupasdu,final,pp,,-5.367456573910183
1,1,1,0.1,do,-0.026112672487894173,70,4.021399974822998,pasdupasdu,best,do,,-5.864930028626413
1,1,1,0.1,do,-0.026112672487894173,70,4.021399974822998,pasdupasdu,best,pp,,-5.367456573910183
2,1,2,0.1,do,0.5635942427317291,70,4.186600685119629,pasdupasdu,initial,do,,-6.490141511685921
2,1,2,0.1,do,0.5635942427317291,70,4.186600685119629,pasdupasdu,initial,pp,,-5.679346201154921
2,1,2,0.1,do,0.5635942427317291,70,4.186600685119629,pasdupasdu,final,do,,-6.090793092323072
2,1,2,0.1,do,0.5635942427317291,70,4.186600685119629,pasdupasdu,final,pp,,-5.530237264103359
2,1,2,0.1,do,0.5635942427317291,70,4.186600685119629,pasdupasdu,best,do,,-6.090793092323072
2,1,2,0.1,do,0.5635942427317291,70,4.186600685119629,pasdupasdu,best,pp,,-5.530237264103359
3,1,3,0.1,do,0.04768339951833056,28,4.691277503967285,pasdupasdu,initial,do,,-6.491296648256706
3,1,3,0.1,do,0.04768339951833056,28,4.691277503967285,pasdupasdu,initial,pp,,-5.679688252343071
3,1,3,0.1,do,0.04768339951833056,28,4.691277503967285,pasdupasdu,final,do,,-6.811075378186775
3,1,3,0.1,do,0.04768339951833056,28,4.691277503967285,pasdupasdu,final,pp,,-6.298834347724915
