item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.01,do,do,-7.2603639796376225
1,1,1,0.01,do,pp,-6.8427663579583164
10,1,5,0.1,pp,do,-7.040514987707138
10,1,5,0.1,pp,pp,-6.464789514243603
100,10,5,0.1,pp,do,-6.2450211435556415
100,10,5,0.1,pp,pp,-5.72065374776721
1000,100,5,0.1,pp,do,-6.526313415914774
1000,100,5,0.1,pp,pp,-5.728039023280144
1001,101,1,0.1,do,do,-6.08333257958293
1001,101,1,0.1,do,pp,-5.569914355129003
1002,101,2,0.1,do,do,-9.807690745592117
1002,101,2,0.1,do,pp,-9.068928772211075
1003,101,3,0.1,do,do,-6.082536954432726
1003,101,3,0.1,do,pp,-5.566538633406163
1004,101,4,0.1,do,do,-7.8022847175598145
1004,101,4,0.1,do,pp,-7.284802827239036
1005,101,5,0.1,do,do,-9.148261466622353
1005,101,5,0.1,do,pp,-8.003583787381649
1006,101,1,0.1,pp,do,-7.5604493014514444
1006,101,1,0.1,pp,pp,-6.247407064586878
1007,101,2,0.1,pp,do,-8.589102467894554
1007,101,2,0.1,pp,pp,-7.307915126532317
1008,101,3,0.1,pp,do,-7.889496538043022
1008,101,3,0.1,pp,pp,-6.810426199436188
1009,101,4,0.1,pp,do,-7.939504711329937
1009,101,4,0.1,pp,pp,-6.99858204126358
1010,101,5,0.1,pp,do,-8.634547385573388
1010,101,5,0.1,pp,pp,-7.397573538124561
1021,103,1,0.1,do,do,-7.140848974138498
1021,103,1,0.1,do,pp,-6.030934779345989
1022,103,2,0.1,do,do,-5.791579870134592
1022,103,2,0.1,do,pp,-5.420892592519522
1023,103,3,0.1,do,do,-5.963536103069782
1023,103,3,0.1,do,pp,-5.758394312858582
1024,103,4,0.1,do,do,-9.874469274282456
1024,103,4,0.1,do,pp,-8.316810983419419
1025,103,5,0.1,do,do,-7.393174636363983
1025,103,5,0.1,do,pp,-7.008560147881508
1026,103,1,0.1,pp,do,-7.12091998681426
1026,103,1,0.1,pp,pp,-6.266014705598354
1027,103,2,0.1,pp,do,-8.227967283129692
1027,103,2,0.1,pp,pp,-6.882857029139996
1028,103,3,0.1,pp,do,-6.0652948342263695
1028,103,3,0.1,pp,pp,-5.5146677531301975
1029,103,4,0.1,pp,do,-8.626389262080192
1029,103,4,0.1,pp,pp,-7.14458220154047
1030,103,5,0.1,pp,do,-6.097194282710552
1030,103,5,0.1,pp,pp,-5.47174284979701
1031,104,1,0.1,do,do,-6.36058164164424
1031,104,1,0.1,do,pp,-5.656963101774454
1032,104,2,0.1,do,do,-7.5100233659148214
1032,104,2,0.1,do,pp,-7.246627043187618
1033,104,3,0.1,do,do,-5.806562826782465
1033,104,3,0.1,do,pp,-5.573856944590807
1034,104,4,0.1,do,do,-6.972281298041343
1034,104,4,0.1,do,pp,-6.465458155423403
1035,104,5,0.1,do,do,-6.317629584670067
1035,104,5,0.1,do,pp,-5.90965231731534
1036,104,1,0.1,pp,do,-6.424671193957328
1036,104,1,0.1,pp,pp,-5.549367053806781
1037,104,2,0.1,pp,do,-6.274856613576413
1037,104,2,0.1,pp,pp,-5.848366660624743
1038,104,3,0.1,pp,do,-7.973618081212043
1038,104,3,0.1,pp,pp,-6.965023177117109
1039,104,4,0.1,pp,do,-5.98992173820734
1039,104,4,0.1,pp,pp,-5.399085925519467
1040,104,5,0.1,pp,do,-7.417015916109085
1040,104,5,0.1,pp,pp,-6.5641060546040535
1051,106,1,0.1,do,do,-8.14949689731002
1051,106,1,0.1,do,pp,-7.637073172628879
1052,106,2,0.1,do,do,-6.321531921625137
1052,106,2,0.1,do,pp,-5.810214950144291
1053,106,3,0.1,do,do,-9.147543576359748
1053,106,3,0.1,do,pp,-8.169478507339955
1054,106,4,0.1,do,do,-8.301104137301445
1054,106,4,0.1,do,pp,-7.461706125736237
1055,106,5,0.1,do,do,-7.336803850531578
1055,106,5,0.1,do,pp,-7.018733498454094
1056,106,1,0.1,pp,do,-6.541430462896824
1056,106,1,0.1,pp,pp,-5.8698413915932175
1057,106,2,0.1,pp,do,-7.333769801259041
1057,106,2,0.1,pp,pp,-6.3527528993785385
1058,106,3,0.1,pp,do,-6.0049721978604795
1058,106,3,0.1,pp,pp,-5.410779194533825
1059,106,4,0.1,pp,do,-5.96228691637516
1059,106,4,0.1,pp,pp,-5.175716324150562
1060,106,5,0.1,pp,do,-7.323721979558468
1060,106,5,0.1,pp,pp,-6.275826745480299
1071,108,1,0.1,do,do,-10.020098316669465
1071,108,1,0.1,do,pp,-8.940670490264893
1072,108,2,0.1,do,do,-7.960581220686436
1072,108,2,0.1,do,pp,-7.301561541855335
1073,108,3,0.1,do,do,-6.154371844232083
1073,108,3,0.1,do,pp,-5.42999003380537
1074,108,4,0.1,do,do,-6.019977228343487
1074,108,4,0.1,do,pp,-5.511840680241585
1075,108,5,0.1,do,do,-6.928678661584854
1075,108,5,0.1,do,pp,-6.56310862749815
1076,108,1,0.1,pp,do,-6.427032078057527
1076,108,1,0.1,pp,pp,-5.754804389923811
1077,108,2,0.1,pp,do,-7.191722457110882
1077,108,2,0.1,pp,pp,-6.346723838150501
1078,108,3,0.1,pp,do,-8.029823938012123
1078,108,3,0.1,pp,pp,-7.022173148393631
1079,108,4,0.1,pp,do,-7.845256680250168
1079,108,4,0.1,pp,pp,-6.9046856924891475
1080,108,5,0.1,pp,do,-6.530013400316238
1080,108,5,0.1,pp,pp,-5.69949155524373
1081,109,1,0.1,do,do,-10.002750499546528
1081,109,1,0.1,do,pp,-9.702878256142139
1082,109,2,0.1,do,do,-6.878482718765736
1082,109,2,0.1,do,pp,-6.445800103247166
1083,109,3,0.1,do,do,-6.110410486161709
1083,109,3,0.1,do,pp,-5.842308674007654
1084,109,4,0.1,do,do,-6.1904773660004135
1084,109,4,0.1,do,pp,-5.732291387766599
1085,109,5,0.1,do,do,-9.477214747667313
1085,109,5,0.1,do,pp,-8.790275903046131
1086,109,1,0.1,pp,do,-9.28984463661909
1086,109,1,0.1,pp,pp,-8.019975817203521
1087,109,2,0.1,pp,do,-6.554826465249062
1087,109,2,0.1,pp,pp,-5.633836823701858
1088,109,3,0.1,pp,do,-8.511679643392563
1088,109,3,0.1,pp,pp,-6.975667700171471
1089,109,4,0.1,pp,do,-6.140111435949803
1089,109,4,0.1,pp,pp,-5.647961774468422
1090,109,5,0.1,pp,do,-6.918348999321461
1090,109,5,0.1,pp,pp,-6.297009961307049
11,2,1,0.1,do,do,-6.433543022722006
11,2,1,0.1,do,pp,-6.025223751366139
1101,111,1,0.01,do,do,-7.307859480381012
1101,111,1,0.01,do,pp,-6.853273940086365
1102,111,2,0.1,do,do,-6.382480892539024
1102,111,2,0.1,do,pp,-5.815205406397581
1103,111,3,0.1,do,do,-6.385383190214634
1103,111,3,0.1,do,pp,-5.939193207770586
1104,111,4,0.1,do,do,-6.2264033034443855
1104,111,4,0.1,do,pp,-5.645908615738153
1105,111,5,0.1,do,do,-6.72357702255249
1105,111,5,0.1,do,pp,-6.118774698674679
1106,111,1,0.1,pp,do,-6.312313070893287
