item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1005,101,5,0.1,do,do,-5.503356538712978
1005,101,5,0.1,do,pp,-5.323876601457596
1010,101,5,0.1,pp,do,-4.587802894413471
1010,101,5,0.1,pp,pp,-4.437669176235795
1012,102,2,0.1,do,do,-5.810896091908217
1012,102,2,0.1,do,pp,-5.746371969208122
1013,102,3,0.1,do,do,-5.277129198238254
1013,102,3,0.1,do,pp,-5.144684495776891
1017,102,2,0.1,pp,do,-5.073891224339604
1017,102,2,0.1,pp,pp,-4.45889354981482
1018,102,3,0.1,pp,do,-6.71429516300559
1018,102,3,0.1,pp,pp,-6.427300096675753
1024,103,4,0.1,do,do,-6.618830488249659
1024,103,4,0.1,do,pp,-6.136824990063905
1029,103,4,0.1,pp,do,-5.911522163823247
1029,103,4,0.1,pp,pp,-5.431123113632202
2124,213,4,0.1,do,do,-6.166866029053926
2124,213,4,0.1,do,pp,-5.997207014262676
2129,213,4,0.1,pp,do,-4.049276890978217
2129,213,4,0.1,pp,pp,-4.032224885001779
994,100,4,0.1,do,do,-6.052866577357054
994,100,4,0.1,do,pp,-5.738643585518003
999,100,4,0.1,pp,do,-4.723737285658717
999,100,4,0.1,pp,pp,-4.282907964289189
