item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
15,2,5,0.1,do,-0.2097794373830153,70,3.6698036193847656,pasdunaldm,initial,do,,-6.493342505079327
15,2,5,0.1,do,-0.2097794373830153,70,3.6698036193847656,pasdunaldm,initial,pp,,-5.681178636021084
15,2,5,0.1,do,-0.2097794373830153,70,3.6698036193847656,pasdunaldm,final,do,,-6.735242819063592
15,2,5,0.1,do,-0.2097794373830153,70,3.6698036193847656,pasdunaldm,final,pp,,-5.917695172627767
15,2,5,0.1,do,-0.2097794373830153,70,3.6698036193847656,pasdunaldm,best,do,,-6.735242819063592
15,2,5,0.1,do,-0.2097794373830153,70,3.6698036193847656,pasdunaldm,best,pp,,-5.917695172627767
65,7,5,0.1,do,0.2353526147206635,70,3.5584728717803955,pasdunildm,initial,do,,-6.496308024724325
65,7,5,0.1,do,0.2353526147206635,70,3.5584728717803955,pasdunildm,initial,pp,,-5.683062360021803
65,7,5,0.1,do,0.2353526147206635,70,3.5584728717803955,pasdunildm,final,do,,-7.431122333353216
65,7,5,0.1,do,0.2353526147206635,70,3.5584728717803955,pasdunildm,final,pp,,-7.018653096093072
65,7,5,0.1,do,0.2353526147206635,70,3.5584728717803955,pasdunildm,best,do,,-7.431122333353216
65,7,5,0.1,do,0.2353526147206635,70,3.5584728717803955,pasdunildm,best,pp,,-7.018653096093072
466,47,1,0.1,pp,0.38843899408976235,19,4.0367431640625,nasdmnalim,initial,do,,-6.490847902586966
466,47,1,0.1,pp,0.38843899408976235,19,4.0367431640625,nasdmnalim,initial,pp,,-5.679325678613451
466,47,1,0.1,pp,0.38843899408976235,19,4.0367431640625,nasdmnalim,final,do,,-5.263917606527155
466,47,1,0.1,pp,0.38843899408976235,19,4.0367431640625,nasdmnalim,final,pp,,-4.550952810711331
466,47,1,0.1,pp,0.38843899408976235,19,4.0367431640625,nasdmnalim,best,do,,-4.589094693732984
466,47,1,0.1,pp,0.38843899408976235,19,4.0367431640625,nasdmnalim,best,pp,,-3.862453055381775
25,3,5,0.1,do,0.11424530665079757,59,4.000111103057861,pasdunalim,initial,do,,-6.492962207216205
25,3,5,0.1,do,0.11424530665079757,59,4.000111103057861,pasdunalim,initial,pp,,-5.678849466641744
25,3,5,0.1,do,0.11424530665079757,59,4.000111103057861,pasdunalim,final,do,,-7.458356650670369
25,3,5,0.1,do,0.11424530665079757,59,4.000111103057861,pasdunalim,final,pp,,-7.319430213504368
25,3,5,0.1,do,0.11424530665079757,59,4.000111103057861,pasdunalim,best,do,,-7.339576450983683
25,3,5,0.1,do,0.11424530665079757,59,4.000111103057861,pasdunalim,best,pp,,-7.152145428127713
785,79,5,0.1,do,0.45928568045298235,55,3.4606525897979736,nildmnaldm,initial,do,,-6.490557316577796
785,79,5,0.1,do,0.45928568045298235,55,3.4606525897979736,nildmnaldm,initial,pp,,-5.67775055302514
785,79,5,0.1,do,0.45928568045298235,55,3.4606525897979736,nildmnaldm,final,do,,-6.913542133389098
785,79,5,0.1,do,0.45928568045298235,55,3.4606525897979736,nildmnaldm,final,pp,,-5.8886737770504425
785,79,5,0.1,do,0.45928568045298235,55,3.4606525897979736,nildmnaldm,best,do,,-6.658727192156243
785,79,5,0.1,do,0.45928568045298235,55,3.4606525897979736,nildmnaldm,best,pp,,-5.794064235687256
166,17,1,0.1,pp,0.2101321188608809,12,4.138850212097168,naldmnasim,initial,do,,-6.492210872245558
166,17,1,0.1,pp,0.2101321188608809,12,4.138850212097168,naldmnasim,initial,pp,,-5.6807149516211615
166,17,1,0.1,pp,0.2101321188608809,12,4.138850212097168,naldmnasim,final,do,,-6.488856188456217
166,17,1,0.1,pp,0.2101321188608809,12,4.138850212097168,naldmnasim,final,pp,,-5.704338309499953
166,17,1,0.1,pp,0.2101321188608809,12,4.138850212097168,naldmnasim,best,do,,-5.35744289484891
166,17,1,0.1,pp,0.2101321188608809,12,4.138850212097168,naldmnasim,best,pp,,-4.5226316955354475
595,60,5,0.1,do,-0.32076954205830965,3,7.3975934982299805,nasdunasdu,initial,do,,-6.490784120559693
595,60,5,0.1,do,-0.32076954205830965,3,7.3975934982299805,nasdunasdu,initial,pp,,-5.679571885532803
595,60,5,0.1,do,-0.32076954205830965,3,7.3975934982299805,nasdunasdu,final,do,,-8.891330338969375
595,60,5,0.1,do,-0.32076954205830965,3,7.3975934982299805,nasdunasdu,final,pp,,-8.134792068269517
595,60,5,0.1,do,-0.32076954205830965,3,7.3975934982299805,nasdunasdu,best,do,,-6.142108790079752
595,60,5,0.1,do,-0.32076954205830965,3,7.3975934982299805,nasdunasdu,best,pp,,-5.313825980822245
545,55,5,0.01,do,0.6701308139165247,46,4.655101299285889,nasdmnisim,initial,do,,-6.49354426499569
545,55,5,0.01,do,0.6701308139165247,46,4.655101299285889,nasdmnisim,initial,pp,,-5.681772351264954
545,55,5,0.01,do,0.6701308139165247,46,4.655101299285889,nasdmnisim,final,do,,-5.542547595862186
545,55,5,0.01,do,0.6701308139165247,46,4.655101299285889,nasdmnisim,final,pp,,-4.766238355636597
545,55,5,0.01,do,0.6701308139165247,46,4.655101299285889,nasdmnisim,best,do,,-5.504933097145774
545,55,5,0.01,do,0.6701308139165247,46,4.655101299285889,nasdmnisim,best,pp,,-4.660747912194994
644,65,4,0.1,do,-0.2742088810602823,6,6.744345188140869,nasdunisdu,initial,do,,-6.493173805872599
644,65,4,0.1,do,-0.2742088810602823,6,6.744345188140869,nasdunisdu,initial,pp,,-5.680466424094306
644,65,4,0.1,do,-0.2742088810602823,6,6.744345188140869,nasdunisdu,final,do,,-6.079226684570313
644,65,4,0.1,do,-0.2742088810602823,6,6.744345188140869,nasdunisdu,final,pp,,-5.316719849904378
644,65,4,0.1,do,-0.2742088810602823,6,6.744345188140869,nasdunisdu,best,do,,-5.153468175367876
644,65,4,0.1,do,-0.2742088810602823,6,6.744345188140869,nasdunisdu,best,pp,,-4.485977239078945
1999,200,4,0.1,pp,-0.22954923152923623,7,6.016159534454346,nasdunisiu,initial,do,,-6.49477901169748
1999,200,4,0.1,pp,-0.22954923152923623,7,6.016159534454346,nasdunisiu,initial,pp,,-5.682533417807685
1999,200,4,0.1,pp,-0.22954923152923623,7,6.016159534454346,nasdunisiu,final,do,,-7.722737107132421
1999,200,4,0.1,pp,-0.22954923152923623,7,6.016159534454346,nasdunisiu,final,pp,,-6.961889786190457
1999,200,4,0.1,pp,-0.22954923152923623,7,6.016159534454346,nasdunisiu,best,do,,-5.06663163503011
1999,200,4,0.1,pp,-0.22954923152923623,7,6.016159534454346,nasdunisiu,best,pp,,-4.502749790085686
138,14,3,0.1,pp,0.8216269763310748,33,3.7114598751068115,naldmnalim,initial,do,,-6.4950334028764205
138,14,3,0.1,pp,0.8216269763310748,33,3.7114598751068115,naldmnalim,initial,pp,,-5.6823104566997955
138,14,3,0.1,pp,0.8216269763310748,33,3.7114598751068115,naldmnalim,final,do,,-5.588798501274803
138,14,3,0.1,pp,0.8216269763310748,33,3.7114598751068115,naldmnalim,final,pp,,-5.052686582671272
138,14,3,0.1,pp,0.8216269763310748,33,3.7114598751068115,naldmnalim,best,do,,-5.401817659898238
138,14,3,0.1,pp,0.8216269763310748,33,3.7114598751068115,naldmnalim,best,pp,,-4.9375987874137035
653,66,3,0.1,do,0.3998041486740114,7,6.342809677124023,nasdunisim,initial,do,,-6.490301766540065
653,66,3,0.1,do,0.3998041486740114,7,6.342809677124023,nasdunisim,initial,pp,,-5.6759635342492
653,66,3,0.1,do,0.3998041486740114,7,6.342809677124023,nasdunisim,final,do,,-7.054743438778502
653,66,3,0.1,do,0.3998041486740114,7,6.342809677124023,nasdunisim,final,pp,,-6.12725834051768
653,66,3,0.1,do,0.3998041486740114,7,6.342809677124023,nasdunisim,best,do,,-5.283752048376835
653,66,3,0.1,do,0.3998041486740114,7,6.342809677124023,nasdunisim,best,pp,,-4.59899952146742
1995,200,5,0.01,do,-0.2801920747756954,36,6.736303806304932,nasdunisiu,initial,do,,-6.496628197756681
1995,200,5,0.01,do,-0.2801920747756954,36,6.736303806304932,nasdunisiu,initial,pp,,-5.68314888742235
1995,200,5,0.01,do,-0.2801920747756954,36,6.736303806304932,nasdunisiu,final,do,,-5.586799436627012
1995,200,5,0.01,do,-0.2801920747756954,36,6.736303806304932,nasdunisiu,final,pp,,-4.933325407240126
1995,200,5,0.01,do,-0.2801920747756954,36,6.736303806304932,nasdunisiu,best,do,,-5.707130439353712
1995,200,5,0.01,do,-0.2801920747756954,36,6.736303806304932,nasdunisiu,best,pp,,-5.0568494902716745
513,52,3,0.1,do,0.5230684328079223,65,4.218654632568359,nasdmnilim,initial,do,,-6.494225776556767
513,52,3,0.1,do,0.5230684328079223,65,4.218654632568359,nasdmnilim,initial,pp,,-5.682245429356893
513,52,3,0.1,do,0.5230684328079223,65,4.218654632568359,nasdmnilim,final,do,,-6.295869532498446
513,52,3,0.1,do,0.5230684328079223,65,4.218654632568359,nasdmnilim,final,pp,,-6.1143592357635494
513,52,3,0.1,do,0.5230684328079223,65,4.218654632568359,nasdmnilim,best,do,,-6.214465170195608
513,52,3,0.1,do,0.5230684328079223,65,4.218654632568359,nasdmnilim,best,pp,,-6.071393632888794
1179,118,4,0.1,pp,0.41062309583028167,70,4.422264575958252,nisdunilim,initial,do,,-6.495524248932347
1179,118,4,0.1,pp,0.41062309583028167,70,4.422264575958252,nisdunilim,initial,pp,,-5.683387144406637
1179,118,4,0.1,pp,0.41062309583028167,70,4.422264575958252,nisdunilim,final,do,,-6.848375894084121
1179,118,4,0.1,pp,0.41062309583028167,70,4.422264575958252,nisdunilim,final,pp,,-6.454789270295037
1179,118,4,0.1,pp,0.41062309583028167,70,4.422264575958252,nisdunilim,best,do,,-6.848375894084121
1179,118,4,0.1,pp,0.41062309583028167,70,4.422264575958252,nisdunilim,best,pp,,-6.454789270295037
1014,102,4,0.01,do,0.08809072017669717,70,4.674489974975586,nisdmnalim,initial,do,,-6.4897278988000116
1014,102,4,0.01,do,0.08809072017669717,70,4.674489974975586,nisdmnalim,initial,pp,,-5.675738988982307
1014,102,4,0.01,do,0.08809072017669717,70,4.674489974975586,nisdmnalim,final,do,,-5.339113270152699
1014,102,4,0.01,do,0.08809072017669717,70,4.674489974975586,nisdmnalim,final,pp,,-4.876937413215638
1014,102,4,0.01,do,0.08809072017669717,70,4.674489974975586,nisdmnalim,best,do,,-5.339113270152699
1014,102,4,0.01,do,0.08809072017669717,70,4.674489974975586,nisdmnalim,best,pp,,-4.876937413215638
1163,117,3,0.1,do,0.2971255191167188,7,5.4852213859558105,nisdunildm,initial,do,,-6.490921101425633
1163,117,3,0.1,do,0.2971255191167188,7,5.4852213859558105,nisdunildm,initial,pp,,-5.679429578781128
1163,117,3,0.1,do,0.2971255191167188,7,5.4852213859558105,nisdunildm,final,do,,-7.0051037138158625
1163,117,3,0.1,do,0.2971255191167188,7,5.4852213859558105,nisdunildm,final,pp,,-6.034944412443373
1163,117,3,0.1,do,0.2971255191167188,7,5.4852213859558105,nisdunildm,best,do,,-5.118560296838933
1163,117,3,0.1,do,0.2971255191167188,7,5.4852213859558105,nisdunildm,best,pp,,-4.3243504736158584
469,47,4,0.1,pp,0.8969862031936646,17,4.425179481506348,nasdmnalim,initial,do,,-6.4934341242819125
469,47,4,0.1,pp,0.8969862031936646,17,4.425179481506348,nasdmnalim,initial,pp,,-5.680860116746691
469,47,4,0.1,pp,0.8969862031936646,17,4.425179481506348,nasdmnalim,final,do,,-6.003704562331691
469,47,4,0.1,pp,0.8969862031936646,17,4.425179481506348,nasdmnalim,final,pp,,-5.584024863772922
469,47,4,0.1,pp,0.8969862031936646,17,4.425179481506348,nasdmnalim,best,do,,-4.922767841454708
469,47,4,0.1,pp,0.8969862031936646,17,4.425179481506348,nasdmnalim,best,pp,,-4.236571616596645
1837,184,2,0.1,pp,0.4490045706431074,21,4.140191555023193,naldmnisiu,initial,do,,-6.493294632073605
1837,184,2,0.1,pp,0.4490045706431074,21,4.140191555023193,naldmnisiu,initial,pp,,-5.683836727672153
1837,184,2,0.1,pp,0.4490045706431074,21,4.140191555023193,naldmnisiu,final,do,,-5.383269606214581
1837,184,2,0.1,pp,0.4490045706431074,21,4.140191555023193,naldmnisiu,final,pp,,-4.737229757838779
1837,184,2,0.1,pp,0.4490045706431074,21,4.140191555023193,naldmnisiu,best,do,,-5.104725908510613
1837,184,2,0.1,pp,0.4490045706431074,21,4.140191555023193,naldmnisiu,best,pp,,-4.180117991235521
148,15,3,0.1,pp,0.5377672211329143,39,3.7773287296295166,naldmnasdm,initial,do,,-6.4911943984754155
148,15,3,0.1,pp,0.5377672211329143,39,3.7773287296295166,naldmnasdm,initial,pp,,-5.679513012038337
148,15,3,0.1,pp,0.5377672211329143,39,3.7773287296295166,naldmnasdm,final,do,,-6.0471801887859
148,15,3,0.1,pp,0.5377672211329143,39,3.7773287296295166,naldmnasdm,final,pp,,-5.728822729322645
148,15,3,0.1,pp,0.5377672211329143,39,3.7773287296295166,naldmnasdm,best,do,,-5.320646155964244
148,15,3,0.1,pp,0.5377672211329143,39,3.7773287296295166,naldmnasdm,best,pp,,-4.733335619502597
2169,217,4,0.1,pp,0.753116749127706,41,5.763151168823242,nisdupasiu,initial,do,,-6.491658759839607
2169,217,4,0.1,pp,0.753116749127706,41,5.763151168823242,nisdupasiu,initial,pp,,-5.679429788059658
2169,217,4,0.1,pp,0.753116749127706,41,5.763151168823242,nisdupasiu,final,do,,-5.558851110573971
2169,217,4,0.1,pp,0.753116749127706,41,5.763151168823242,nisdupasiu,final,pp,,-5.100665685865614
2169,217,4,0.1,pp,0.753116749127706,41,5.763151168823242,nisdupasiu,best,do,,-5.021540198181615
2169,217,4,0.1,pp,0.753116749127706,41,5.763151168823242,nisdupasiu,best,pp,,-4.609512342347039
544,55,4,0.01,do,0.08361804485321045,70,4.831319808959961,nasdmnisim,initial,do,,-6.4928665031086314
544,55,4,0.01,do,0.08361804485321045,70,4.831319808959961,nasdmnisim,initial,pp,,-5.680514009793599
544,55,4,0.01,do,0.08361804485321045,70,4.831319808959961,nasdmnisim,final,do,,-5.650724783810702
544,55,4,0.01,do,0.08361804485321045,70,4.831319808959961,nasdmnisim,final,pp,,-5.013724795977274
544,55,4,0.01,do,0.08361804485321045,70,4.831319808959961,nasdmnisim,best,do,,-5.650724783810702
544,55,4,0.01,do,0.08361804485321045,70,4.831319808959961,nasdmnisim,best,pp,,-5.013724795977274
643,65,3,0.01,do,-0.5933781019846602,63,5.872209548950195,nasdunisdu,initial,do,,-6.493647903384584
643,65,3,0.01,do,-0.5933781019846602,63,5.872209548950195,nasdunisdu,initial,pp,,-5.681135699484083
643,65,3,0.01,do,-0.5933781019846602,63,5.872209548950195,nasdunisdu,final,do,,-6.3619672934214275
643,65,3,0.01,do,-0.5933781019846602,63,5.872209548950195,nasdunisdu,final,pp,,-5.585021736886766
643,65,3,0.01,do,-0.5933781019846602,63,5.872209548950195,nasdunisdu,best,do,,-6.361674258203218
643,65,3,0.01,do,-0.5933781019846602,63,5.872209548950195,nasdunisdu,best,pp,,-5.579175138473511
209,21,4,0.1,pp,1.0565069643656413,70,3.6234290599823,naldmnisdu,initial,do,,-6.494821126533277
209,21,4,0.1,pp,1.0565069643656413,70,3.6234290599823,naldmnisdu,initial,pp,,-5.682964984575907
209,21,4,0.1,pp,1.0565069643656413,70,3.6234290599823,naldmnisdu,final,do,,-5.783121564171531
209,21,4,0.1,pp,1.0565069643656413,70,3.6234290599823,naldmnisdu,final,pp,,-5.171021321084765
209,21,4,0.1,pp,1.0565069643656413,70,3.6234290599823,naldmnisdu,best,do,,-5.783121564171531
209,21,4,0.1,pp,1.0565069643656413,70,3.6234290599823,naldmnisdu,best,pp,,-5.171021321084765
2162,217,2,0.1,do,0.23759826342264745,21,5.755396842956543,nisdupasiu,initial,do,,-6.493213082804824
2162,217,2,0.1,do,0.23759826342264745,21,5.755396842956543,nisdupasiu,initial,pp,,-5.680331333478292
2162,217,2,0.1,do,0.23759826342264745,21,5.755396842956543,nisdupasiu,final,do,,-6.245526043574015
2162,217,2,0.1,do,0.23759826342264745,21,5.755396842956543,nisdupasiu,final,pp,,-6.210307555728488
2162,217,2,0.1,do,0.23759826342264745,21,5.755396842956543,nisdupasiu,best,do,,-6.063711546406601
2162,217,2,0.1,do,0.23759826342264745,21,5.755396842956543,nisdupasiu,best,pp,,-5.851485305362278
475,48,5,0.1,do,-0.36809288024902376,4,4.715195655822754,nasdmnasdm,initial,do,,-6.489927436366226
475,48,5,0.1,do,-0.36809288024902376,4,4.715195655822754,nasdmnasdm,initial,pp,,-5.6789738496144615
