item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.1,do,do,-7.263676509261131
1,1,1,0.1,do,pp,-6.527356553077698
10,1,5,0.1,pp,do,-6.126090473681688
10,1,5,0.1,pp,pp,-5.323539192229509
100,10,5,0.1,pp,do,-5.818360440433025
100,10,5,0.1,pp,pp,-5.233254734426737
1000,100,5,0.1,pp,do,-7.635722182691097
1000,100,5,0.1,pp,pp,-6.638789694011211
1001,101,1,0.1,do,do,-6.070155736804009
1001,101,1,0.1,do,pp,-5.773565253615379
1002,101,2,0.1,do,do,-6.005393613129854
1002,101,2,0.1,do,pp,-5.851941734552383
1003,101,3,0.1,do,do,-5.832671142369509
1003,101,3,0.1,do,pp,-5.504392945766449
1004,101,4,0.01,do,do,-6.48728163689375
1004,101,4,0.01,do,pp,-6.255948135256768
1005,101,5,0.1,do,do,-5.596571440249681
1005,101,5,0.1,do,pp,-5.476630812138319
1006,101,1,0.1,pp,do,-7.486470578610897
1006,101,1,0.1,pp,pp,-6.578004895150661
1007,101,2,0.1,pp,do,-7.2586326517164705
1007,101,2,0.1,pp,pp,-6.413093961775303
1008,101,3,0.1,pp,do,-8.06214724034071
1008,101,3,0.1,pp,pp,-7.323328030109406
1009,101,4,0.1,pp,do,-7.452127359807491
1009,101,4,0.1,pp,pp,-6.730800500512123
101,11,1,0.1,do,do,-6.3392135292291645
101,11,1,0.1,do,pp,-5.9337071374058725
1010,101,5,0.1,pp,do,-8.50302849560976
1010,101,5,0.1,pp,pp,-7.392401936650276
1011,102,1,0.1,do,do,-6.308330308645964
1011,102,1,0.1,do,pp,-6.130071025341749
1012,102,2,0.1,do,do,-6.223416460305453
1012,102,2,0.1,do,pp,-6.04862355068326
1013,102,3,0.1,do,do,-6.0569687858223915
1013,102,3,0.1,do,pp,-5.752534943819046
1014,102,4,0.01,do,do,-6.6546889141201975
1014,102,4,0.01,do,pp,-6.272171257436275
1015,102,5,0.1,do,do,-6.199664640426636
1015,102,5,0.1,do,pp,-5.796196779608726
1016,102,1,0.1,pp,do,-7.065475346148014
1016,102,1,0.1,pp,pp,-6.404374889284372
1017,102,2,0.1,pp,do,-6.39594603702426
1017,102,2,0.1,pp,pp,-5.765829390287399
1018,102,3,0.1,pp,do,-5.946440654247999
1018,102,3,0.1,pp,pp,-5.355710746347905
1019,102,4,0.1,pp,do,-7.2179581567645075
1019,102,4,0.1,pp,pp,-6.612841257452965
102,11,2,0.1,do,do,-7.156437960267067
102,11,2,0.1,do,pp,-6.651868594437838
1020,102,5,0.1,pp,do,-6.1418803706765175
1020,102,5,0.1,pp,pp,-5.502206625789404
1021,103,1,0.1,do,do,-6.924604912847281
1021,103,1,0.1,do,pp,-6.381072004884482
1022,103,2,0.1,do,do,-6.803253434598446
1022,103,2,0.1,do,pp,-6.549854297935963
1023,103,3,0.1,do,do,-5.704576909542084
1023,103,3,0.1,do,pp,-5.467308945953846
1024,103,4,0.1,do,do,-5.817353644222021
1024,103,4,0.1,do,pp,-5.571738611161709
1025,103,5,0.01,do,do,-5.935911709070206
1025,103,5,0.01,do,pp,-5.726057498157024
1026,103,1,0.1,pp,do,-6.517671272158623
1026,103,1,0.1,pp,pp,-5.594636497646571
1027,103,2,0.1,pp,do,-6.70099137276411
1027,103,2,0.1,pp,pp,-5.932501795887947
1028,103,3,0.1,pp,do,-5.948500517755747
1028,103,3,0.1,pp,pp,-5.281501550227404
1029,103,4,0.1,pp,do,-5.997176852077246
1029,103,4,0.1,pp,pp,-5.56292312219739
103,11,3,0.01,do,do,-6.989895674586296
103,11,3,0.01,do,pp,-6.420088985562325
1030,103,5,0.1,pp,do,-5.892174861580133
1030,103,5,0.1,pp,pp,-5.4589537926018235
1031,104,1,0.1,do,do,-6.688952080160379
1031,104,1,0.1,do,pp,-6.3612488329410555
1032,104,2,0.01,do,do,-6.642075230926276
1032,104,2,0.01,do,pp,-6.278333784639836
1033,104,3,0.1,do,do,-7.262863676249981
1033,104,3,0.1,do,pp,-6.623184540867806
1034,104,4,0.1,do,do,-6.971384673565626
1034,104,4,0.1,do,pp,-6.675673826038837
1035,104,5,0.1,do,do,-6.449804176390171
1035,104,5,0.1,do,pp,-5.823308652639389
1036,104,1,0.1,pp,do,-6.104131826758385
1036,104,1,0.1,pp,pp,-5.31090492233634
1037,104,2,0.1,pp,do,-7.1679986581206325
1037,104,2,0.1,pp,pp,-6.465201322734356
1038,104,3,0.1,pp,do,-7.352114628255367
1038,104,3,0.1,pp,pp,-6.445919042080641
1039,104,4,0.1,pp,do,-7.008635663986206
1039,104,4,0.1,pp,pp,-6.451173917204142
104,11,4,0.01,do,do,-6.815713946521282
104,11,4,0.01,do,pp,-6.3513611510396
1040,104,5,0.1,pp,do,-6.000873072445392
1040,104,5,0.1,pp,pp,-5.5906394980847836
1041,105,1,0.1,do,do,-6.686796563118696
1041,105,1,0.1,do,pp,-6.316418916732073
1042,105,2,0.01,do,do,-6.120686418563127
1042,105,2,0.01,do,pp,-5.73857309743762
1043,105,3,0.1,do,do,-6.643662440776825
1043,105,3,0.1,do,pp,-6.412501196563244
1044,105,4,0.1,do,do,-7.780133588612079
1044,105,4,0.1,do,pp,-7.106594848632812
1045,105,5,0.1,do,do,-5.71297845095396
1045,105,5,0.1,do,pp,-5.5481050744652745
1046,105,1,0.1,pp,do,-7.572884897887707
1046,105,1,0.1,pp,pp,-6.937468100339174
1047,105,2,0.1,pp,do,-7.340168480575085
1047,105,2,0.1,pp,pp,-6.947064580023289
1048,105,3,0.1,pp,do,-7.071835844218731
1048,105,3,0.1,pp,pp,-6.5113921701908115
1049,105,4,0.1,pp,do,-8.408311773836612
1049,105,4,0.1,pp,pp,-7.662777823209763
105,11,5,0.1,do,do,-6.290511554479599
105,11,5,0.1,do,pp,-6.067697820067406
1050,105,5,0.1,pp,do,-7.857391999661923
1050,105,5,0.1,pp,pp,-7.098160269856453
1051,106,1,0.01,do,do,-6.839966364204884
1051,106,1,0.01,do,pp,-6.378703516721726
1052,106,2,0.1,do,do,-7.633955346047879
1052,106,2,0.1,do,pp,-7.185498127341271
1053,106,3,0.1,do,do,-6.252467166632414
1053,106,3,0.1,do,pp,-5.868062468618154
1054,106,4,0.1,do,do,-6.099327052384615
1054,106,4,0.1,do,pp,-5.766428519785404
1055,106,5,0.1,do,do,-7.796158081293106
1055,106,5,0.1,do,pp,-7.3828694798052314
1056,106,1,0.1,pp,do,-6.9177182644605635
1056,106,1,0.1,pp,pp,-6.391846635937691
1057,106,2,0.1,pp,do,-6.0720751017332075
1057,106,2,0.1,pp,pp,-5.479577012360096
1058,106,3,0.1,pp,do,-5.731035421788692
1058,106,3,0.1,pp,pp,-5.154538881033659
1059,106,4,0.1,pp,do,-7.828943878412247
1059,106,4,0.1,pp,pp,-6.885047812759876
106,11,1,0.1,pp,do,-7.660522902011872
106,11,1,0.1,pp,pp,-6.928340645134449
1060,106,5,0.1,pp,do,-7.907986071705818
1060,106,5,0.1,pp,pp,-7.050044924020767
1061,107,1,0.1,do,do,-8.76300628632307
1061,107,1,0.1,do,pp,-8.19998280107975
1062,107,2,0.1,do,do,-7.028398880362511
1062,107,2,0.1,do,pp,-6.21249046176672
1063,107,3,0.1,do,do,-5.975959521532059
1063,107,3,0.1,do,pp,-5.567578395456076
1064,107,4,0.1,do,do,-6.9379395008087155
1064,107,4,0.1,do,pp,-6.624414303898812
1065,107,5,0.1,do,do,-8.157756905257703
1065,107,5,0.1,do,pp,-7.423195028305054
1066,107,1,0.1,pp,do,-6.820998598635197
1066,107,1,0.1,pp,pp,-6.3906810961663725
1067,107,2,0.1,pp,do,-6.693995521217585
1067,107,2,0.1,pp,pp,-6.0542764566838745
1068,107,3,0.1,pp,do,-7.000632803142071
1068,107,3,0.1,pp,pp,-6.601516303420067
1069,107,4,0.1,pp,do,-6.6065082140266895
1069,107,4,0.1,pp,pp,-6.024679180979729
107,11,2,0.1,pp,do,-7.592671136558056
107,11,2,0.1,pp,pp,-6.921414631605148
1070,107,5,0.1,pp,do,-6.592578336596489
1070,107,5,0.1,pp,pp,-6.0091472618281845
1071,108,1,0.1,do,do,-7.7589364618062975
1071,108,1,0.1,do,pp,-7.350551833212376
1072,108,2,0.01,do,do,-6.499745811522007
1072,108,2,0.01,do,pp,-6.080795128643513
1073,108,3,0.1,do,do,-7.7761754877865314
1073,108,3,0.1,do,pp,-7.243661599606275
1074,108,4,0.1,do,do,-6.890683084726334
1074,108,4,0.1,do,pp,-6.424954392760992
1075,108,5,0.1,do,do,-7.062069260329008
1075,108,5,0.1,do,pp,-6.631976175308227
1076,108,1,0.1,pp,do,-7.354285357892513
1076,108,1,0.1,pp,pp,-6.414570306986571
1077,108,2,0.1,pp,do,-5.892042955756187
1077,108,2,0.1,pp,pp,-5.438541956245899
1078,108,3,0.1,pp,do,-5.8720174469053745
1078,108,3,0.1,pp,pp,-5.141612461209297
1079,108,4,0.1,pp,do,-5.873243883252144
1079,108,4,0.1,pp,pp,-5.218528155237436
108,11,3,0.1,pp,do,-6.7494754903018475
108,11,3,0.1,pp,pp,-5.923016464710235
1080,108,5,0.1,pp,do,-5.920804627239704
1080,108,5,0.1,pp,pp,-5.239161273092032
1081,109,1,0.1,do,do,-6.053706330060959
1081,109,1,0.1,do,pp,-5.9697655335068704
1082,109,2,0.1,do,do,-5.925262334197759
1082,109,2,0.1,do,pp,-5.799102682620287
1083,109,3,0.01,do,do,-6.570560872554779
1083,109,3,0.01,do,pp,-6.316974249482155
1084,109,4,0.1,do,do,-6.133527226001024
1084,109,4,0.1,do,pp,-5.737479607760906
1085,109,5,0.1,do,do,-7.535063692927361
1085,109,5,0.1,do,pp,-7.176027244329452
1086,109,1,0.1,pp,do,-5.785800825804472
1086,109,1,0.1,pp,pp,-5.186912311613559
1087,109,2,0.1,pp,do,-5.721189514547587
1087,109,2,0.1,pp,pp,-5.040463849157095
1088,109,3,0.1,pp,do,-5.755363091826439
1088,109,3,0.1,pp,pp,-5.094663500785828
1089,109,4,0.1,pp,do,-7.606811024993658
1089,109,4,0.1,pp,pp,-6.6992383323609825
109,11,4,0.1,pp,do,-6.122363496571779
