item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1,1,1,0.1,do,do,-5.131159027293324
1,1,1,0.1,do,pp,-4.644687085971237
10,1,5,0.1,pp,do,-5.802983593195677
10,1,5,0.1,pp,pp,-5.150075881183147
100,10,5,0.1,pp,do,-4.897963605076074
100,10,5,0.1,pp,pp,-4.41190371401608
1000,100,5,0.1,pp,do,-4.790198911353945
1000,100,5,0.1,pp,pp,-4.382023791596294
1001,101,1,0.1,do,do,-4.194155944511294
1001,101,1,0.1,do,pp,-4.092720054462552
1002,101,2,0.1,do,do,-5.143078206665814
1002,101,2,0.1,do,pp,-4.934754845127463
1003,101,3,0.1,do,do,-4.545874675735831
1003,101,3,0.1,do,pp,-4.29423890337348
1004,101,4,0.1,do,do,-5.766865395754576
1004,101,4,0.1,do,pp,-5.7173519726842645
1005,101,5,0.1,do,do,-4.873607593402267
1005,101,5,0.1,do,pp,-4.602007809653879
1006,101,1,0.1,pp,do,-5.315159496665001
1006,101,1,0.1,pp,pp,-4.843013075739146
1007,101,2,0.1,pp,do,-6.915043751150369
1007,101,2,0.1,pp,pp,-5.703664174675941
1008,101,3,0.1,pp,do,-5.494113761559129
1008,101,3,0.1,pp,pp,-4.756077015213668
1009,101,4,0.1,pp,do,-5.283933098241687
1009,101,4,0.1,pp,pp,-4.920844960585237
101,11,1,0.1,do,do,-6.191412646695971
101,11,1,0.1,do,pp,-5.705682482197881
1010,101,5,0.1,pp,do,-5.506534610316157
1010,101,5,0.1,pp,pp,-5.0177933547645805
1011,102,1,0.1,do,do,-4.544757768884301
1011,102,1,0.1,do,pp,-4.487979225441814
1012,102,2,0.1,do,do,-4.690324602648616
1012,102,2,0.1,do,pp,-4.603123960644007
1013,102,3,0.1,do,do,-4.871700314059853
1013,102,3,0.1,do,pp,-4.56682241037488
1014,102,4,0.1,do,do,-4.747851976007223
1014,102,4,0.1,do,pp,-4.794257871061563
1015,102,5,0.1,do,do,-5.494799068197608
1015,102,5,0.1,do,pp,-5.152491815760731
1016,102,1,0.1,pp,do,-5.097122354805469
1016,102,1,0.1,pp,pp,-4.664129159599542
1017,102,2,0.1,pp,do,-5.3227906238287686
1017,102,2,0.1,pp,pp,-4.698832171410322
1018,102,3,0.1,pp,do,-5.9401373531669375
1018,102,3,0.1,pp,pp,-5.4457484107464555
1019,102,4,0.1,pp,do,-5.22722341939807
1019,102,4,0.1,pp,pp,-4.598707524687052
102,11,2,0.1,do,do,-5.06019102409482
102,11,2,0.1,do,pp,-4.783467087894678
1020,102,5,0.1,pp,do,-4.888697747141123
1020,102,5,0.1,pp,pp,-4.364096927642822
1021,103,1,0.1,do,do,-4.691518402472139
1021,103,1,0.1,do,pp,-4.588572517037392
1022,103,2,0.1,do,do,-5.325825260952115
1022,103,2,0.1,do,pp,-5.308896231278777
1023,103,3,0.1,do,do,-4.887592463940382
1023,103,3,0.1,do,pp,-4.757041051611305
1024,103,4,0.1,do,do,-4.975771879032254
1024,103,4,0.1,do,pp,-4.746982510387897
1025,103,5,0.1,do,do,-5.550469676405191
1025,103,5,0.1,do,pp,-5.498585123568773
1026,103,1,0.1,pp,do,-5.703885084018111
1026,103,1,0.1,pp,pp,-5.425144283846021
1027,103,2,0.1,pp,do,-4.551459712535143
1027,103,2,0.1,pp,pp,-4.11100620366633
1028,103,3,0.1,pp,do,-4.632405092567206
1028,103,3,0.1,pp,pp,-4.303206739574671
1029,103,4,0.1,pp,do,-6.17220491617918
1029,103,4,0.1,pp,pp,-5.336613779142499
103,11,3,0.1,do,do,-5.154564714059234
103,11,3,0.1,do,pp,-4.84131803959608
1030,103,5,0.1,pp,do,-4.285977578535676
1030,103,5,0.1,pp,pp,-3.863675155490637
1031,104,1,0.1,do,do,-5.161481049284339
1031,104,1,0.1,do,pp,-4.9076363034546375
1032,104,2,0.1,do,do,-5.317713251709938
1032,104,2,0.1,do,pp,-5.074512322992087
1033,104,3,0.1,do,do,-4.526650195196271
1033,104,3,0.1,do,pp,-4.4749913167208435
1034,104,4,0.1,do,do,-5.512960852310061
1034,104,4,0.1,do,pp,-5.668020186200738
1035,104,5,0.1,do,do,-4.138080593198538
1035,104,5,0.1,do,pp,-4.176391105353832
1036,104,1,0.1,pp,do,-5.26748165935278
1036,104,1,0.1,pp,pp,-4.792504087090492
1037,104,2,0.1,pp,do,-4.620567413419485
1037,104,2,0.1,pp,pp,-4.25264878384769
1038,104,3,0.1,pp,do,-7.105809766054153
1038,104,3,0.1,pp,pp,-5.937475787475705
1039,104,4,0.1,pp,do,-5.965341489389539
1039,104,4,0.1,pp,pp,-5.428335943445563
104,11,4,0.1,do,do,-5.043813320621848
104,11,4,0.1,do,pp,-4.786008961871266
1040,104,5,0.1,pp,do,-5.936074076965451
1040,104,5,0.1,pp,pp,-5.556937737390399
1041,105,1,0.1,do,do,-4.625167071819305
1041,105,1,0.1,do,pp,-4.491476727277041
1042,105,2,0.1,do,do,-4.770851119235158
1042,105,2,0.1,do,pp,-4.5303720805794
1043,105,3,0.1,do,do,-5.05349117256701
1043,105,3,0.1,do,pp,-4.953087068349123
1044,105,4,0.1,do,do,-4.367523941770196
1044,105,4,0.1,do,pp,-4.19812207557261
1045,105,5,0.1,do,do,-4.5807761702686545
1045,105,5,0.1,do,pp,-4.4091321006417274
1046,105,1,0.1,pp,do,-4.540846340730786
1046,105,1,0.1,pp,pp,-4.099730722978711
1047,105,2,0.1,pp,do,-5.485195659101009
1047,105,2,0.1,pp,pp,-4.929632079973817
1048,105,3,0.1,pp,do,-5.086504241079092
1048,105,3,0.1,pp,pp,-4.695407383143902
1049,105,4,0.1,pp,do,-5.1498571239411834
1049,105,4,0.1,pp,pp,-4.420322370901704
105,11,5,0.1,do,do,-4.931659388914705
105,11,5,0.1,do,pp,-4.8652400869876145
1050,105,5,0.1,pp,do,-5.3917593661695715
1050,105,5,0.1,pp,pp,-4.770484609901905
1051,106,1,0.1,do,do,-5.426935756206513
1051,106,1,0.1,do,pp,-5.50505118444562
1052,106,2,0.1,do,do,-6.054524041339755
1052,106,2,0.1,do,pp,-5.955442370101809
1053,106,3,0.1,do,do,-6.786400463804602
1053,106,3,0.1,do,pp,-6.135950529202819
1054,106,4,0.1,do,do,-4.841383115202189
1054,106,4,0.1,do,pp,-4.671896252781153
1055,106,5,0.1,do,do,-5.560575584322214
1055,106,5,0.1,do,pp,-5.392668110504746
1056,106,1,0.1,pp,do,-4.826222479715943
1056,106,1,0.1,pp,pp,-4.40817007496953
1057,106,2,0.1,pp,do,-6.095950878039003
1057,106,2,0.1,pp,pp,-5.566092224046588
1058,106,3,0.1,pp,do,-6.99244532585144
1058,106,3,0.1,pp,pp,-6.00872968621552
1059,106,4,0.1,pp,do,-4.590423401817679
1059,106,4,0.1,pp,pp,-4.2491007156670095
106,11,1,0.1,pp,do,-5.623061582818627
106,11,1,0.1,pp,pp,-5.206911954283714
1060,106,5,0.1,pp,do,-5.983519259467721
1060,106,5,0.1,pp,pp,-5.641588513925671
1061,107,1,0.1,do,do,-6.135196665674448
1061,107,1,0.1,do,pp,-6.087899201363325
1062,107,2,0.1,do,do,-5.764078773185611
1062,107,2,0.1,do,pp,-5.520128690823912
1063,107,3,0.1,do,do,-7.590677709132433
1063,107,3,0.1,do,pp,-7.153231922537088
1064,107,4,0.1,do,do,-4.032051679864526
1064,107,4,0.1,do,pp,-4.047793417423963
1065,107,5,0.1,do,do,-4.957724054902792
1065,107,5,0.1,do,pp,-4.6311842076480385
1066,107,1,0.1,pp,do,-6.392189298570156
1066,107,1,0.1,pp,pp,-5.903905607014894
1067,107,2,0.1,pp,do,-5.578992377221584
