item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
1237,124,2,0.1,pp,4.3331516186396275,45,2.3802683353424072,nisnal,initial,do,,-6.642058736627752
1237,124,2,0.1,pp,4.3331516186396275,45,2.3802683353424072,nisnal,initial,pp,,-5.867545753055149
1237,124,2,0.1,pp,4.3331516186396275,45,2.3802683353424072,nisnal,final,do,,-5.115260562029752
1237,124,2,0.1,pp,4.3331516186396275,45,2.3802683353424072,nisnal,final,pp,,-5.125673723220825
1237,124,2,0.1,pp,4.3331516186396275,45,2.3802683353424072,nisnal,best,do,,-5.075564017440334
1237,124,2,0.1,pp,4.3331516186396275,45,2.3802683353424072,nisnal,best,pp,,-4.888244848781162
1142,115,2,0.1,do,0.26579901536305695,3,3.524843215942383,nisnas,initial,do,,-6.6423283432469225
1142,115,2,0.1,do,0.26579901536305695,3,3.524843215942383,nisnas,initial,pp,,-5.8679196940528024
1142,115,2,0.1,do,0.26579901536305695,3,3.524843215942383,nisnas,final,do,,-14.116147154027766
1142,115,2,0.1,do,0.26579901536305695,3,3.524843215942383,nisnas,final,pp,,-14.23069755766127
1142,115,2,0.1,do,0.26579901536305695,3,3.524843215942383,nisnas,best,do,,-4.282346919088653
1142,115,2,0.1,do,0.26579901536305695,3,3.524843215942383,nisnas,best,pp,,-3.9387615627712673
736,74,1,0.1,pp,3.126567697525024,23,2.006527900695801,nasnil,initial,do,,-6.641031247919256
736,74,1,0.1,pp,3.126567697525024,23,2.006527900695801,nasnil,initial,pp,,-5.8673065582911175
736,74,1,0.1,pp,3.126567697525024,23,2.006527900695801,nasnil,final,do,,-5.948563705791127
736,74,1,0.1,pp,3.126567697525024,23,2.006527900695801,nasnil,final,pp,,-5.958804432551066
736,74,1,0.1,pp,3.126567697525024,23,2.006527900695801,nasnil,best,do,,-5.709241296305801
736,74,1,0.1,pp,3.126567697525024,23,2.006527900695801,nasnil,best,pp,,-5.321135354042053
15,2,5,0.1,do,4.663150094350179,70,1.9279154539108276,pasnal,initial,do,,-6.638255403981065
15,2,5,0.1,do,4.663150094350179,70,1.9279154539108276,pasnal,initial,pp,,-5.8655146095487805
15,2,5,0.1,do,4.663150094350179,70,1.9279154539108276,pasnal,final,do,,-7.467911538210783
15,2,5,0.1,do,4.663150094350179,70,1.9279154539108276,pasnal,final,pp,,-7.081137784322103
15,2,5,0.1,do,4.663150094350179,70,1.9279154539108276,pasnal,best,do,,-7.467911538210783
