item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1431,144,1,0.1,do,do,-6.813150811940432
1431,144,1,0.1,do,pp,-6.339335206896067
1432,144,2,0.1,do,do,-6.385473328083753
1432,144,2,0.1,do,pp,-6.002769526094198
1433,144,3,0.1,do,do,-6.103001750260591
1433,144,3,0.1,do,pp,-5.707365906983614
1434,144,4,0.1,do,do,-6.785746851563454
1434,144,4,0.1,do,pp,-6.484279043972492
1435,144,5,0.1,do,do,-6.630235674977302
1435,144,5,0.1,do,pp,-6.348233535885811
1436,144,1,0.1,pp,do,-6.319513178616762
1436,144,1,0.1,pp,pp,-5.517591951042414
1437,144,2,0.1,pp,do,-5.888751839846373
1437,144,2,0.1,pp,pp,-4.937698797881604
1438,144,3,0.1,pp,do,-5.355098221451044
1438,144,3,0.1,pp,pp,-4.778179325163364
1439,144,4,0.1,pp,do,-5.961221069842577
1439,144,4,0.1,pp,pp,-5.053690284490585
1440,144,5,0.1,pp,do,-5.385095983743668
1440,144,5,0.1,pp,pp,-4.901340510696173
1441,145,1,0.1,do,do,-5.214112213999033
1441,145,1,0.1,do,pp,-5.043300435692072
1442,145,2,0.1,do,do,-6.2407198004424576
1442,145,2,0.1,do,pp,-5.997061490267515
1443,145,3,0.1,do,do,-5.357813490182162
1443,145,3,0.1,do,pp,-5.287302707880736
1444,145,4,0.1,do,do,-6.143516535311937
1444,145,4,0.1,do,pp,-6.083271583914756
1445,145,5,0.1,do,do,-6.8938881129026415
1445,145,5,0.1,do,pp,-6.189224575459957
1446,145,1,0.1,pp,do,-6.407662197947502
1446,145,1,0.1,pp,pp,-5.301926939189434
1447,145,2,0.1,pp,do,-6.402869991213083
1447,145,2,0.1,pp,pp,-4.8489483639597895
1448,145,3,0.1,pp,do,-5.995404773205519
1448,145,3,0.1,pp,pp,-4.808218136429787
1449,145,4,0.1,pp,do,-6.3783080786466595
1449,145,4,0.1,pp,pp,-5.2084558174014095
1450,145,5,0.1,pp,do,-6.402057501673698
1450,145,5,0.1,pp,pp,-5.345846677571535
1451,146,1,0.1,do,do,-5.670960035920143
1451,146,1,0.1,do,pp,-5.416999879479408
1452,146,2,0.1,do,do,-5.610445751994848
1452,146,2,0.1,do,pp,-5.3252042822539805
1453,146,3,0.1,do,do,-6.280257378518582
1453,146,3,0.1,do,pp,-5.993619123101235
1454,146,4,0.1,do,do,-6.429045230150223
1454,146,4,0.1,do,pp,-6.167889811098576
1455,146,5,0.1,do,do,-6.887449333816766
1455,146,5,0.1,do,pp,-6.617668964713812
1456,146,1,0.1,pp,do,-5.422379396855831
1456,146,1,0.1,pp,pp,-4.888174879550934
1457,146,2,0.1,pp,do,-5.4170585460960865
1457,146,2,0.1,pp,pp,-4.656569788604974
1458,146,3,0.1,pp,do,-5.524195180088282
1458,146,3,0.1,pp,pp,-4.8509613133966925
1459,146,4,0.1,pp,do,-5.609398064762354
1459,146,4,0.1,pp,pp,-5.046013588458299
1460,146,5,0.1,pp,do,-5.324643536657095
1460,146,5,0.1,pp,pp,-4.680632042139768
1461,147,1,0.1,do,do,-6.587083358317614
1461,147,1,0.1,do,pp,-6.03597115278244
1462,147,2,0.1,do,do,-6.560125157237053
1462,147,2,0.1,do,pp,-5.929372683167458
1463,147,3,0.1,do,do,-6.2053810901939865
1463,147,3,0.1,do,pp,-5.753413581103087
1464,147,4,0.1,do,do,-7.103641486912966
1464,147,4,0.1,do,pp,-6.645389927178622
1465,147,5,0.1,do,do,-6.551337529718876
1465,147,5,0.1,do,pp,-6.051702415943145
1466,147,1,0.1,pp,do,-5.842030789703131
1466,147,1,0.1,pp,pp,-5.051683189719915
1467,147,2,0.01,pp,do,-6.7220643132925035
1467,147,2,0.01,pp,pp,-6.349453131854534
1468,147,3,0.1,pp,do,-5.991186633706093
1468,147,3,0.1,pp,pp,-5.553068260103464
1469,147,4,0.1,pp,do,-5.631095272302628
1469,147,4,0.1,pp,pp,-5.395356649905443
1470,147,5,0.1,pp,do,-6.759042759239674
1470,147,5,0.1,pp,pp,-6.058938559144735
1471,148,1,0.1,do,do,-5.983161773532629
1471,148,1,0.1,do,pp,-5.526094252616167
1472,148,2,0.1,do,do,-5.379920277744532
1472,148,2,0.1,do,pp,-5.093369040638208
1473,148,3,0.1,do,do,-6.041664377599955
1473,148,3,0.1,do,pp,-5.597497024387121
1474,148,4,0.1,do,do,-5.507043944299221
1474,148,4,0.1,do,pp,-5.373752061277628
1475,148,5,0.1,do,do,-5.990036367624998
1475,148,5,0.1,do,pp,-5.477203248441219
1476,148,1,0.1,pp,do,-5.970785244554281
1476,148,1,0.1,pp,pp,-5.086154414713382
1477,148,2,0.1,pp,do,-6.17769816070795
1477,148,2,0.1,pp,pp,-5.40107434168458
1478,148,3,0.1,pp,do,-5.666127494722605
1478,148,3,0.1,pp,pp,-4.850274813175202
1479,148,4,0.1,pp,do,-6.456467159092426
1479,148,4,0.1,pp,pp,-5.825987824052572
1480,148,5,0.1,pp,do,-6.279709483683109
1480,148,5,0.1,pp,pp,-5.386515265703201
1481,149,1,0.1,do,do,-6.412861256301403
1481,149,1,0.1,do,pp,-6.041814015805722
1482,149,2,0.1,do,do,-6.969718769192696
