item_id,model_state,do,pp
0,initial,-7.229366302490234,-6.877713680267334
1,initial,-8.384212493896484,-7.5642266273498535
2,initial,-7.361692428588867,-6.6981306076049805
3,initial,-8.629068374633789,-7.840873718261719
4,initial,-7.5890607833862305,-6.578550815582275
5,initial,-8.31742000579834,-7.349270343780518
6,initial,-8.684858322143555,-8.198212623596191
7,initial,-8.41052532196045,-7.283010005950928
8,initial,-7.652412414550781,-6.296832084655762
9,initial,-7.361692428588867,-6.6981306076049805
10,initial,-9.448209762573242,-7.929250240325928
11,initial,-7.089000225067139,-6.391223430633545
12,initial,-7.826807975769043,-6.5987467765808105
13,initial,-9.509621620178223,-7.972461700439453
14,initial,-7.652412414550781,-6.296832084655762
15,initial,-8.810623168945312,-7.306002140045166
16,initial,-7.5755934715271,-6.321059703826904
17,initial,-8.366408348083496,-7.134469509124756
18,initial,-9.318812370300293,-8.58220386505127
19,initial,-7.5694403648376465,-6.526808261871338
20,initial,-7.306028366088867,-7.136621952056885
21,initial,-8.125027656555176,-7.115968227386475
22,initial,-8.994352340698242,-8.354857444763184
23,initial,-8.12293529510498,-7.392102241516113
24,initial,-9.586102485656738,-8.40868854522705
25,initial,-8.12293529510498,-7.392102241516113
26,initial,-9.394414901733398,-8.221208572387695
27,initial,-8.721673011779785,-8.494551658630371
28,initial,-7.781562328338623,-7.534130573272705
29,initial,-9.456798553466797,-8.326872825622559
30,initial,-7.780769348144531,-7.594972133636475
31,initial,-8.681901931762695,-7.67444372177124
32,initial,-8.994353294372559,-8.354857444763184
33,initial,-8.681902885437012,-7.674444198608398
34,initial,-8.052876472473145,-7.619107723236084
35,initial,-8.923406600952148,-8.531692504882812
36,initial,-7.781560897827148,-7.534130573272705
37,initial,-8.681902885437012,-7.674444198608398
38,initial,-7.465724945068359,-7.249873638153076
39,initial,-7.363107204437256,-6.961483478546143
40,initial,-7.30119514465332,-6.950773239135742
41,initial,-7.02463436126709,-6.466945171356201
42,initial,-7.527953624725342,-6.975477695465088
43,initial,-8.729763984680176,-7.797697067260742
44,initial,-7.668978214263916,-6.7916364669799805
45,initial,-7.429889678955078,-6.649424076080322
46,initial,-7.239171504974365,-6.531566619873047
47,initial,-8.063335418701172,-7.371358394622803
48,initial,-8.871960639953613,-8.11877155303955
49,initial,-7.407278060913086,-6.90259313583374
50,initial,-8.165217399597168,-7.468445301055908
51,initial,-8.693098068237305,-8.125106811523438
52,initial,-7.984906196594238,-7.369431495666504
53,initial,-8.134740829467773,-7.589550018310547
54,initial,-7.705493927001953,-7.081369876861572
55,initial,-7.56309175491333,-6.761546611785889
56,initial,-7.22957181930542,-6.55387020111084
57,initial,-6.428165435791016,-6.130631923675537
58,initial,-7.473080635070801,-6.583950042724609
59,initial,-7.446115970611572,-6.449334621429443
60,initial,-8.013962745666504,-7.083029270172119
61,initial,-8.744119644165039,-7.675979137420654
62,initial,-10.766653060913086,-9.164817810058594
63,initial,-8.956563949584961,-7.361059665679932
64,initial,-8.085827827453613,-7.558647632598877
65,initial,-8.278712272644043,-7.59652042388916
